 	il	joue	de	la	harpe	</S>
a87	0.248551	0.198877	0.143419	0.141321	0.168286	0.0995464
a23	0.279507	0.158035	0.141776	0.15492	0.159702	0.10606
a30	0.166498	0.119509	0.144358	0.196643	0.222383	0.150611
a53	0.127939	0.106605	0.124005	0.157063	0.275162	0.209225
a20	0.24618	0.179256	0.159782	0.150436	0.141221	0.123124
a14	0.312201	0.241637	0.169133	0.134156	0.0866731	0.0562
a35	0.37128	0.267668	0.168058	0.100095	0.0547923	0.0381065
a30	0.381767	0.299764	0.167125	0.0807375	0.0410758	0.0295312
a14	0.231918	0.25691	0.237135	0.142817	0.074105	0.057115
a26	0.231139	0.244751	0.22137	0.142378	0.0909047	0.0694572
a38	0.194754	0.235407	0.236165	0.153651	0.105696	0.0743265
a41	0.167618	0.213682	0.217748	0.168743	0.127095	0.105115
a35	0.124804	0.154545	0.157682	0.145223	0.193515	0.224231
a41	0.0766455	0.089136	0.0985819	0.112907	0.239699	0.383031
a35	0.037217	0.0453394	0.0554266	0.0741982	0.26667	0.521149
a66	0.0234163	0.027014	0.0358016	0.0596294	0.244307	0.609831
a35	0.00832533	0.00983728	0.0147127	0.0358345	0.247767	0.683523
a30	0.00229528	0.00265597	0.00642565	0.0284904	0.280093	0.68004
a57	0.00197344	0.00197979	0.00462512	0.0250653	0.26817	0.698186
a87	0.00223424	0.00250574	0.00887713	0.0430039	0.240269	0.70311
</S>	0.00785933	0.0119822	0.0321554	0.0772464	0.301435	0.569322
