 	cet	enfant	a	de	la	gale	aux	fesses	</S>
a66	0.162378	0.155407	0.183633	0.235937	0.175992	0.0642657	0.0100104	0.00616669	0.00620981
a87	0.366598	0.235389	0.1302	0.0857285	0.0769391	0.0475152	0.0257661	0.014572	0.017292
a23	0.332457	0.192877	0.133486	0.095453	0.0704377	0.085289	0.0416538	0.0223496	0.0259972
a83	0.350757	0.206087	0.132876	0.0962568	0.056872	0.0554297	0.0331227	0.0250626	0.0435355
a79	0.207389	0.159067	0.148519	0.150651	0.11409	0.095085	0.0533048	0.0336336	0.0382603
a98	0.25372	0.182743	0.157507	0.14934	0.106684	0.0827909	0.0340608	0.0180621	0.0150912
a15	0.15558	0.116954	0.118848	0.122082	0.109354	0.107899	0.114683	0.0933925	0.0612076
a6	0.12865	0.124896	0.148946	0.138553	0.0945051	0.0699511	0.0901586	0.115138	0.0892011
a37	0.151393	0.141161	0.169825	0.15117	0.11821	0.0688843	0.0574593	0.0775826	0.0643138
a85	0.180829	0.156141	0.186257	0.176926	0.115031	0.0513555	0.032319	0.0528183	0.0483234
a47	0.0676845	0.0979743	0.14111	0.16061	0.158174	0.083692	0.0608116	0.108698	0.121246
a36	0.0567806	0.0752726	0.119407	0.168532	0.140876	0.0536294	0.0693421	0.15161	0.164549
a98	0.054692	0.0666582	0.0978279	0.148006	0.14485	0.0600438	0.0659544	0.173687	0.18828
a92	0.026595	0.0380961	0.0645498	0.105047	0.132573	0.0723998	0.0896556	0.219961	0.251122
a85	0.0181547	0.0258201	0.0458202	0.0854118	0.124026	0.0872681	0.113316	0.238149	0.262034
a92	0.0078363	0.0109689	0.0196947	0.0350751	0.0584508	0.058434	0.102397	0.255849	0.451294
a47	0.00494872	0.00643182	0.0114086	0.0253308	0.0568132	0.0925919	0.157564	0.264631	0.380279
a37	0.00109693	0.00105619	0.00131501	0.00240643	0.00711916	0.017445	0.0767397	0.278206	0.614616
a79	0.00227881	0.00173764	0.00162213	0.00193068	0.00366744	0.00985452	0.0586122	0.274299	0.645998
a7	0.000657712	0.000511015	0.000441104	0.000547695	0.00132839	0.00486	0.0499769	0.263784	0.677893
a27	0.0026806	0.00198605	0.00145357	0.00129638	0.0019985	0.00534965	0.05238	0.270172	0.662683
a82	0.0334382	0.026223	0.0242072	0.0193063	0.0250384	0.0332393	0.100681	0.296676	0.441191
a87	0.140561	0.0748222	0.059251	0.0577312	0.0736719	0.0759526	0.090013	0.163992	0.264005
a10	0.294538	0.149328	0.101109	0.0870232	0.0935328	0.0901487	0.0590156	0.0595458	0.0657587
a87	0.20785	0.108443	0.0755887	0.0684985	0.101626	0.161583	0.093358	0.0735349	0.109518
a23	0.119018	0.0799724	0.0709807	0.0742882	0.119874	0.154725	0.119018	0.102571	0.159553
a99	0.0255134	0.0164798	0.0110718	0.00881118	0.0136085	0.0252629	0.118211	0.267528	0.513514
a26	0.0230476	0.0183385	0.0176939	0.0180651	0.0275544	0.0430494	0.120618	0.277908	0.453725
</S>	0.0232555	0.0153169	0.0105416	0.00904369	0.0144251	0.0238136	0.0879404	0.288919	0.526744
