 	lorsqu'	on	prépare	le	riz	il	augmente	de	volume	</S>
a66	0.0652773	0.0557554	0.0713848	0.0904432	0.135776	0.312799	0.212778	0.0398727	0.0103661	0.00554696
a87	0.196308	0.140545	0.130568	0.111234	0.117538	0.165202	0.0916826	0.0249171	0.0124641	0.00954162
a23	0.239544	0.18178	0.134763	0.135426	0.15064	0.100173	0.0326171	0.0124601	0.00618895	0.00640704
a87	0.290488	0.210422	0.134896	0.15572	0.127389	0.0413634	0.0111836	0.00547176	0.00701361	0.0160518
a23	0.253811	0.198068	0.153418	0.18159	0.126152	0.0469316	0.018744	0.00685507	0.00520594	0.0092236
a30	0.300052	0.192316	0.12138	0.14554	0.137608	0.0447582	0.0216332	0.0110195	0.0115201	0.0141733
a53	0.284718	0.158953	0.0955292	0.103952	0.127729	0.0736539	0.0857914	0.0380576	0.0170301	0.0145864
a15	0.186838	0.104489	0.0648126	0.063935	0.114748	0.209381	0.186589	0.0422747	0.0186161	0.00831706
a47	0.0956773	0.0467226	0.0300266	0.0267439	0.0445491	0.122764	0.351772	0.186703	0.0780025	0.0170391
a92	0.108434	0.0682312	0.0457872	0.0446851	0.0811402	0.141537	0.256092	0.14125	0.0913465	0.0214973
a85	0.111516	0.0823114	0.0532525	0.0395855	0.0763784	0.160293	0.28078	0.114814	0.0608609	0.020208
a92	0.0808626	0.0606022	0.0481757	0.0382907	0.0584825	0.105784	0.285643	0.171016	0.104044	0.0470998
a36	0.0836633	0.0660648	0.0588614	0.0514266	0.0702827	0.121311	0.249004	0.13516	0.10372	0.0605053
a61	0.0803785	0.0702671	0.0689992	0.0678954	0.0789277	0.098603	0.152047	0.113622	0.148	0.121261
a75	0.0664001	0.0764738	0.0888685	0.0740672	0.0744822	0.146061	0.197	0.0804515	0.0842146	0.11198
a92	0.0245298	0.0277751	0.0358186	0.0303649	0.0309853	0.0769857	0.178012	0.139798	0.202894	0.252837
a56	0.0190471	0.0214759	0.0276325	0.0220194	0.0205572	0.0567416	0.128365	0.130433	0.214201	0.359527
a75	0.0171094	0.0193511	0.0244815	0.020301	0.0168889	0.045572	0.0927076	0.120904	0.216892	0.425792
a61	0.00707487	0.00722644	0.00780409	0.00610745	0.00443187	0.0122272	0.0433593	0.121961	0.247722	0.542087
a21	0.00453527	0.00432058	0.00484499	0.00379659	0.00184784	0.00314752	0.00734015	0.050477	0.220264	0.699427
a47	0.00235007	0.00224789	0.00259248	0.00218602	0.00114532	0.00154429	0.00306829	0.0340176	0.198707	0.752141
a88	0.00143639	0.00147032	0.00154878	0.00126429	0.00050509	0.000700606	0.00227747	0.0216518	0.161444	0.807701
a11	0.000733046	0.00080993	0.000955723	0.000942275	0.000562674	0.00087007	0.00236805	0.0186987	0.11045	0.863609
a96	0.00255137	0.00269401	0.00340955	0.00391884	0.00379582	0.0050993	0.00826087	0.0253599	0.0951752	0.849735
a34	0.0021919	0.00213836	0.00246706	0.00272631	0.00213334	0.00310539	0.00905783	0.0438458	0.134513	0.797821
a37	0.00308447	0.00339839	0.00358392	0.00300564	0.00156788	0.0025241	0.0069359	0.0351373	0.128554	0.812209
a26	0.00307747	0.00265645	0.00293168	0.00312943	0.00229363	0.00430929	0.0125729	0.0546797	0.137973	0.776377
a3	0.0421657	0.0343995	0.0323558	0.0308854	0.0216248	0.0452002	0.0465735	0.084964	0.166294	0.495537
a10	0.164861	0.140135	0.119304	0.119721	0.151228	0.135692	0.0417743	0.0272256	0.0343563	0.065704
a87	0.158134	0.144301	0.127757	0.121374	0.161799	0.154488	0.0521406	0.0218692	0.0205959	0.0375406
a23	0.15875	0.144181	0.125923	0.120061	0.143009	0.1324	0.0528497	0.0255162	0.0299348	0.0673769
a87	0.10484	0.0746585	0.0436196	0.0260953	0.0200826	0.020236	0.0104998	0.0153398	0.0622241	0.622404
</S>	0.0157864	0.0110957	0.00722958	0.00533144	0.00398146	0.00429597	0.00468344	0.018415	0.0965703	0.832611
