 	j'	ai	fini	par	dormir	dans	la	cuisine	puisque	j'	ai	reçu	des	visiteurs	</S>
a66	0.0803917	0.0581127	0.0366936	0.0389998	0.0659799	0.106151	0.12537	0.113461	0.144053	0.0817186	0.0723381	0.0456322	0.0145125	0.00760715	0.00897917
a87	0.24678	0.141584	0.0708308	0.0734791	0.0486621	0.0487368	0.0591722	0.0397531	0.0411998	0.0343187	0.0432355	0.0385493	0.0354064	0.0275287	0.0507638
a23	0.272114	0.180644	0.141378	0.0875926	0.0595998	0.0394146	0.0473773	0.0360254	0.0302795	0.0212879	0.0218105	0.0164216	0.0126551	0.0120124	0.0213876
a50	0.340079	0.22006	0.16594	0.0557851	0.028371	0.0287268	0.0326539	0.0283007	0.0271347	0.0148453	0.01313	0.0100561	0.0091629	0.00884484	0.0169089
a62	0.309591	0.205198	0.160823	0.0611591	0.0363949	0.0379389	0.0304227	0.017835	0.0199048	0.0165856	0.0202965	0.0161134	0.0151595	0.018371	0.0342064
a96	0.268367	0.229551	0.254492	0.0821245	0.0416078	0.0292242	0.0192572	0.0106611	0.00783936	0.00728607	0.0102416	0.00839925	0.0077973	0.00865822	0.0144929
a88	0.219049	0.200908	0.295155	0.0929414	0.045307	0.0284123	0.0198131	0.0119741	0.00757477	0.00969058	0.0136429	0.0140973	0.0125521	0.0127898	0.0160924
a43	0.157722	0.146987	0.21849	0.120813	0.0744922	0.0542875	0.0395515	0.0268985	0.0178628	0.0198991	0.0246186	0.0287686	0.0232316	0.0218549	0.0245222
a75	0.118593	0.10706	0.151953	0.0964734	0.0659422	0.0532674	0.0382396	0.0280773	0.0214844	0.0245927	0.0314515	0.0466608	0.0520303	0.0710245	0.09315
a56	0.082335	0.0891337	0.149801	0.11501	0.0928398	0.0785002	0.0594469	0.0428001	0.0326435	0.0354466	0.0403301	0.0564259	0.0407473	0.0368673	0.0476727
a44	0.0799785	0.0776199	0.0943504	0.101525	0.0964806	0.100476	0.0896163	0.0722688	0.0632431	0.0484488	0.0442852	0.0517856	0.0307808	0.0235948	0.0255461
a98	0.0456535	0.0426794	0.0512361	0.0863185	0.104146	0.121484	0.113403	0.0925447	0.0778741	0.0659235	0.0582541	0.061962	0.0307561	0.0225471	0.0252177
a15	0.0331758	0.0333282	0.0431517	0.0845729	0.0892582	0.0922034	0.0803605	0.0691997	0.0556928	0.0746588	0.0809384	0.0957846	0.0481287	0.0462279	0.0733186
a73	0.0185926	0.0175636	0.0225614	0.0605051	0.0927363	0.118348	0.105402	0.0984858	0.0932596	0.0842904	0.0729295	0.0699626	0.03881	0.0399827	0.06657
a44	0.0108225	0.0104986	0.0127403	0.0348876	0.0662939	0.0965671	0.0961586	0.136811	0.132944	0.109369	0.0668691	0.0518008	0.0337645	0.0521031	0.0883706
a93	0.0106009	0.00842259	0.0100191	0.0203416	0.0348887	0.0589296	0.0723406	0.114648	0.125575	0.11483	0.0776794	0.0610132	0.0473653	0.085953	0.157393
a56	0.00613099	0.00465855	0.00551803	0.0133204	0.0311905	0.0670276	0.0969708	0.13877	0.122741	0.140256	0.10686	0.083422	0.0447416	0.053074	0.0853182
a75	0.00393046	0.00336913	0.00411182	0.00964379	0.022527	0.0491225	0.0787394	0.130138	0.127978	0.153139	0.119214	0.0895653	0.0542986	0.0616832	0.0925402
a25	0.002406	0.00209511	0.00275003	0.0073193	0.0146633	0.0269443	0.0370231	0.0771771	0.0888704	0.113812	0.102167	0.0807222	0.0852231	0.146185	0.212643
a15	0.00169682	0.00169591	0.00204587	0.00597554	0.0127238	0.0240758	0.0338914	0.10772	0.129094	0.159171	0.093655	0.0629037	0.0570833	0.113037	0.195231
a7	0.0028654	0.00277461	0.00304274	0.00930457	0.0181369	0.0306397	0.0418053	0.109507	0.16033	0.167643	0.0841094	0.0543163	0.0538876	0.102485	0.159152
a44	0.00680323	0.0056702	0.00549897	0.0104873	0.0186872	0.029328	0.0416547	0.124379	0.253485	0.18749	0.0975903	0.063013	0.0360655	0.0443144	0.0755332
a13	0.00436342	0.00343479	0.00340315	0.00810567	0.0139601	0.0216486	0.0303376	0.0753261	0.15142	0.148009	0.09752	0.0701209	0.0660336	0.113595	0.192722
a57	0.00485023	0.00416059	0.00386225	0.00635784	0.0120673	0.0191421	0.0244538	0.085112	0.198867	0.170578	0.0960166	0.069655	0.0654777	0.089246	0.150153
a30	0.00903487	0.00717996	0.00705215	0.00985542	0.0188864	0.0264447	0.031564	0.0915158	0.189109	0.157643	0.0917234	0.0702462	0.0635383	0.0803386	0.145869
