 	on	s'	habille	pour	cacher	la	nudité	</S>
a66	0.0967783	0.0901449	0.154427	0.313828	0.29834	0.0297573	0.0109626	0.00576219
a87	0.199103	0.12743	0.156499	0.276795	0.156606	0.0427595	0.02368	0.0171276
a23	0.437728	0.226858	0.148492	0.1036	0.0494647	0.0185092	0.0070802	0.00826785
a5	0.419721	0.268029	0.155012	0.0896685	0.0324893	0.0143852	0.00829059	0.0124049
a61	0.201849	0.11658	0.111243	0.210985	0.170851	0.0946926	0.0539492	0.0398494
a75	0.100351	0.075274	0.141583	0.352214	0.229603	0.0634536	0.0258102	0.0117113
a85	0.102228	0.0796238	0.140775	0.312985	0.21358	0.0944925	0.0382025	0.0181133
a5	0.0455428	0.045816	0.0966252	0.274141	0.300134	0.137306	0.0651344	0.0353016
a12	0.0999658	0.0954227	0.206362	0.326845	0.179331	0.0458356	0.0277208	0.0185173
a18	0.0713682	0.0780293	0.201325	0.324807	0.201292	0.0439392	0.0408169	0.0384229
a75	0.059571	0.0528633	0.142664	0.17635	0.189699	0.0893101	0.111378	0.178165
a92	0.0338142	0.0389689	0.115733	0.262211	0.261278	0.0571246	0.0789823	0.151889
a5	0.0310424	0.0366607	0.102621	0.243711	0.255283	0.0597956	0.0878638	0.183023
a62	0.0260311	0.0291267	0.09433	0.226474	0.282016	0.0716814	0.0891592	0.181181
a88	0.0175687	0.0187672	0.0468765	0.101018	0.262749	0.148092	0.138169	0.26676
a96	0.0146778	0.0173241	0.0402956	0.067437	0.165589	0.129667	0.193355	0.371655
a0	0.013639	0.0176573	0.0374062	0.0536974	0.151126	0.144294	0.197682	0.384498
a75	0.0064316	0.0087827	0.0197361	0.0266349	0.080741	0.142948	0.211934	0.502792
a47	0.00264782	0.00290517	0.00539922	0.00679943	0.0298662	0.10201	0.176465	0.673907
a15	0.00114358	0.000939692	0.0013747	0.00119293	0.00581532	0.0328648	0.148739	0.80793
a7	0.000918215	0.000930222	0.00126077	0.000729004	0.00337577	0.0205631	0.135558	0.836665
a54	0.0011447	0.00116444	0.00144458	0.00123387	0.00250838	0.0104224	0.110878	0.871204
a36	0.000857836	0.00072798	0.000765235	0.000919203	0.00339756	0.0233277	0.11045	0.859554
a2	0.0113525	0.00575109	0.00448478	0.00329563	0.00789261	0.0255336	0.131506	0.810184
a57	0.0970009	0.0430416	0.0348394	0.0488173	0.0582224	0.0632751	0.148818	0.505985
a87	0.26886	0.142586	0.0940972	0.115562	0.0652265	0.0494784	0.10114	0.16305
a23	0.286707	0.156679	0.10089	0.125701	0.0889291	0.0660886	0.0767469	0.0982584
a87	0.177857	0.0725311	0.0294142	0.0344263	0.033745	0.147006	0.14249	0.362531
</S>	0.0272098	0.0107401	0.00523735	0.00784304	0.016433	0.0787169	0.189128	0.664692
