 	les	femmes	percent	les	oreilles	pour	porter	les	boucles	</S>
a66	0.447548	0.300876	0.0868844	0.0366406	0.0273898	0.0195172	0.0186372	0.0182244	0.0213333	0.022949
a87	0.538027	0.11562	0.0259816	0.0139002	0.0152334	0.0209493	0.0477301	0.0522991	0.0812329	0.0890262
a10	0.387061	0.129028	0.0420368	0.0190821	0.0168035	0.0231512	0.0557055	0.0716645	0.111709	0.143759
a40	0.406971	0.142266	0.0487895	0.0399477	0.0341035	0.0288494	0.0519466	0.056119	0.0876128	0.103395
a92	0.31482	0.213494	0.145039	0.0636998	0.0576788	0.0425975	0.03996	0.0308959	0.0436723	0.0481422
a37	0.283047	0.295843	0.18267	0.0546702	0.0511302	0.0390644	0.0292585	0.0165476	0.0233821	0.0243869
a61	0.296726	0.333111	0.211488	0.0535633	0.0441491	0.0214308	0.0138486	0.00668831	0.0093079	0.00968657
a34	0.223359	0.271441	0.27429	0.0925376	0.0712824	0.033459	0.0146542	0.00582141	0.0066801	0.00647552
a44	0.177768	0.238707	0.334448	0.105909	0.0776002	0.0326883	0.0135501	0.00566872	0.00685859	0.00680112
a98	0.182683	0.222536	0.287787	0.109702	0.093656	0.0493642	0.0212035	0.00919978	0.0115245	0.0123442
a47	0.139404	0.230014	0.27447	0.0827859	0.0869787	0.0600523	0.0462989	0.0231788	0.0279348	0.0288823
a36	0.155449	0.224099	0.263654	0.0855537	0.0845497	0.049975	0.0373777	0.0249062	0.0347978	0.0396377
a37	0.101436	0.171713	0.251369	0.134048	0.120684	0.081571	0.0451346	0.0289846	0.0315776	0.0334819
a53	0.120491	0.178265	0.252314	0.105925	0.107692	0.088048	0.0561631	0.0300473	0.0304955	0.030558
a90	0.0276355	0.0561311	0.198022	0.162034	0.185871	0.147036	0.0944183	0.0476679	0.0428865	0.038298
a98	0.0241552	0.0527153	0.153361	0.114425	0.134071	0.14595	0.139894	0.0877988	0.0807033	0.0669253
a47	0.00629679	0.0149998	0.0648708	0.0768336	0.128453	0.16071	0.179465	0.129927	0.127425	0.111019
a36	0.0028761	0.00653759	0.0395232	0.0567331	0.129402	0.137341	0.170921	0.12489	0.154831	0.176944
a0	0.00529604	0.00845739	0.0323792	0.0762439	0.164694	0.169179	0.154135	0.102561	0.124612	0.162443
a11	0.00569615	0.00876883	0.024324	0.0567632	0.122035	0.154022	0.167056	0.122262	0.147466	0.191606
a62	0.00364568	0.0060134	0.0150601	0.036917	0.0860303	0.133337	0.172922	0.167394	0.184794	0.193886
a96	0.00437951	0.00776475	0.0205936	0.039216	0.0856526	0.13274	0.155326	0.169042	0.18811	0.197175
a62	0.004109	0.00678238	0.0153742	0.0380074	0.0838333	0.132858	0.153251	0.180012	0.198932	0.186841
a31	0.00393731	0.005774	0.0120326	0.0311918	0.0659947	0.108712	0.12799	0.188138	0.235794	0.220435
a75	0.00358838	0.0054914	0.0107398	0.0229013	0.0486919	0.0822703	0.104433	0.186913	0.260931	0.27404
a6	0.000214849	0.000467099	0.00258085	0.00778492	0.0214461	0.0499611	0.0858706	0.183745	0.306638	0.341292
a37	0.000180635	0.000309366	0.00147545	0.00461789	0.0145898	0.0351113	0.0656517	0.165133	0.324971	0.38796
a18	0.00027027	0.000375905	0.00133735	0.00309735	0.00967432	0.023396	0.0452217	0.144498	0.275176	0.496953
a12	0.000340651	0.000384992	0.00183458	0.00368487	0.00952581	0.0220591	0.0540405	0.185646	0.28834	0.434143
a96	0.000313007	0.000532046	0.00277964	0.00547289	0.0119934	0.023343	0.044662	0.143297	0.272824	0.494783
a54	0.000153614	0.000213843	0.00152788	0.00353157	0.0087585	0.0194473	0.0501835	0.166848	0.287789	0.461547
a36	4.94803e-05	7.32553e-05	0.000371915	0.000828098	0.00248787	0.00682863	0.0220162	0.102058	0.302328	0.562959
a11	0.000305627	0.000267827	0.000876864	0.00171261	0.00443955	0.0114922	0.0428791	0.160324	0.322614	0.455088
a24	0.00224828	0.00185066	0.0064353	0.011482	0.026853	0.050526	0.0922364	0.214691	0.26945	0.324228
a71	0.00297877	0.00216971	0.0067484	0.0114143	0.028157	0.0519022	0.0853819	0.202045	0.282167	0.327036
a9	0.00463323	0.00325644	0.00945774	0.0143827	0.0336174	0.0580304	0.0891131	0.202785	0.277682	0.307042
a97	0.0635998	0.0363618	0.0426539	0.0298057	0.0564575	0.0758304	0.110687	0.170188	0.213488	0.200929
a87	0.0826821	0.0328279	0.0371564	0.0306932	0.0484661	0.0600951	0.11107	0.173944	0.221208	0.201858
a97	0.0466431	0.019361	0.0221527	0.025741	0.0501513	0.069327	0.139579	0.184263	0.240135	0.202647
</S>	0.0152562	0.00750205	0.0114198	0.0197872	0.0315563	0.0456612	0.116975	0.176052	0.282383	0.293407
