 	le	mensonge	est	un	mauvais	acte	</S>
a84	0.425675	0.245229	0.0834035	0.0595135	0.0626299	0.0695464	0.0540028
a53	0.412829	0.144947	0.103337	0.114803	0.122015	0.0691647	0.0329037
a69	0.264311	0.124443	0.142261	0.164598	0.151795	0.0975407	0.0550518
a98	0.389782	0.25971	0.142876	0.0881293	0.0551662	0.0385327	0.0258041
a92	0.23934	0.26193	0.21435	0.131633	0.0878635	0.0408624	0.0240219
a21	0.0963019	0.207834	0.289369	0.204959	0.133279	0.0456026	0.0226537
a31	0.123139	0.175549	0.284523	0.181539	0.132256	0.0679069	0.0350868
a24	0.0813685	0.0842594	0.173778	0.214702	0.230774	0.12306	0.0920596
a21	0.0235759	0.01786	0.047717	0.108617	0.252697	0.267342	0.282191
a61	0.044276	0.0464859	0.050632	0.0782529	0.180347	0.264424	0.335582
a47	0.00463968	0.005354	0.00942472	0.0193772	0.0771176	0.316243	0.567844
a88	0.00165253	0.00182196	0.00359642	0.00834736	0.0338148	0.280839	0.669928
a71	0.00063698	0.00070606	0.00142095	0.00450557	0.0254239	0.226922	0.740384
a9	0.0253375	0.0226723	0.0217292	0.0337147	0.0627447	0.185896	0.647906
a87	0.344665	0.242909	0.117068	0.0659545	0.0516992	0.0486596	0.129045
a23	0.248707	0.309196	0.181628	0.0960876	0.0596142	0.0385449	0.0662215
a87	0.0889308	0.107954	0.0617662	0.0498921	0.0801312	0.195587	0.415738
a97	0.0100361	0.0179659	0.0212949	0.0320862	0.0948967	0.32394	0.49978
</S>	0.0288028	0.0430402	0.0489259	0.0576275	0.113584	0.275502	0.432518
