 	cette	année	les	régimes	de	bananes	sont	gros	</S>
a87	0.307088	0.133171	0.122979	0.128776	0.107355	0.0590355	0.0482757	0.0441301	0.0491894
a79	0.375516	0.135618	0.0961456	0.0676	0.0532339	0.0495761	0.0568832	0.0718279	0.093599
a41	0.509713	0.20656	0.121681	0.04811	0.0208373	0.018034	0.0213788	0.0232862	0.0303995
a98	0.550194	0.24742	0.107039	0.0459809	0.0159658	0.0108487	0.00913103	0.00712525	0.00629484
a14	0.409533	0.247396	0.156687	0.10046	0.0381746	0.0184345	0.0110227	0.0090679	0.00922469
a35	0.261043	0.223166	0.198293	0.162963	0.0729032	0.032301	0.0185112	0.0152887	0.0155307
a41	0.204268	0.22193	0.22035	0.189	0.0809293	0.035924	0.0186292	0.0145449	0.0144242
a24	0.158608	0.195009	0.220004	0.20623	0.0982836	0.0498183	0.0292976	0.0219403	0.0208087
a41	0.110553	0.147956	0.224678	0.224624	0.116718	0.0666653	0.0409378	0.0337478	0.0341206
a27	0.0855172	0.101722	0.182752	0.250529	0.167881	0.0852008	0.0456576	0.0384319	0.0423086
a25	0.0715251	0.0631557	0.0894153	0.154438	0.182913	0.135128	0.0835907	0.0923707	0.127463
a40	0.0629861	0.0514031	0.0757341	0.134117	0.184585	0.142733	0.0913985	0.10485	0.152193
a30	0.0835238	0.0742839	0.0946076	0.125619	0.121658	0.122721	0.111374	0.120165	0.146047
a14	0.055876	0.0550155	0.0842915	0.145162	0.184244	0.169098	0.116842	0.0932966	0.0961747
a44	0.0532634	0.0463151	0.0568192	0.0848944	0.121469	0.144956	0.131468	0.151661	0.209153
a84	0.041753	0.0345579	0.0388399	0.0534598	0.0883792	0.142662	0.160776	0.191061	0.248511
a75	0.0213423	0.0152471	0.0218557	0.0399223	0.0777486	0.132495	0.180999	0.225406	0.284984
a76	0.0234066	0.0181518	0.0183467	0.0242749	0.0422396	0.0975589	0.176233	0.260391	0.339398
a41	0.0166231	0.0139347	0.0164755	0.0219309	0.0449623	0.111173	0.18253	0.256016	0.336354
a66	0.0233691	0.0195892	0.021215	0.0242573	0.0429381	0.0994525	0.182671	0.263792	0.322716
a75	0.0172145	0.0115456	0.0108947	0.0119701	0.018526	0.0478059	0.119252	0.279534	0.483257
a41	0.0384165	0.024666	0.0227168	0.0232081	0.032808	0.0794644	0.167131	0.269343	0.342246
a35	0.0317206	0.0155472	0.0146021	0.0144046	0.0235752	0.0652944	0.165809	0.292364	0.376683
a41	0.0438896	0.0225457	0.0185055	0.0167917	0.0216364	0.0542508	0.140421	0.280918	0.401041
a61	0.0247941	0.0124997	0.0119948	0.0129619	0.0217556	0.0637799	0.174281	0.30214	0.375793
a21	0.021688	0.0113814	0.00985987	0.00966789	0.0135755	0.0366777	0.11469	0.286249	0.496211
a41	0.024542	0.0119666	0.0114463	0.0121056	0.0179102	0.0458054	0.131342	0.295533	0.449349
a18	0.0274499	0.0123248	0.0106426	0.00964783	0.0130536	0.0350245	0.111381	0.286206	0.49427
a25	0.042113	0.0190774	0.0166576	0.0143035	0.0176886	0.0365396	0.0874511	0.249472	0.516697
a10	0.0188473	0.00951655	0.00967858	0.0105815	0.0144179	0.0330641	0.0957928	0.269101	0.539
a87	0.0196104	0.00995094	0.0107576	0.0104864	0.0144306	0.0336861	0.0843062	0.250745	0.566027
</S>	0.0113036	0.00610479	0.00702916	0.00615887	0.010253	0.0362288	0.0863377	0.254246	0.582338
