 	l'	enfant	enlève	les	croûtes	de	sa	plaie	</S>
a66	0.407401	0.328076	0.142671	0.0404037	0.053434	0.0122693	0.00747768	0.00484243	0.00342488
a87	0.363088	0.216726	0.0909214	0.042715	0.106397	0.0457525	0.0508179	0.0421943	0.0413877
a23	0.324986	0.241875	0.171079	0.0714436	0.0393109	0.0198206	0.0214722	0.0408765	0.0691368
a54	0.170656	0.147792	0.230539	0.171624	0.0502368	0.0388286	0.0432216	0.0659828	0.08112
a47	0.310234	0.300293	0.194933	0.0633999	0.045868	0.0245834	0.0225369	0.0200078	0.0181437
a85	0.158858	0.287045	0.333088	0.111981	0.0466844	0.0172684	0.0176538	0.0160121	0.0114099
a6	0.108116	0.220999	0.310355	0.201342	0.0859644	0.0254332	0.0182239	0.0171821	0.0123841
a98	0.093601	0.223681	0.316704	0.234625	0.0700126	0.0185573	0.0147544	0.0155515	0.0125131
a85	0.0900066	0.238857	0.319677	0.218494	0.0752923	0.0226932	0.0140671	0.0115306	0.00938197
a37	0.104106	0.239195	0.302135	0.19934	0.0814256	0.0282846	0.0193708	0.0142398	0.0119036
a85	0.156827	0.198831	0.259251	0.222083	0.0806002	0.0235089	0.0205681	0.020611	0.0177199
a47	0.0417646	0.102549	0.222112	0.239333	0.153509	0.0724948	0.0640831	0.0541576	0.049998
a36	0.0424357	0.0708978	0.132868	0.233336	0.219588	0.0814413	0.072107	0.0751234	0.0722032
a79	0.0291643	0.0374373	0.0796071	0.175498	0.198616	0.109308	0.105219	0.127369	0.13778
a56	0.0188016	0.0265938	0.0593844	0.155364	0.22461	0.116068	0.109607	0.137627	0.151943
a96	0.00979709	0.0105038	0.020751	0.0568852	0.167548	0.154339	0.15808	0.198638	0.223458
a18	0.00287494	0.00279563	0.00511689	0.0186626	0.0654948	0.13834	0.195391	0.261813	0.309512
a75	0.000594299	0.0005191	0.000795607	0.00325867	0.0154094	0.0530753	0.140355	0.290947	0.495046
a85	0.000325696	0.000413493	0.0011328	0.00698643	0.0264394	0.0890025	0.198175	0.293262	0.384262
a47	0.000113688	0.00021518	0.0010692	0.00484876	0.0226636	0.0743314	0.184927	0.317875	0.393956
a36	2.17328e-05	4.63655e-05	0.000229395	0.00181331	0.014384	0.0621583	0.165716	0.329239	0.426392
a2	0.000130335	0.000120908	0.000198423	0.00133354	0.00769612	0.0268609	0.0845854	0.248111	0.630963
a57	0.00440353	0.00351635	0.00261101	0.00824206	0.0254423	0.0637888	0.134228	0.259259	0.498509
a97	0.0453634	0.0255628	0.0126616	0.0230269	0.0499028	0.0919539	0.131425	0.225764	0.39434
</S>	0.154471	0.11118	0.0461448	0.0432452	0.0737703	0.0919383	0.102857	0.151095	0.225299
