 	le	malade	est	agité	</S>
a23	0.501051	0.207387	0.107702	0.121329	0.0625314
a79	0.387985	0.235587	0.125566	0.0973251	0.153536
a20	0.45002	0.215591	0.103339	0.126431	0.104619
a94	0.487712	0.287478	0.0974516	0.0927362	0.0346227
a84	0.414545	0.324581	0.130182	0.0951636	0.0355282
a57	0.233801	0.291293	0.185329	0.17389	0.115687
a76	0.141523	0.205213	0.188164	0.274114	0.190986
a35	0.231847	0.304973	0.226559	0.145067	0.0915546
a26	0.34645	0.248281	0.182817	0.136811	0.0856402
a66	0.272497	0.234802	0.184982	0.167223	0.140497
a90	0.160588	0.186846	0.183747	0.207267	0.261552
a76	0.16415	0.174601	0.177115	0.209494	0.274639
a35	0.0750703	0.0844874	0.134055	0.227585	0.478803
a76	0.0381971	0.0555219	0.102633	0.222879	0.580769
a90	0.0363328	0.0505397	0.0903477	0.195337	0.627443
a82	0.0512619	0.0581157	0.0886908	0.197085	0.604846
a10	0.00491472	0.0108355	0.0330608	0.144148	0.807041
a11	0.00287943	0.00628295	0.0216388	0.116741	0.852458
a26	0.00147874	0.0029263	0.0145556	0.12465	0.856389
a35	0.00118694	0.0025734	0.0135819	0.126733	0.855925
a75	0.00119229	0.00268798	0.0126608	0.13028	0.853179
a14	0.00230505	0.00496147	0.0201343	0.131071	0.841528
a73	0.00438098	0.00645951	0.0247391	0.143292	0.821129
a57	0.00687876	0.00865822	0.0288106	0.147863	0.807789
a87	0.0220228	0.0244668	0.0668494	0.180553	0.706108
</S>	0.02463	0.0398124	0.0784194	0.192311	0.664827
