 	les	abeilles	essaiment	</S>
a23	0.428227	0.263672	0.199487	0.108613
a87	0.485111	0.332156	0.116215	0.0665177
a40	0.248521	0.316575	0.18952	0.245384
a30	0.498139	0.294031	0.140321	0.0675091
a35	0.518318	0.282297	0.142889	0.0564959
a70	0.525069	0.296382	0.115165	0.0633842
a66	0.478068	0.311094	0.126068	0.0847699
a38	0.320487	0.292333	0.188023	0.199157
a35	0.26836	0.286668	0.215376	0.229596
a41	0.328666	0.363212	0.197514	0.110609
a66	0.34438	0.379806	0.183583	0.0922308
a98	0.259845	0.381101	0.215435	0.143619
a14	0.277193	0.400847	0.20853	0.113429
a94	0.264648	0.382933	0.230824	0.121595
a57	0.153313	0.317702	0.303146	0.225839
a11	0.0871126	0.259894	0.369245	0.283749
a75	0.0756996	0.247389	0.364981	0.311931
a14	0.0769965	0.191023	0.306908	0.425073
a35	0.0591794	0.157329	0.313354	0.470138
a14	0.0443983	0.0916941	0.259771	0.604136
a35	0.0549218	0.0978999	0.23488	0.612298
a66	0.0558213	0.0844631	0.192218	0.667498
a7	0.070778	0.0909996	0.20321	0.635012
a57	0.0603927	0.0749789	0.163745	0.700884
a87	0.0722629	0.0852508	0.186355	0.656131
a23	0.107503	0.10767	0.281219	0.503609
a97	0.0741429	0.144406	0.340541	0.44091
a87	0.0426007	0.0965875	0.257983	0.602829
a23	0.0788902	0.101942	0.234036	0.585131
a87	0.0994666	0.136875	0.285227	0.478432
a99	0.0779187	0.12859	0.252305	0.541186
a97	0.12289	0.161928	0.257219	0.457963
</S>	0.084975	0.120954	0.208898	0.585174
