 	il	lia	le	sac	avec	une	ficelle	</S>
a23	0.333911	0.192136	0.122921	0.0487002	0.0456062	0.0752053	0.102385	0.0791352
a79	0.215139	0.130237	0.0928021	0.0779215	0.0838174	0.109802	0.141711	0.148571
a20	0.260655	0.182944	0.182047	0.102365	0.0757424	0.0638387	0.0663129	0.0660947
a84	0.391949	0.23537	0.193448	0.0837724	0.0474421	0.0269295	0.0150216	0.00606741
a40	0.326552	0.343906	0.205905	0.0649302	0.0292735	0.0158626	0.00914498	0.004425
a75	0.301114	0.318084	0.187282	0.0864072	0.0467396	0.0284799	0.0198547	0.012039
a73	0.240089	0.219101	0.179951	0.122987	0.0852122	0.0641115	0.0530869	0.0354614
a94	0.292255	0.26417	0.157335	0.105669	0.0692515	0.0458067	0.0371123	0.0284009
a38	0.21811	0.262038	0.181538	0.128234	0.0817654	0.0525686	0.0419365	0.0338096
a24	0.190986	0.224364	0.169259	0.133447	0.0979492	0.0713731	0.0621152	0.0505067
a32	0.179058	0.186356	0.151388	0.131325	0.109131	0.0886106	0.0824845	0.0716467
a25	0.123414	0.160361	0.144969	0.141448	0.129365	0.115242	0.101275	0.0839268
a79	0.0487271	0.0840398	0.0892382	0.0892009	0.108673	0.159404	0.22304	0.197676
a75	0.0462786	0.0717819	0.0810298	0.088946	0.127512	0.18263	0.220895	0.180927
a41	0.0316184	0.043304	0.0542878	0.0744109	0.135814	0.201971	0.249707	0.208887
a94	0.0151355	0.0206238	0.0277345	0.042395	0.100508	0.203354	0.301532	0.288717
a90	0.0122706	0.0153642	0.0224988	0.0294215	0.0615822	0.151637	0.333162	0.374063
a76	0.0221444	0.0287836	0.0360407	0.0429098	0.0803936	0.166473	0.296481	0.326774
a94	0.0232656	0.0259372	0.0335574	0.0369839	0.0623231	0.136888	0.287064	0.393981
a32	0.0056572	0.00725611	0.0120305	0.0138897	0.0298999	0.102873	0.32196	0.506433
a38	0.00526236	0.00677895	0.0112978	0.0119956	0.0249251	0.0811613	0.291274	0.567305
a98	0.00334498	0.00463419	0.00797513	0.00889821	0.0200172	0.0704999	0.276987	0.607643
a13	0.00421544	0.00580442	0.0112571	0.0131363	0.03022	0.0915707	0.278231	0.565565
a54	0.00207164	0.00292241	0.00531618	0.00686692	0.0180701	0.0605713	0.241672	0.662509
a20	0.00110398	0.00186921	0.00529485	0.00811546	0.0224313	0.073542	0.249374	0.638269
a84	0.00196357	0.00335978	0.00818982	0.0126606	0.0314164	0.0801555	0.232958	0.629296
a57	0.00107131	0.00202454	0.00498242	0.00733872	0.0250901	0.0835593	0.251746	0.624188
a87	0.00277091	0.00261437	0.00622874	0.0103007	0.0275003	0.0733318	0.238576	0.638677
</S>	0.0130199	0.0113693	0.0230074	0.03271	0.066915	0.132191	0.258862	0.461926
