 	c'	est	pas	moi	qui	ai	touché	ton	sac	</S>
a66	0.170034	0.17513	0.151567	0.213031	0.127075	0.0961163	0.0507125	0.00680565	0.00475237	0.00477536
a87	0.308572	0.283	0.194552	0.101736	0.0441177	0.0228285	0.0168833	0.0103584	0.00875937	0.00919234
a23	0.371835	0.254349	0.151419	0.0843028	0.0525777	0.0237372	0.0118261	0.0129494	0.0157714	0.0212332
a79	0.205207	0.208301	0.155878	0.114155	0.0995644	0.0627784	0.0341585	0.0293979	0.0361379	0.0544214
a69	0.228696	0.191889	0.153978	0.0948734	0.082825	0.0559836	0.0512188	0.0497244	0.0397161	0.0510953
a54	0.211485	0.229759	0.18087	0.136651	0.0819046	0.0432195	0.0351558	0.0298085	0.0241269	0.0270198
a98	0.205257	0.204377	0.179351	0.141774	0.0906913	0.0483375	0.0511258	0.0351656	0.022712	0.0212092
a47	0.171305	0.152612	0.158497	0.133729	0.0989974	0.072691	0.0891495	0.0583416	0.0360653	0.0286115
a5	0.142595	0.155538	0.187162	0.142204	0.0954736	0.0653159	0.0691173	0.0631726	0.0441381	0.0352836
a37	0.226298	0.189594	0.171651	0.109393	0.0848017	0.0654876	0.0505419	0.0400292	0.033376	0.0288279
a75	0.153383	0.127006	0.15237	0.139607	0.124071	0.108478	0.0797774	0.0414541	0.0379686	0.0358848
a92	0.0644507	0.0697209	0.109307	0.123511	0.113108	0.112179	0.122355	0.111936	0.0926593	0.0807723
a34	0.0538969	0.065103	0.105163	0.129345	0.117108	0.108928	0.101585	0.107772	0.107723	0.103377
a85	0.0628285	0.070796	0.122026	0.166993	0.167452	0.156427	0.0968795	0.0481576	0.0515252	0.056914
a92	0.0188812	0.0295512	0.0621077	0.119627	0.124084	0.12274	0.105639	0.118337	0.140706	0.158327
a79	0.0151193	0.0218459	0.0464046	0.110162	0.137567	0.14172	0.129497	0.132796	0.134301	0.130587
a15	0.00787155	0.0107467	0.0218358	0.0671387	0.10301	0.127162	0.139648	0.158554	0.173597	0.190436
a7	0.0078995	0.0103827	0.0204187	0.0616548	0.10591	0.141117	0.17808	0.136783	0.151058	0.186696
a5	0.010367	0.00994009	0.0131945	0.0294074	0.062815	0.12646	0.234102	0.147073	0.154233	0.212408
a75	0.00808622	0.00704757	0.00861733	0.0160466	0.0302036	0.0598098	0.126743	0.184041	0.233541	0.325864
a92	0.00308048	0.00296038	0.00415207	0.00922154	0.0192055	0.0436653	0.125322	0.196056	0.270739	0.325598
a37	0.0030675	0.00284458	0.00398233	0.00835332	0.0166913	0.0365291	0.108525	0.175428	0.277447	0.367132
a75	0.0023221	0.00212039	0.00243813	0.00427278	0.00949398	0.0177744	0.0626124	0.207172	0.31086	0.380934
a85	0.00141638	0.00132012	0.00161637	0.00310171	0.00668676	0.013942	0.0612413	0.229375	0.319982	0.361318
a92	0.00112172	0.000877057	0.00112973	0.00222068	0.00459963	0.00933236	0.0409687	0.173898	0.333431	0.432421
a85	0.00121193	0.000957448	0.000983376	0.00168521	0.00333698	0.00777974	0.0432214	0.188165	0.330917	0.421742
a47	0.000449333	0.000360151	0.000433459	0.000923068	0.00174895	0.00358674	0.0155526	0.113706	0.343985	0.519256
a36	0.00056171	0.000441597	0.000533786	0.000873241	0.0017772	0.00408008	0.0271106	0.187971	0.336394	0.440257
a6	0.00381444	0.0030863	0.00266319	0.00267962	0.00402214	0.00514347	0.0245913	0.163366	0.310852	0.479781
a47	0.00134529	0.00102316	0.00102132	0.00128711	0.00244882	0.00399261	0.0233553	0.174406	0.321201	0.469919
a36	0.000725487	0.000621348	0.000678771	0.000924627	0.0018369	0.0037984	0.0244095	0.196943	0.331133	0.438929
a2	0.0150158	0.0116692	0.0102115	0.00919584	0.0113703	0.0119853	0.0461393	0.185799	0.292774	0.40584
a57	0.0675048	0.0379429	0.0363205	0.0333926	0.0309133	0.0296901	0.0628955	0.141732	0.229881	0.329726
a87	0.224787	0.0972904	0.060885	0.0460032	0.0465862	0.0446926	0.056226	0.105518	0.142327	0.175685
a23	0.307951	0.138417	0.0952384	0.0730679	0.0693796	0.0640805	0.0637332	0.0608463	0.0625018	0.0647851
a87	0.0761364	0.0390933	0.0237087	0.0114924	0.00992054	0.0130483	0.0254095	0.16666	0.278098	0.356433
</S>	0.0166845	0.00635975	0.00376255	0.003255	0.00386824	0.00454137	0.00713297	0.101828	0.294005	0.558563
