 	elle	habite	tout	au	bout	du	village	</S>
a23	0.348183	0.222495	0.154382	0.108926	0.0841597	0.032744	0.0263461	0.0227642
a85	0.417662	0.16616	0.116037	0.103279	0.0741004	0.0337266	0.0361299	0.052904
a87	0.309072	0.172114	0.123347	0.0977947	0.0816745	0.0523741	0.0649622	0.0986623
a23	0.31145	0.185091	0.115216	0.0684512	0.0497591	0.050966	0.0748548	0.144213
a20	0.207039	0.105918	0.0639892	0.0404881	0.047575	0.0595815	0.131454	0.343955
a30	0.222835	0.145181	0.155543	0.145252	0.128479	0.0735205	0.0656832	0.0635071
a7	0.286671	0.214545	0.233629	0.1528	0.0628119	0.0206257	0.0149602	0.013956
a30	0.25985	0.192033	0.227542	0.150772	0.0700554	0.0348777	0.0318204	0.0330499
a26	0.191828	0.171776	0.163378	0.13431	0.0970018	0.0813512	0.0781331	0.0822228
a35	0.184983	0.184572	0.194109	0.148485	0.093608	0.0609525	0.0602143	0.0730758
a41	0.17711	0.185167	0.203276	0.169188	0.105469	0.0568222	0.0486013	0.0543652
a61	0.12826	0.156449	0.230696	0.202985	0.136412	0.0605985	0.0420966	0.0425022
a24	0.104079	0.111586	0.175778	0.191839	0.162058	0.102509	0.0734182	0.078734
a43	0.0970191	0.103862	0.173893	0.187297	0.157929	0.107299	0.0809688	0.0917321
a11	0.0788752	0.0711634	0.104144	0.156813	0.169824	0.132089	0.112847	0.174244
a35	0.0732833	0.0632868	0.0953489	0.149951	0.177469	0.149671	0.123513	0.167477
a14	0.0425967	0.0428463	0.0736832	0.10772	0.173649	0.200739	0.167058	0.191708
a2	0.0366472	0.0435545	0.0730161	0.113196	0.185789	0.205136	0.168588	0.174074
a53	0.0173135	0.0126335	0.0169252	0.0205034	0.041363	0.124423	0.243234	0.523605
a4	0.0167194	0.0090163	0.0105598	0.0146776	0.0358242	0.142829	0.290273	0.480101
a57	0.00817492	0.00479513	0.00584118	0.0105288	0.0297361	0.112821	0.269101	0.559001
a3	0.0116404	0.00609819	0.00484599	0.00580601	0.0149798	0.0725699	0.241464	0.642596
a87	0.0119568	0.00684796	0.0043255	0.00438155	0.0135375	0.0683391	0.257435	0.633177
</S>	0.00407939	0.00399397	0.00493262	0.00941007	0.0280117	0.0922903	0.258295	0.598987
