 	la	lampe	est	sur	la	table	</S>
a66	0.31693	0.184562	0.162253	0.1399	0.089814	0.0585106	0.0480301
a87	0.269968	0.154807	0.132386	0.116954	0.103632	0.103222	0.119031
a97	0.367126	0.197566	0.14019	0.108801	0.0697945	0.0535527	0.0629694
a38	0.410871	0.218219	0.136671	0.0875585	0.0494234	0.0413224	0.0559347
a94	0.484261	0.217415	0.120118	0.0727441	0.0425325	0.0333935	0.0295353
a56	0.391125	0.243294	0.16571	0.101162	0.0504278	0.0293373	0.0189427
a94	0.333811	0.271159	0.190879	0.108278	0.0511935	0.0272929	0.0173871
a56	0.229314	0.260663	0.219451	0.133133	0.0751159	0.0476294	0.0346949
a44	0.162144	0.197023	0.207378	0.152682	0.116092	0.0923452	0.0723362
a12	0.133234	0.166404	0.191085	0.152187	0.134293	0.124298	0.0985
a24	0.144065	0.160241	0.184949	0.150541	0.129088	0.125909	0.105206
a43	0.089921	0.091709	0.143681	0.175278	0.169201	0.162587	0.167623
a90	0.0508334	0.0554724	0.10151	0.162081	0.216116	0.21389	0.200096
a93	0.0269158	0.030426	0.0757051	0.169245	0.232205	0.235497	0.230006
a96	0.0181895	0.0173095	0.0397616	0.107195	0.196415	0.277296	0.343834
a21	0.0110824	0.00965943	0.0197032	0.0597734	0.143372	0.29322	0.46319
a31	0.0046369	0.00466362	0.00914318	0.0311621	0.111362	0.301964	0.537068
a43	0.00316686	0.00306142	0.00540965	0.0166511	0.0651693	0.26477	0.641771
a75	0.00199972	0.00249658	0.00496549	0.0144652	0.052869	0.230517	0.692687
a36	0.00118516	0.00154603	0.00312588	0.010407	0.0413459	0.21127	0.73112
a2	0.00518198	0.00626273	0.0097441	0.0215857	0.0615525	0.240363	0.65531
a82	0.129231	0.076716	0.0644257	0.0666288	0.0962848	0.183826	0.382887
a3	0.389204	0.181073	0.105151	0.0801168	0.0731759	0.073337	0.0979421
a97	0.160129	0.100215	0.0699221	0.0805549	0.137502	0.212945	0.238733
a27	0.116202	0.0752817	0.0620485	0.0942831	0.160003	0.233959	0.258223
a97	0.11235	0.091761	0.093057	0.121885	0.154439	0.201542	0.224966
a26	0.0937536	0.0710918	0.0751587	0.104325	0.14024	0.220917	0.294514
</S>	0.0832455	0.0761744	0.0811417	0.101463	0.131393	0.219686	0.306897
