 	fais	essayer	cet	habit	à	ton	enfant	s'	il	te	plait	</S>
a66	0.255167	0.141743	0.0922424	0.0939338	0.0895061	0.098553	0.0808927	0.0549966	0.0386858	0.0239673	0.0166424	0.0136701
a87	0.324632	0.289377	0.156011	0.0574214	0.0405965	0.0336543	0.0251224	0.0239425	0.0167853	0.0127122	0.0117007	0.00804451
a23	0.353999	0.334565	0.178665	0.0487347	0.01858	0.0112468	0.00828234	0.00926177	0.00818218	0.00914497	0.0116621	0.00767573
a83	0.333501	0.332243	0.183276	0.0430836	0.0218069	0.0155011	0.0104484	0.0104845	0.00956393	0.0106865	0.0160785	0.0133257
a56	0.313174	0.252782	0.117236	0.0571554	0.0390812	0.0361189	0.0280238	0.031253	0.0320733	0.035133	0.032547	0.0254231
a37	0.320716	0.244027	0.169529	0.130212	0.0519604	0.0344908	0.0142199	0.00913361	0.00702186	0.00835871	0.0061831	0.00414847
a21	0.209393	0.209439	0.17818	0.192257	0.0799504	0.0490375	0.0203157	0.0153043	0.0115316	0.0153205	0.0114708	0.00780039
a24	0.145232	0.18525	0.211662	0.21796	0.0852696	0.0514579	0.0234376	0.0190119	0.0117717	0.0184003	0.0168854	0.0136619
a43	0.0872026	0.110554	0.156333	0.220829	0.126445	0.0861241	0.0413415	0.0383093	0.0236789	0.040395	0.0378219	0.0309669
a75	0.0530832	0.0670724	0.142655	0.211451	0.156342	0.110421	0.0553454	0.0491512	0.0315268	0.0435974	0.0421082	0.0372457
a85	0.0353614	0.0441049	0.0663978	0.117291	0.110782	0.10034	0.0807757	0.0886826	0.0701019	0.110755	0.0988895	0.0765173
a47	0.0159455	0.0151627	0.0324652	0.0772294	0.10527	0.102979	0.0814869	0.0829791	0.0858796	0.127397	0.143013	0.130192
a98	0.0114386	0.00741117	0.0264046	0.0957172	0.150481	0.14011	0.105418	0.0794618	0.0767645	0.100198	0.108711	0.0978832
a85	0.00709718	0.00473171	0.0194013	0.0895952	0.143151	0.139932	0.118948	0.0980183	0.0938413	0.10356	0.0978857	0.0838384
a92	0.00562642	0.00336995	0.0122145	0.0512603	0.0797341	0.0871703	0.0970947	0.10081	0.122405	0.13514	0.152846	0.152329
a98	0.00617669	0.00364606	0.011923	0.0454872	0.0875677	0.106422	0.121209	0.114176	0.123134	0.130427	0.12808	0.121752
a25	0.00360267	0.00244084	0.00595407	0.0149982	0.0302918	0.0446578	0.0746137	0.0844078	0.155188	0.1703	0.198017	0.215529
a20	0.00157651	0.000670131	0.0017357	0.00486212	0.0119736	0.0149128	0.03507	0.0495013	0.120109	0.143265	0.256733	0.35959
a85	0.00265492	0.00150707	0.00295411	0.00542762	0.0109566	0.0163575	0.0387519	0.0550588	0.13346	0.166729	0.238994	0.327149
a37	0.00187673	0.000761259	0.00112472	0.00191934	0.00440638	0.00719839	0.0222396	0.0399169	0.130101	0.177154	0.241042	0.372259
a85	0.0040067	0.00130211	0.00178254	0.00296186	0.0063255	0.00903514	0.0292491	0.0577265	0.167436	0.142988	0.202174	0.375013
a92	0.000676435	0.000224786	0.000296309	0.000596244	0.00185226	0.00372405	0.0153491	0.0359803	0.142858	0.171051	0.21904	0.408351
a36	0.00120186	0.000307079	0.000329643	0.000741631	0.00212853	0.00380668	0.0133717	0.0366413	0.128274	0.146783	0.22194	0.444474
a26	0.00528707	0.00223047	0.00220134	0.00442308	0.00955793	0.0152153	0.0373346	0.0756049	0.1649	0.178643	0.208528	0.296074
a82	0.0118063	0.00748568	0.00578853	0.0124643	0.0182881	0.0244833	0.0443852	0.0789242	0.165687	0.182901	0.193629	0.254157
a87	0.265374	0.164184	0.0688293	0.0801909	0.0663927	0.0479268	0.0481283	0.0401843	0.0491664	0.0415826	0.051226	0.0768154
a23	0.329921	0.18535	0.135051	0.0805826	0.0556618	0.0352646	0.0399274	0.0357124	0.0318727	0.0258161	0.0223934	0.0224464
a87	0.110961	0.0739535	0.0356795	0.0159327	0.0169719	0.0186336	0.0436402	0.0779583	0.133275	0.144277	0.153365	0.175353
</S>	0.0141135	0.0132088	0.00650146	0.00536304	0.00500216	0.0056398	0.011469	0.0331903	0.0702363	0.163798	0.307378	0.3641
