 	je	m'	étonnais	de	voir	quelqu'	un	en	cache-sexe	en	haut	du	palmier	</S>
a66	0.0779316	0.0608858	0.0854084	0.210911	0.221276	0.185029	0.0781747	0.0446738	0.0230789	0.00432071	0.00252852	0.00184571	0.00196241	0.00197396
a87	0.247069	0.0810909	0.0733952	0.117805	0.0811374	0.0539136	0.0286119	0.0250924	0.0212571	0.022471	0.0358131	0.0535127	0.0823013	0.0765297
a97	0.125323	0.0794185	0.140853	0.120424	0.0885612	0.0626384	0.0425614	0.0451079	0.0458867	0.0300855	0.0345759	0.0339396	0.0676441	0.0829805
a99	0.146348	0.100892	0.203559	0.13665	0.0869686	0.0623402	0.0371189	0.0382846	0.0353404	0.024149	0.0234808	0.0239963	0.036495	0.0443772
a62	0.190045	0.129252	0.192329	0.157815	0.0861373	0.0634966	0.0312028	0.0332252	0.0300841	0.020349	0.0163429	0.0130554	0.0179759	0.0186893
a47	0.287007	0.192934	0.141043	0.154249	0.106027	0.0398464	0.019026	0.0193444	0.0210756	0.00886016	0.00463873	0.00205989	0.00211756	0.00177183
a88	0.290258	0.20555	0.144679	0.0962972	0.0746839	0.0334285	0.0177739	0.0180276	0.0259931	0.0246696	0.0272597	0.0146946	0.0151184	0.0115667
a0	0.237158	0.199619	0.158474	0.103988	0.0860751	0.0421945	0.0234805	0.022034	0.0317203	0.0265821	0.0271894	0.0152037	0.0150116	0.0112687
a62	0.172876	0.160626	0.172204	0.0975775	0.0778255	0.0439155	0.0238348	0.0209329	0.0300234	0.0325082	0.0488446	0.0376795	0.0436723	0.0374802
a47	0.143028	0.155273	0.1983	0.137678	0.118542	0.0698049	0.0326361	0.0227532	0.0292586	0.0222638	0.0235625	0.0160809	0.0165989	0.0142206
a62	0.0860301	0.121081	0.210764	0.133721	0.118294	0.0852701	0.0432672	0.0297363	0.0366495	0.028698	0.0325965	0.0262512	0.0249476	0.0226945
a31	0.0933606	0.118861	0.19049	0.147285	0.146341	0.106584	0.0543948	0.0323286	0.0315179	0.0179961	0.0174103	0.0140067	0.0148638	0.0145611
a62	0.0818365	0.107495	0.163486	0.134333	0.141824	0.118837	0.0742313	0.0455171	0.036699	0.0203126	0.0199357	0.0177016	0.0189771	0.0188147
a83	0.0706684	0.0982788	0.155535	0.123984	0.129147	0.1204	0.0803642	0.0530488	0.0461393	0.0310948	0.0292994	0.0219891	0.0211564	0.0188949
a71	0.0565013	0.0780239	0.137913	0.126459	0.141459	0.139151	0.0983771	0.0646525	0.0478086	0.0266423	0.0253486	0.0194167	0.0200536	0.0181927
a9	0.0286545	0.0401347	0.10096	0.118507	0.12936	0.164982	0.11528	0.0844159	0.0789383	0.0474949	0.0329502	0.021783	0.0191796	0.0173601
a75	0.0219129	0.0340922	0.109798	0.115587	0.107645	0.164069	0.102712	0.0772854	0.0785215	0.0467337	0.0415409	0.0333667	0.033315	0.0334221
a21	0.0115242	0.0233145	0.0658703	0.0755681	0.0776009	0.111965	0.0876869	0.0685194	0.0659527	0.0717445	0.0584808	0.0693412	0.0897951	0.122636
a12	0.0207548	0.0382548	0.0794302	0.100507	0.120756	0.117153	0.0942473	0.0730756	0.0608686	0.048915	0.0453961	0.0470035	0.0709271	0.0827113
a18	0.0124348	0.0220511	0.0605793	0.0883455	0.112329	0.128499	0.110943	0.0969398	0.088395	0.0686988	0.0539787	0.0463591	0.0549014	0.0555458
a21	0.00517762	0.0078136	0.0329034	0.0610884	0.0779919	0.129181	0.12361	0.116172	0.111943	0.0765464	0.0650175	0.0564811	0.0684624	0.0676109
a12	0.00652136	0.0111013	0.0305795	0.05374	0.0737479	0.0902945	0.0853152	0.076674	0.0769583	0.0903769	0.0915119	0.0872917	0.111828	0.11406
a75	0.00377648	0.0063017	0.018177	0.0367558	0.0577679	0.0922318	0.0888699	0.0838277	0.0932195	0.111738	0.111817	0.0939791	0.105394	0.0961434
a98	0.00200589	0.00329498	0.00913416	0.0156678	0.0223688	0.0592681	0.0634944	0.0556588	0.0670495	0.120814	0.12654	0.14676	0.141802	0.166142
a92	0.00315597	0.00478222	0.0148148	0.0214774	0.0260004	0.0645785	0.063416	0.0530709	0.0591433	0.112805	0.125548	0.146058	0.137185	0.167964
a37	0.00365296	0.00473175	0.0113651	0.0185345	0.0249725	0.0617253	0.0643906	0.0578334	0.068227	0.1345	0.130561	0.14335	0.124922	0.151234
a93	0.00227077	0.00287625	0.0069448	0.0120756	0.0190723	0.0581263	0.0608655	0.0543764	0.0663121	0.12098	0.123113	0.141013	0.151779	0.180195
a90	0.00183334	0.00200868	0.00451508	0.00886487	0.0149097	0.0412359	0.0465048	0.046439	0.0626469	0.126201	0.141247	0.15964	0.161444	0.182509
a44	0.000966233	0.00114561	0.00278152	0.00461059	0.0082746	0.0274387	0.0349334	0.0369082	0.0487152	0.101148	0.133321	0.18233	0.190591	0.226837
a43	0.000535994	0.000611224	0.00150735	0.00209902	0.0034282	0.0138568	0.0188126	0.0209191	0.0320765	0.077268	0.106785	0.182646	0.235983	0.30347
a21	0.00030757	0.000338089	0.000864623	0.00102074	0.00152632	0.00574669	0.00869635	0.010936	0.0172488	0.0533204	0.0777245	0.16649	0.267831	0.387948
a12	0.000222909	0.000304596	0.000891072	0.00105276	0.00193567	0.00552175	0.00858648	0.0118372	0.0243051	0.0789668	0.13953	0.203602	0.242889	0.280354
a70	0.000195686	0.000286862	0.00092948	0.000975743	0.00168929	0.0045186	0.00657695	0.00838851	0.0157127	0.0528958	0.0988651	0.191485	0.276615	0.340866
a50	0.000374436	0.000425105	0.00115927	0.00130192	0.00168355	0.00481131	0.00636901	0.00820413	0.0129419	0.0432826	0.0694929	0.181799	0.268529	0.399626
a88	0.000736367	0.000879597	0.00239105	0.00286743	0.0033349	0.0069372	0.00866843	0.0116099	0.0194842	0.0588044	0.0889758	0.192666	0.244326	0.358319
a71	0.000385798	0.000423514	0.0010136	0.00119223	0.00163817	0.00464174	0.00655767	0.00893812	0.0142532	0.0431271	0.0634574	0.174803	0.246375	0.433193
a58	0.00455206	0.00311947	0.00432541	0.00552078	0.00787821	0.0197512	0.029128	0.0413491	0.0447796	0.0822172	0.0758098	0.16413	0.190446	0.326993
a30	0.017409	0.00953859	0.0100155	0.0116934	0.0167336	0.0269123	0.0348316	0.0487958	0.0467575	0.0849217	0.0773257	0.152565	0.182751	0.279749
a70	0.0451929	0.0143624	0.0117764	0.017318	0.0227464	0.0213022	0.0255536	0.0385256	0.037206	0.0665305	0.0727404	0.176808	0.188666	0.261272
a88	0.000941423	0.000507981	0.000799979	0.00100647	0.00101138	0.00169059	0.00231043	0.00391501	0.00593613	0.0248492	0.0524141	0.178286	0.270279	0.456052
a71	0.000395353	0.000267624	0.000409371	0.000435301	0.000501298	0.00119666	0.00195661	0.00331216	0.00548922	0.023359	0.0452134	0.177129	0.267643	0.472693
a50	0.00226679	0.00119384	0.00156174	0.00187793	0.00240391	0.00566344	0.00879414	0.0126432	0.0138944	0.0386489	0.0611724	0.174002	0.243216	0.432661
a12	0.00217572	0.00134698	0.00198382	0.00244461	0.00322576	0.00825064	0.0125091	0.0172678	0.0202154	0.0472994	0.0688695	0.181334	0.221399	0.411678
a18	0.000216853	0.00019973	0.000368047	0.000451848	0.000619529	0.00166519	0.00251943	0.00416408	0.00840944	0.0316489	0.0624015	0.191725	0.258694	0.436917
a82	0.000728438	0.000449042	0.000649889	0.000709645	0.000935647	0.00208536	0.0039097	0.00626104	0.00865929	0.0265541	0.0498646	0.177371	0.254075	0.467748
a97	0.0153445	0.00698094	0.00597586	0.00818534	0.0127611	0.0171706	0.025752	0.032287	0.0339837	0.0592477	0.0705224	0.15702	0.211185	0.343584
a3	0.0297184	0.0110182	0.0113165	0.0216555	0.0256025	0.0296826	0.0298338	0.035246	0.0330894	0.0452845	0.0566875	0.119211	0.209296	0.342357
a97	0.0234266	0.00907027	0.0122802	0.0221024	0.0257729	0.0297735	0.0233462	0.0286484	0.0243653	0.0343953	0.0528276	0.120398	0.232251	0.361343
</S>	0.0163241	0.00728176	0.0167394	0.0264741	0.0235272	0.0213866	0.0147174	0.0173778	0.0144177	0.0205331	0.0414273	0.116553	0.258909	0.404332
