 	l'	épine	a	fait	éclater	le	pneu	du	vélo	</S>
a23	0.383056	0.229248	0.145882	0.0694748	0.0517018	0.0362939	0.0341459	0.0182322	0.0168575	0.0151086
a87	0.416291	0.27597	0.10754	0.0496042	0.0300105	0.0225549	0.0225815	0.0189142	0.0235844	0.0329489
a10	0.195856	0.175112	0.129657	0.0775832	0.0508861	0.0387978	0.0399538	0.055365	0.0839204	0.152869
a50	0.253495	0.222296	0.153452	0.0883777	0.0670162	0.0414708	0.0313993	0.0305504	0.0434673	0.0684756
a62	0.231199	0.212019	0.177661	0.115861	0.0882747	0.0440377	0.035683	0.02709	0.0313433	0.0368317
a61	0.298983	0.274602	0.223839	0.104786	0.0522005	0.0173494	0.0117285	0.00644402	0.00490264	0.00516647
a75	0.274004	0.289407	0.25807	0.103251	0.0438543	0.0130559	0.00826358	0.00405826	0.00301082	0.0030256
a25	0.169306	0.23196	0.275676	0.153659	0.0971887	0.0321639	0.0185453	0.00798601	0.00630332	0.00721162
a75	0.154811	0.223764	0.211159	0.150167	0.116616	0.0581211	0.0410182	0.018932	0.0127092	0.0127028
a66	0.136053	0.223001	0.225438	0.159486	0.114839	0.0543121	0.037579	0.0199336	0.0139184	0.0154404
a90	0.0746445	0.124824	0.147865	0.198282	0.227255	0.113234	0.0584683	0.0220041	0.0163202	0.0171037
a56	0.0562027	0.0889292	0.117588	0.165163	0.221257	0.144664	0.100737	0.0454958	0.0302239	0.0297396
a70	0.0794187	0.0854915	0.0879454	0.110587	0.183599	0.16394	0.140083	0.0684072	0.0425658	0.0379633
a0	0.0556609	0.0584992	0.0558067	0.0674381	0.132646	0.186281	0.192734	0.118558	0.0718107	0.0605661
a83	0.0361779	0.0321518	0.033102	0.0441678	0.0949131	0.158621	0.192198	0.156973	0.124936	0.126759
a9	0.0322456	0.0281498	0.0262192	0.0303499	0.0643602	0.14069	0.200956	0.219704	0.150735	0.106589
a53	0.0151538	0.0146056	0.0172598	0.0214627	0.0483903	0.0961772	0.147525	0.196888	0.209131	0.233407
a90	0.0168499	0.0141993	0.0132559	0.0160179	0.0362705	0.0747847	0.117564	0.241311	0.218454	0.251292
a25	0.0119593	0.0128769	0.0129435	0.0173463	0.0399414	0.0804976	0.116399	0.226834	0.238922	0.24228
a44	0.0087957	0.0093379	0.00928282	0.0117813	0.02571	0.0493663	0.0712633	0.197933	0.263511	0.353019
a62	0.00401119	0.00403673	0.00414958	0.0055833	0.0168849	0.039504	0.0646874	0.191278	0.264333	0.405532
a88	0.00518309	0.00446247	0.00409683	0.00449008	0.0111733	0.0226959	0.0348219	0.115066	0.238107	0.559904
a9	0.0055012	0.00430236	0.0034523	0.00360472	0.00758348	0.0172673	0.027634	0.0952882	0.227594	0.607773
a75	0.00130405	0.00134974	0.00112433	0.000768256	0.00137148	0.00379017	0.0106312	0.0780914	0.250341	0.651228
a47	0.00152498	0.00124273	0.00117132	0.00134948	0.00360446	0.00791898	0.0127231	0.0547206	0.194739	0.721006
a41	0.00032283	0.00030552	0.000313077	0.000310404	0.000791636	0.00269926	0.00568646	0.0446939	0.164311	0.780566
a37	0.000844145	0.000746608	0.000750872	0.000776845	0.00190454	0.0046747	0.00809037	0.053763	0.180002	0.748447
a66	0.000151897	0.000166538	0.000183525	0.000165878	0.000343038	0.000906949	0.00271621	0.0354989	0.157104	0.802763
a9	0.00282189	0.0035271	0.002848	0.00201609	0.00289261	0.00506306	0.0100003	0.0773341	0.262897	0.6306
a87	0.0304121	0.028751	0.015351	0.00817926	0.00878581	0.0116428	0.0172505	0.084188	0.250803	0.544637
a23	0.107335	0.112466	0.0554631	0.0286033	0.0237064	0.030812	0.044197	0.112774	0.192377	0.292266
a10	0.0545439	0.0491952	0.0272235	0.0185628	0.019757	0.0306363	0.0530509	0.163912	0.216421	0.366697
a9	0.0135515	0.0141831	0.00960215	0.00739192	0.0103468	0.0234896	0.0433842	0.144264	0.21047	0.523317
a10	0.0414501	0.0623202	0.0441929	0.0290784	0.0309242	0.043113	0.0558341	0.117513	0.16874	0.406834
a87	0.049568	0.0857714	0.0661575	0.0391936	0.037002	0.0460558	0.0580529	0.110779	0.15012	0.3573
a23	0.0828803	0.126889	0.0856683	0.0419275	0.0355995	0.0392858	0.0446987	0.0872718	0.132064	0.323715
a87	0.0395814	0.048522	0.0316888	0.0231628	0.0247286	0.0432764	0.0608408	0.156572	0.193097	0.378531
</S>	0.0443271	0.0546391	0.0335501	0.0227501	0.0273863	0.0463638	0.062498	0.157616	0.165831	0.385038
