 	c'	est	aujourd'	hui	qu'	il	arrive	</S>
a23	0.251578	0.18905	0.127541	0.107088	0.125873	0.0873492	0.0635103	0.048011
a53	0.356152	0.247943	0.120921	0.0780358	0.0786578	0.0432404	0.0388674	0.0361826
a20	0.417149	0.229722	0.0977621	0.0421348	0.0353721	0.0423422	0.058432	0.0770865
a73	0.458017	0.259214	0.10071	0.04415	0.0372653	0.0356537	0.0340235	0.0309663
a37	0.353845	0.251904	0.130219	0.0813751	0.0733439	0.0466686	0.0330391	0.0296055
a54	0.206445	0.199163	0.149324	0.12134	0.104004	0.0756016	0.0672171	0.0769041
a14	0.153138	0.152264	0.135647	0.121731	0.11593	0.109344	0.102397	0.109548
a41	0.135926	0.149107	0.152918	0.144159	0.130816	0.100806	0.0891728	0.0970941
a12	0.111961	0.121798	0.145249	0.153398	0.145622	0.111272	0.0994538	0.111247
a24	0.0671938	0.0643475	0.0829593	0.125484	0.165326	0.170795	0.161073	0.162821
a41	0.0617204	0.0581185	0.0792842	0.120006	0.147416	0.176126	0.173565	0.183764
a14	0.073797	0.0705404	0.087256	0.120899	0.140675	0.1594	0.155235	0.192197
a73	0.0587656	0.0565112	0.0716914	0.100756	0.136753	0.188743	0.187714	0.199065
a2	0.0535142	0.0522615	0.0677917	0.0784182	0.098934	0.179354	0.21359	0.256136
a54	0.016979	0.017092	0.0271185	0.0419188	0.0586566	0.139677	0.278804	0.419754
a73	0.0356811	0.0284231	0.0307076	0.0383825	0.0514074	0.132741	0.270118	0.412539
a25	0.0241916	0.0200603	0.0252805	0.034211	0.0518621	0.160755	0.319173	0.364466
a54	0.0378782	0.0264433	0.0258504	0.0295587	0.0422851	0.126065	0.296409	0.41551
a75	0.0496543	0.0340633	0.0338376	0.0372802	0.0482369	0.125171	0.282824	0.388933
a62	0.0377116	0.0267874	0.0322318	0.0422352	0.0571913	0.1455	0.304218	0.354124
a88	0.0355793	0.0240927	0.0235883	0.0281706	0.033693	0.0862184	0.269816	0.498841
a25	0.0357873	0.0246812	0.0218632	0.0232831	0.0284075	0.0722641	0.240304	0.55341
a87	0.0339314	0.0211979	0.0188699	0.0188387	0.025148	0.0633535	0.23915	0.579511
</S>	0.0099932	0.00735669	0.00746626	0.0113571	0.0229054	0.0620166	0.272009	0.606895
