 	a	qui	appartient	les	autres	bananes	</S>
a82	0.321129	0.210807	0.115206	0.0847595	0.0762448	0.0892298	0.102623
a10	0.296576	0.212605	0.150663	0.102849	0.0700888	0.0645345	0.102683
a30	0.475474	0.255647	0.103021	0.0479494	0.0321252	0.0343743	0.051409
a57	0.483447	0.263798	0.095933	0.0447114	0.0301034	0.0322462	0.0497611
a40	0.491743	0.265303	0.0989682	0.0438086	0.0275796	0.0319537	0.0406436
a7	0.443107	0.26678	0.0971882	0.0429398	0.0363508	0.0536413	0.059992
a76	0.337876	0.302418	0.148179	0.0734316	0.045963	0.0462221	0.0459112
a56	0.25597	0.233388	0.204457	0.141614	0.0728102	0.0523679	0.0393927
a98	0.16214	0.178288	0.188912	0.148242	0.109293	0.105143	0.107983
a85	0.145709	0.157636	0.209286	0.184354	0.117923	0.0958251	0.0892671
a47	0.103495	0.119269	0.194182	0.181195	0.136424	0.133958	0.131477
a85	0.0324679	0.03877	0.0849273	0.120781	0.160772	0.232458	0.329823
a37	0.0335335	0.0403055	0.102046	0.16089	0.193666	0.229093	0.240466
a36	0.0152497	0.0149147	0.0280695	0.0585472	0.144779	0.286747	0.451692
a27	0.00935369	0.00961068	0.0139806	0.025037	0.0832488	0.256327	0.602442
a30	0.00757884	0.00756588	0.0120627	0.0203631	0.06255	0.21099	0.67889
a57	0.0366354	0.0305869	0.0373472	0.0512348	0.098163	0.239818	0.506215
a87	0.202751	0.131074	0.0987321	0.0797406	0.0950415	0.143926	0.248735
a23	0.299671	0.195245	0.134893	0.0912269	0.0811168	0.0869015	0.110945
a87	0.12318	0.0803611	0.0799602	0.0862238	0.137931	0.195785	0.296559
</S>	0.0281764	0.0254076	0.0315238	0.0471081	0.115564	0.267787	0.484433
