 	le	récolteur	de	vin	de	palme	renverse	la	lie	pour	nettoyer	la	calebasse	</S>
a15	0.353069	0.196737	0.106912	0.0846767	0.0532555	0.0432583	0.0273129	0.0352308	0.025345	0.017904	0.01658	0.0151436	0.0121291	0.012445
a66	0.358136	0.098261	0.0594915	0.0463206	0.0283801	0.0295843	0.0279702	0.025671	0.0391144	0.0333682	0.0470033	0.063782	0.0743242	0.0685927
a87	0.255258	0.130274	0.0866908	0.0661726	0.0608699	0.0611858	0.044991	0.0379716	0.0229607	0.0231584	0.0378635	0.0459131	0.0546924	0.0719979
a23	0.191534	0.0776781	0.0662126	0.0520251	0.0579359	0.0652337	0.0427773	0.0417486	0.0348257	0.0427357	0.0773227	0.0854201	0.0833998	0.081151
a79	0.0990322	0.0478852	0.0618637	0.0653189	0.091434	0.103353	0.0760205	0.0631706	0.0469018	0.0550109	0.0753137	0.0783673	0.0636011	0.0727274
a69	0.115078	0.0871053	0.0753048	0.0794194	0.0795969	0.0778014	0.0635714	0.0556637	0.0321778	0.0455583	0.0734459	0.0871732	0.0608532	0.0672507
a53	0.137352	0.107064	0.144993	0.150382	0.140058	0.100631	0.0582518	0.0333293	0.014288	0.0184984	0.0258459	0.03301	0.0205903	0.0157053
a15	0.0640499	0.0562952	0.134766	0.14637	0.188229	0.159768	0.0850808	0.0361825	0.0137904	0.016745	0.0213293	0.0291488	0.0242727	0.0239722
a85	0.0323605	0.0457691	0.0861265	0.11958	0.166826	0.169527	0.120021	0.0622637	0.0326547	0.0254749	0.0264309	0.0349648	0.0362078	0.041794
a5	0.0362511	0.0436346	0.0899862	0.147567	0.194988	0.165065	0.109227	0.051075	0.0268738	0.0202907	0.0199632	0.0276019	0.0314187	0.0360582
a85	0.043138	0.0399838	0.0852868	0.146262	0.21902	0.201164	0.111613	0.0449081	0.020573	0.0132683	0.0135943	0.0173039	0.0194605	0.0244241
a47	0.0228097	0.0398101	0.084189	0.125106	0.156828	0.14036	0.110865	0.0690795	0.0508264	0.0391489	0.0326203	0.0347992	0.0402388	0.0533199
a36	0.0126767	0.0196753	0.0514228	0.109182	0.173724	0.175899	0.138305	0.0809183	0.0562628	0.0363755	0.0297634	0.0283948	0.0353253	0.0520752
a90	0.0129905	0.0191806	0.0469303	0.0957304	0.173843	0.198638	0.171499	0.0838474	0.0417297	0.0249821	0.0222855	0.0242472	0.0333775	0.0507187
a25	0.0138216	0.0171455	0.0431334	0.0863814	0.156319	0.174783	0.142048	0.0824579	0.0624597	0.0420928	0.0391017	0.037645	0.0448333	0.0577783
a94	0.00415402	0.00883318	0.0218334	0.0600669	0.122136	0.164123	0.178291	0.125109	0.113411	0.0607324	0.0428059	0.0298564	0.029047	0.0395998
a90	0.00492413	0.00825057	0.0180222	0.0347116	0.0642218	0.0883416	0.108131	0.119684	0.148954	0.0998908	0.0764082	0.0575361	0.0690481	0.101876
a56	0.00510647	0.00734198	0.0157878	0.0309129	0.0501835	0.0668982	0.0864165	0.112094	0.147465	0.117102	0.103031	0.0783635	0.078868	0.100429
a96	0.00513102	0.00677592	0.0133045	0.0232554	0.0429906	0.0593914	0.0712443	0.0905496	0.154326	0.13401	0.116023	0.0864797	0.086974	0.109544
a94	0.00491688	0.00739809	0.0134242	0.0210167	0.0407891	0.0601488	0.0653711	0.0832535	0.167814	0.135132	0.108384	0.076359	0.0830838	0.132909
a24	0.00317165	0.00540595	0.00871865	0.0137216	0.0285214	0.0458996	0.0527012	0.0657795	0.171026	0.151676	0.128483	0.0917516	0.0936644	0.139479
a88	0.00322191	0.00510394	0.00780519	0.0110773	0.0219273	0.0417987	0.0500278	0.0650248	0.154661	0.138967	0.120619	0.0939598	0.108826	0.17698
a98	0.00467403	0.00788337	0.00804806	0.00925513	0.0131664	0.0268485	0.0400427	0.0549243	0.136602	0.121745	0.124475	0.10714	0.126356	0.21884
a47	0.000480799	0.000855142	0.00128028	0.00265518	0.00777612	0.0178648	0.0281486	0.0308807	0.129821	0.130198	0.145398	0.10861	0.138853	0.257179
a6	0.000752931	0.00130067	0.00202441	0.00415756	0.01033	0.0202553	0.0291483	0.0312179	0.134377	0.141049	0.151235	0.107808	0.125534	0.240809
a36	0.000659333	0.00103248	0.00186812	0.00393178	0.00936257	0.015088	0.0189245	0.0238424	0.0929258	0.118209	0.136375	0.118698	0.160769	0.298314
a0	0.000826821	0.00175036	0.00189766	0.00298321	0.00452507	0.00715611	0.00992449	0.0132847	0.0614786	0.0909552	0.127317	0.130572	0.197995	0.349333
a43	0.00219468	0.00446594	0.00314577	0.00413167	0.00393199	0.00636003	0.0101246	0.013015	0.0658367	0.0906698	0.123142	0.123731	0.1978	0.351451
a75	0.00149858	0.00303716	0.00204147	0.00272329	0.0022632	0.00373422	0.00664918	0.00849928	0.0507841	0.0721479	0.0992401	0.111405	0.221026	0.414951
a47	0.000162551	0.000337151	0.000353104	0.000656716	0.00130217	0.00296896	0.00521371	0.00712707	0.031891	0.0419479	0.0652036	0.089792	0.230763	0.522281
