 	la	mouche	est	prise	dans	la	toile	d'	araignée	</S>
a85	0.211419	0.0968508	0.0642913	0.0752602	0.134488	0.149636	0.143101	0.0695149	0.0405502	0.0148883
a87	0.234196	0.118679	0.0890748	0.108021	0.145057	0.116671	0.0696642	0.0450802	0.0455806	0.0279773
a23	0.109041	0.112232	0.154964	0.141431	0.135024	0.113661	0.0613219	0.0436606	0.0543278	0.0743375
a87	0.240424	0.301923	0.154689	0.110561	0.0812128	0.0458196	0.0207176	0.0117722	0.0118397	0.0210409
a23	0.2522	0.253456	0.152127	0.114137	0.0805937	0.0525142	0.0275767	0.0200814	0.0200181	0.0272961
a87	0.30688	0.344114	0.131529	0.0800807	0.0473397	0.028606	0.0143216	0.0118762	0.0130791	0.0221734
a23	0.246673	0.243552	0.134395	0.0966262	0.069672	0.052106	0.0342839	0.0324813	0.0344435	0.0557673
a24	0.32804	0.319867	0.113697	0.0724777	0.0483703	0.0315479	0.0184928	0.0173257	0.0180063	0.0321753
a25	0.316883	0.396788	0.128752	0.079311	0.0400132	0.0179771	0.00658483	0.00445044	0.00472172	0.00451839
a24	0.219252	0.363547	0.177518	0.113736	0.0559548	0.0276519	0.0127827	0.00961549	0.00892079	0.0110218
a98	0.209787	0.348217	0.189333	0.12917	0.0643609	0.0329343	0.0124138	0.00613135	0.00379151	0.00386051
a88	0.150283	0.218674	0.186479	0.173389	0.12649	0.0779713	0.0350018	0.0161392	0.00825513	0.00731922
a24	0.109219	0.148318	0.179957	0.188107	0.157563	0.114239	0.0589601	0.0251674	0.0101802	0.00828973
a43	0.0904403	0.107267	0.167877	0.18006	0.177545	0.14444	0.0804105	0.0335139	0.0104436	0.00800149
a24	0.0569156	0.0655726	0.134923	0.156434	0.169483	0.176287	0.129589	0.0684542	0.0236403	0.0187013
a32	0.0582688	0.0621057	0.115576	0.13089	0.157204	0.181956	0.153531	0.0928376	0.0300786	0.0175522
a25	0.0389765	0.0461686	0.120701	0.135171	0.154366	0.17709	0.161386	0.0984451	0.037605	0.0300905
a24	0.0274878	0.0359325	0.104372	0.124073	0.147996	0.195377	0.186297	0.108435	0.0388893	0.0311403
a94	0.0356038	0.0446377	0.122829	0.135427	0.156856	0.172902	0.156092	0.107495	0.0415701	0.0265869
a75	0.0282403	0.036535	0.110399	0.136815	0.174561	0.188972	0.16226	0.101572	0.0354807	0.0251668
a14	0.0355203	0.0305919	0.0784446	0.102281	0.169922	0.203187	0.170653	0.107146	0.0540427	0.048212
a2	0.0338515	0.027773	0.0695421	0.0871112	0.1556	0.197968	0.181711	0.117621	0.0700446	0.0587772
a57	0.0165517	0.0159013	0.0381559	0.0493975	0.0892574	0.140037	0.20776	0.209081	0.136367	0.097491
a87	0.00935665	0.00913398	0.0242014	0.0365444	0.0654894	0.101665	0.159611	0.198914	0.204578	0.190506
a23	0.0496229	0.0434672	0.0626374	0.08627	0.135811	0.122384	0.134001	0.1322	0.142651	0.0909549
a38	0.0445386	0.0305878	0.0522971	0.0790536	0.151874	0.139894	0.138345	0.11898	0.117785	0.126645
a20	0.0178372	0.0173146	0.0498465	0.0666524	0.0971471	0.141383	0.144023	0.161239	0.125647	0.178909
a69	0.0202239	0.0166793	0.0451167	0.0594162	0.112237	0.180062	0.178308	0.142554	0.102288	0.143114
a58	0.0152701	0.0177046	0.0431926	0.0481295	0.0824414	0.169755	0.201835	0.177591	0.104981	0.1391
a10	0.0110898	0.0141403	0.033957	0.0382007	0.0685259	0.139857	0.190916	0.182441	0.127193	0.193679
a24	0.00985865	0.0105502	0.020664	0.023	0.040252	0.082892	0.155761	0.188227	0.176167	0.292628
a41	0.0156539	0.0162142	0.0323861	0.034002	0.0481367	0.0755271	0.116592	0.136675	0.169488	0.355325
a35	0.0103107	0.0104731	0.0213353	0.0231328	0.0377786	0.0754369	0.147894	0.16992	0.176086	0.327633
a41	0.0154424	0.0134851	0.0244656	0.0240511	0.0346855	0.0590994	0.119274	0.149491	0.218446	0.341559
a0	0.0329186	0.0262402	0.0373174	0.0347497	0.0432669	0.0622857	0.103428	0.12352	0.208741	0.327532
a41	0.0136559	0.0107467	0.0215233	0.0239431	0.0338913	0.0448081	0.0863124	0.123755	0.199098	0.442266
a2	0.0224079	0.0146381	0.0247301	0.0234085	0.0282405	0.0409377	0.0782881	0.116123	0.23767	0.413556
a40	0.0230117	0.0150627	0.0298151	0.0342418	0.0471933	0.0606562	0.106993	0.141195	0.192986	0.348846
a41	0.0768499	0.0505457	0.0583128	0.0560191	0.0636138	0.0596755	0.0755246	0.0842095	0.14885	0.3264
a73	0.0373523	0.0235282	0.0351824	0.035271	0.0396249	0.0530669	0.090481	0.125495	0.222758	0.33724
a2	0.0277145	0.0203367	0.0344244	0.0375161	0.0453624	0.0574361	0.0897973	0.11656	0.181842	0.38901
a57	0.0100139	0.00609925	0.00946979	0.0110742	0.0169205	0.0239499	0.0437074	0.076697	0.172272	0.629796
a87	0.0170578	0.00999477	0.00897532	0.00932474	0.0134008	0.0145461	0.0282202	0.0490347	0.175881	0.673565
</S>	0.024681	0.0199539	0.0201325	0.0180255	0.024435	0.0279547	0.0422675	0.0565706	0.154849	0.61113
