 	ibhoyi	chante	doucement	et	cela	fait	un	beau	chant	</S>
a66	0.256242	0.205588	0.218692	0.101337	0.0890781	0.0740767	0.0214942	0.0127586	0.0109911	0.00974315
a87	0.371723	0.184805	0.143864	0.0656597	0.059848	0.0652999	0.0309555	0.0239841	0.0282923	0.0255684
a23	0.328145	0.168573	0.112709	0.0753667	0.0759831	0.0652514	0.0426378	0.0407781	0.0448173	0.0457377
a57	0.423418	0.173923	0.080943	0.0456819	0.0493883	0.0541283	0.037231	0.0369349	0.0466416	0.0517099
a99	0.354365	0.175076	0.0939452	0.062198	0.0667179	0.0715761	0.0469557	0.0420768	0.0443024	0.0427871
a97	0.29931	0.155156	0.104717	0.074361	0.0854543	0.0888889	0.0568192	0.0489965	0.0475985	0.038699
a99	0.295473	0.180503	0.0964124	0.0656751	0.0756219	0.080317	0.0594006	0.0554894	0.0509732	0.0401352
a50	0.2861	0.155151	0.106148	0.0718836	0.09465	0.100001	0.0607053	0.0504061	0.0441236	0.0308313
a34	0.23436	0.153128	0.0837395	0.0646649	0.0969022	0.107389	0.0817652	0.0618835	0.0699038	0.046263
a44	0.260906	0.228016	0.0849053	0.0596294	0.0814367	0.0891839	0.0665514	0.0497104	0.0486867	0.0309738
a90	0.18167	0.199746	0.0758308	0.0610984	0.0801652	0.0868338	0.0872634	0.0777901	0.0835083	0.0660946
a56	0.158678	0.186653	0.0883507	0.0685188	0.0866465	0.0937848	0.0931113	0.0761571	0.0787249	0.069375
a75	0.135407	0.160626	0.0817039	0.0611571	0.0770409	0.0767637	0.078582	0.0735345	0.112957	0.142228
a85	0.128547	0.156894	0.119031	0.0958952	0.101143	0.0979599	0.0667685	0.0542052	0.0782403	0.101316
a5	0.106814	0.144877	0.131998	0.123456	0.132864	0.123208	0.0633691	0.0423077	0.0577709	0.073336
a21	0.17909	0.224426	0.172331	0.111238	0.0898152	0.0672825	0.0380108	0.0294074	0.0396857	0.0487129
a92	0.112961	0.164551	0.171272	0.121157	0.107483	0.0769628	0.0516173	0.0453109	0.0609936	0.0876912
a98	0.0743942	0.115297	0.134815	0.10671	0.112235	0.0949882	0.0735878	0.0678997	0.0917122	0.128362
a79	0.0645409	0.108455	0.145593	0.126756	0.147714	0.120713	0.0770196	0.0582732	0.0647458	0.0861896
a98	0.059708	0.103521	0.180922	0.149304	0.143194	0.101383	0.0611312	0.051637	0.0621665	0.0870333
a92	0.0544126	0.0967689	0.184842	0.162585	0.156318	0.100745	0.0613871	0.0474918	0.0567709	0.0786795
a85	0.0366293	0.0660754	0.160868	0.151797	0.153942	0.115826	0.0824682	0.0696427	0.0742527	0.0884997
a5	0.0375646	0.0637487	0.154383	0.163792	0.167791	0.118112	0.079499	0.0620742	0.0660067	0.0870286
