 	les	sourcils	protègent	les	yeux	contre	la	sueur	</S>
a66	0.340053	0.172713	0.0899	0.0847751	0.102565	0.114734	0.045198	0.0270341	0.0230274
a87	0.361547	0.234846	0.136752	0.0982443	0.0848155	0.0529598	0.0140267	0.00770155	0.00910707
a23	0.410749	0.332315	0.122872	0.0433764	0.0249117	0.0203834	0.0138114	0.0110101	0.0205707
a83	0.315081	0.362972	0.171411	0.0540561	0.0274417	0.0144298	0.0139522	0.013531	0.0271244
a9	0.348215	0.308985	0.117097	0.0579473	0.0362109	0.0355609	0.021515	0.0321309	0.042338
a24	0.312995	0.282747	0.167943	0.100544	0.0584172	0.0381939	0.0142092	0.0126028	0.0123473
a31	0.201542	0.296968	0.241065	0.12958	0.0584613	0.034617	0.0140081	0.0111387	0.0126203
a88	0.161906	0.281998	0.259667	0.144852	0.0657126	0.0391908	0.0159408	0.0138544	0.0168789
a31	0.0893996	0.176596	0.255763	0.195634	0.0996018	0.0800413	0.0327388	0.0284546	0.0417713
a88	0.0965568	0.180999	0.255515	0.207359	0.108372	0.0769869	0.0262307	0.0198059	0.0281742
a98	0.0690477	0.108228	0.188667	0.195513	0.154106	0.123087	0.0583757	0.0394128	0.0635635
a85	0.0714517	0.0885418	0.170822	0.216261	0.206242	0.103847	0.0422507	0.0375167	0.0630674
a5	0.037335	0.0438631	0.103407	0.176527	0.227544	0.147893	0.0731735	0.0756186	0.114638
a12	0.0364572	0.0446504	0.100159	0.153451	0.220574	0.136964	0.0806555	0.0852624	0.141826
a43	0.0256974	0.0306868	0.0619074	0.0997163	0.191649	0.171594	0.111331	0.112225	0.195193
a11	0.0189618	0.021446	0.0418025	0.0655203	0.147836	0.168382	0.141843	0.138857	0.255351
a75	0.0406078	0.0353166	0.0418384	0.0426645	0.0838867	0.116557	0.185613	0.157231	0.296285
a25	0.00414277	0.00325073	0.005597	0.0108751	0.0382838	0.0961957	0.19107	0.253105	0.39748
a69	0.00211522	0.00167717	0.00264366	0.0048393	0.0168043	0.0448587	0.165147	0.284109	0.477806
a53	0.00124679	0.000988591	0.00150506	0.00235694	0.00712883	0.0170329	0.0722109	0.235072	0.662458
a90	0.00120258	0.000666432	0.000971831	0.00181603	0.00576273	0.019353	0.120671	0.28398	0.565576
a94	0.000434519	0.000213011	0.000326238	0.000848785	0.00343028	0.0146934	0.106274	0.266821	0.606959
a57	0.00056583	0.000279522	0.000360235	0.000643907	0.0022099	0.00826168	0.0798714	0.269863	0.637945
a82	0.00639902	0.00367769	0.00302439	0.00289495	0.0058476	0.0126059	0.0686805	0.248887	0.647983
a10	0.145973	0.0707783	0.0511716	0.0509998	0.0632731	0.0649399	0.117211	0.169509	0.266145
a87	0.272019	0.152218	0.0837989	0.0537282	0.0555889	0.0676316	0.0992229	0.100947	0.114845
a23	0.30931	0.188443	0.107586	0.0667676	0.0681227	0.0662127	0.0757076	0.062551	0.0552994
a87	0.0982941	0.0557251	0.0388704	0.0256535	0.0366259	0.0494079	0.137063	0.223177	0.335183
</S>	0.0100619	0.00683579	0.00641528	0.0062499	0.010327	0.0228316	0.0839228	0.248845	0.604511
