 	qui	t'	a	dit	tout	cela	</S>
a87	0.474145	0.234563	0.114096	0.0697637	0.0481293	0.0308012	0.0285018
a23	0.419728	0.254036	0.086617	0.0744213	0.0685177	0.0501128	0.0465674
a79	0.278041	0.227163	0.135227	0.0874396	0.0743607	0.0840945	0.113675
a44	0.476217	0.235539	0.0781945	0.032328	0.03675	0.0549727	0.0859984
a96	0.365888	0.295332	0.171311	0.0684365	0.0361546	0.031923	0.0309552
a21	0.27529	0.316612	0.262461	0.0870131	0.0245624	0.0171296	0.0169316
a12	0.226129	0.281704	0.282927	0.120762	0.0394688	0.0254806	0.0235288
a75	0.189745	0.215688	0.246746	0.151569	0.0734138	0.0605657	0.0622729
a92	0.159975	0.17941	0.217983	0.149373	0.0989342	0.0926033	0.101721
a44	0.1087	0.102984	0.126153	0.129954	0.146246	0.175053	0.210911
a90	0.103575	0.111936	0.171723	0.220707	0.142557	0.11511	0.134391
a25	0.0902346	0.0739736	0.095674	0.183475	0.181731	0.171415	0.203497
a75	0.0433031	0.0332099	0.0465279	0.162873	0.253283	0.223266	0.237538
a12	0.041691	0.0246479	0.0283289	0.0935719	0.188783	0.273463	0.349514
a47	0.0219051	0.0172983	0.0209922	0.0740945	0.212036	0.305298	0.348376
a96	0.0204171	0.0160037	0.0207495	0.0675338	0.185216	0.295062	0.395018
a88	0.00648239	0.00588712	0.00857853	0.0388945	0.135584	0.295715	0.508859
a75	0.00200165	0.00171081	0.00254161	0.0142533	0.0684183	0.247496	0.663579
a6	0.00234079	0.00186613	0.0026717	0.0160984	0.0800163	0.309269	0.587738
a36	0.00131075	0.00110117	0.00176175	0.0121701	0.0658011	0.275155	0.6427
a2	0.00293558	0.0021326	0.00261065	0.0169994	0.0812315	0.262622	0.631468
a57	0.112654	0.0563683	0.0343718	0.0511446	0.0992767	0.223034	0.42315
a87	0.362201	0.240959	0.10245	0.0631264	0.0599059	0.0723274	0.0990305
a23	0.297079	0.207391	0.0917517	0.0713831	0.0991648	0.109319	0.123911
a87	0.0795562	0.0612605	0.0385428	0.0513761	0.133523	0.259943	0.375798
</S>	0.0110436	0.0105175	0.00975519	0.0286512	0.11281	0.280657	0.546566
