 	aujourd'	hui	je	me	suis	réveillé	en	retard	</S>
a66	0.24672	0.165026	0.133585	0.135856	0.124753	0.108322	0.0509157	0.0196632	0.0151588
a87	0.165581	0.127279	0.107336	0.147185	0.149934	0.13193	0.0744515	0.0487514	0.0475514
a23	0.42498	0.229911	0.154863	0.0673153	0.0317902	0.0175601	0.0149778	0.0218435	0.0367584
a87	0.364611	0.232609	0.214155	0.0893537	0.0355419	0.00803276	0.00775337	0.0132337	0.0347085
a10	0.354017	0.220035	0.201896	0.0936036	0.0483738	0.0146326	0.0120147	0.0185356	0.0368919
a87	0.342544	0.193205	0.182842	0.0988352	0.0607711	0.0212011	0.020107	0.0288675	0.0516268
a23	0.334612	0.19028	0.171313	0.105297	0.0717063	0.0248566	0.0198215	0.0282222	0.0538917
a38	0.37272	0.166143	0.151619	0.0907535	0.053412	0.0232791	0.0273825	0.03537	0.0793199
a54	0.221743	0.13589	0.141219	0.126126	0.0775818	0.0485112	0.0584543	0.0630894	0.127384
a36	0.162282	0.132503	0.142561	0.161278	0.116603	0.0618268	0.0635522	0.053652	0.105742
a7	0.101336	0.0937901	0.12875	0.180639	0.194356	0.103567	0.0740441	0.0427435	0.0807744
a54	0.0823316	0.0926075	0.141844	0.186125	0.201793	0.104273	0.0670563	0.0447295	0.0792399
a6	0.0414386	0.0549648	0.101447	0.183021	0.224231	0.155117	0.0962537	0.060064	0.083463
a36	0.0483257	0.053593	0.095572	0.186436	0.248888	0.142833	0.0785371	0.0566572	0.0891582
a37	0.0615441	0.0572381	0.0679142	0.127079	0.194931	0.182015	0.104385	0.0826993	0.122193
a96	0.0572917	0.0516812	0.0539882	0.108277	0.190437	0.222707	0.118251	0.0786136	0.118752
a66	0.0553248	0.0486571	0.0427949	0.0777503	0.141722	0.247113	0.14398	0.0970291	0.145628
a18	0.0515389	0.0455585	0.0369503	0.0560129	0.0881974	0.220363	0.169131	0.133894	0.198354
a90	0.0342374	0.0284021	0.0221536	0.0286197	0.0416392	0.164927	0.204744	0.196297	0.27898
a69	0.0212787	0.0178783	0.0141372	0.0225358	0.0392819	0.202787	0.242549	0.180567	0.258985
a58	0.0138566	0.0121061	0.0101485	0.016331	0.0280044	0.173315	0.254697	0.213424	0.278118
a40	0.00520393	0.0041893	0.00357742	0.00498717	0.00755747	0.0618567	0.148299	0.273064	0.491265
a47	0.00344166	0.00293373	0.00235853	0.00368416	0.00553955	0.047356	0.147073	0.287007	0.500606
a37	0.00163947	0.00125163	0.000853331	0.00124477	0.00217987	0.0308335	0.102361	0.250149	0.609488
a26	0.00132857	0.000945391	0.000537796	0.000710415	0.00121279	0.0172592	0.065195	0.246609	0.666202
a82	0.000925773	0.000565193	0.000300235	0.000452623	0.00082009	0.00711601	0.0360912	0.2865	0.667229
a10	0.0230681	0.0130321	0.00555634	0.00620907	0.00516508	0.0143947	0.0515522	0.270284	0.610738
a87	0.220704	0.128782	0.0596425	0.0422202	0.0224096	0.0321742	0.0588264	0.164023	0.271219
a23	0.230076	0.15737	0.0921411	0.0662441	0.0383548	0.0516653	0.0652239	0.122265	0.176659
a87	0.225871	0.120912	0.0412884	0.0292018	0.0163456	0.0317039	0.0546306	0.146462	0.333584
</S>	0.0241194	0.0164662	0.0101923	0.0100252	0.00808048	0.027595	0.0563658	0.21593	0.631226
