 	si	tu	consommes	beaucoup	de	safous	tu	vas	t'	endormir	</S>
a66	0.111624	0.0973813	0.096687	0.10485	0.118441	0.155199	0.122411	0.103815	0.0559692	0.0263178	0.00730328
a87	0.463275	0.23141	0.0379695	0.0235099	0.0342519	0.0549616	0.0491049	0.0518301	0.0246918	0.0197637	0.00923164
a23	0.409359	0.213508	0.0773651	0.0453682	0.0394864	0.0391606	0.0349209	0.0432746	0.0430077	0.0360142	0.0185355
a87	0.277141	0.178304	0.0830464	0.0620384	0.0563915	0.0617038	0.0685112	0.0769342	0.0582866	0.0426008	0.0350418
a23	0.218121	0.162566	0.111495	0.0793009	0.0700984	0.0758464	0.0802061	0.0804651	0.0607763	0.037739	0.023386
a87	0.196254	0.156312	0.104396	0.064163	0.0632055	0.0858998	0.0856895	0.0927042	0.0692323	0.0476595	0.0344845
a23	0.182434	0.148409	0.125393	0.078193	0.0705899	0.0841635	0.084729	0.0893169	0.0679993	0.0425412	0.0262319
a30	0.162253	0.154751	0.109335	0.0642511	0.0642939	0.0962453	0.0958781	0.10023	0.0705717	0.0470862	0.0351057
a53	0.166005	0.206756	0.119984	0.059248	0.0591145	0.09871	0.0931072	0.0966792	0.0561296	0.0275845	0.0166815
a15	0.241538	0.325412	0.151163	0.0508469	0.0412879	0.045893	0.0330555	0.0371972	0.0353038	0.0203281	0.0179748
a79	0.146383	0.209372	0.172993	0.085497	0.0729512	0.0713497	0.0493025	0.0567387	0.0572724	0.0411987	0.0369421
a37	0.158403	0.252802	0.167994	0.0833846	0.0646903	0.0556555	0.044238	0.0474793	0.0489218	0.0439714	0.0324608
a93	0.14788	0.217229	0.173298	0.0994539	0.0718374	0.0632204	0.0564403	0.0552169	0.0522246	0.0411366	0.0220624
a70	0.154062	0.212556	0.216335	0.115638	0.0765943	0.0522511	0.0404057	0.035721	0.0392995	0.0346085	0.0225286
a11	0.0795161	0.0996392	0.202848	0.163059	0.108935	0.0720555	0.0602144	0.0574296	0.0632097	0.0512497	0.0418438
a47	0.0772772	0.0791192	0.161362	0.152793	0.114006	0.0768973	0.0659029	0.0686214	0.0803193	0.0680415	0.05566
a31	0.0272511	0.0277376	0.120344	0.169436	0.14075	0.102814	0.100072	0.1013	0.101788	0.0649449	0.043563
a43	0.0378857	0.0369856	0.12967	0.1616	0.147714	0.107989	0.0891841	0.0857665	0.0890107	0.072466	0.0417277
a75	0.0131645	0.0123272	0.0745404	0.169979	0.162444	0.123324	0.1164	0.119104	0.107762	0.0630732	0.0378813
a85	0.01453	0.0144807	0.0663981	0.139686	0.134883	0.114087	0.111618	0.106188	0.110695	0.101395	0.086039
a5	0.0109207	0.0120595	0.0544784	0.136216	0.135577	0.114626	0.112846	0.102598	0.102014	0.102729	0.115935
a37	0.00691963	0.00756313	0.042891	0.129462	0.156598	0.142613	0.141924	0.125423	0.110421	0.0864041	0.049781
a43	0.00642229	0.00686099	0.0296703	0.104895	0.138977	0.13418	0.147407	0.136853	0.124721	0.0973281	0.0726854
a31	0.00510406	0.00559566	0.0163459	0.069468	0.106207	0.123564	0.193932	0.18065	0.133517	0.0952571	0.0703602
a88	0.00576817	0.00658084	0.0241092	0.0819425	0.11882	0.123623	0.146435	0.146894	0.131506	0.120441	0.0938799
a38	0.00451929	0.00557498	0.0168142	0.0574969	0.083363	0.106994	0.181429	0.184908	0.142613	0.106532	0.109755
a82	0.00687274	0.00754053	0.0171519	0.0514121	0.0795326	0.117231	0.218226	0.203749	0.133764	0.0924884	0.0720311
a97	0.0153887	0.0138625	0.0247776	0.0555589	0.0870945	0.128815	0.192776	0.164176	0.121256	0.103163	0.0931321
a3	0.0325765	0.0231084	0.0284606	0.0514125	0.0844623	0.122665	0.168232	0.154307	0.120541	0.109357	0.104878
a82	0.040606	0.0245006	0.0203122	0.0447146	0.0759867	0.109843	0.142271	0.137867	0.128424	0.136008	0.139467
a97	0.0693185	0.0351358	0.0195147	0.0318133	0.046735	0.0657084	0.0899874	0.125745	0.168484	0.2264	0.121158
a83	0.0576483	0.028738	0.0278013	0.0351118	0.0433191	0.0616919	0.0843996	0.137227	0.205415	0.226602	0.0920468
a56	0.00837827	0.00442274	0.00811756	0.0294131	0.0424861	0.056722	0.082284	0.117966	0.160212	0.209389	0.28061
a25	0.00769619	0.00550703	0.0130901	0.0317233	0.0424946	0.0556139	0.0692689	0.0939166	0.118008	0.20318	0.359501
a69	0.00267055	0.00310911	0.0209434	0.054331	0.0560328	0.0650033	0.0737569	0.091846	0.112722	0.169181	0.350404
a90	0.00798423	0.00754231	0.0204264	0.0384239	0.0427901	0.0510795	0.0686623	0.0854583	0.108072	0.200823	0.368738
a25	0.00993234	0.00845408	0.0200183	0.0410823	0.0488696	0.0590281	0.07483	0.0850445	0.0951189	0.175846	0.381776
a15	0.00339775	0.00344474	0.0140488	0.0349622	0.0399503	0.0496368	0.0653466	0.0643217	0.0686321	0.135655	0.520604
a0	0.00259695	0.00221266	0.00682414	0.0227022	0.0286589	0.0387216	0.0605726	0.0641324	0.0675583	0.140543	0.565478
a11	0.00663972	0.00469902	0.00665638	0.0180392	0.0277818	0.0364842	0.0649203	0.0826962	0.0971062	0.186442	0.468535
a66	0.00636578	0.00498408	0.00710016	0.0176668	0.0273533	0.0356683	0.0598543	0.0821323	0.0993113	0.167303	0.49226
a13	0.0167432	0.0122208	0.0174643	0.0362598	0.0504887	0.0657878	0.0843013	0.0969601	0.0844149	0.148464	0.386895
a9	0.0192718	0.0143101	0.0187108	0.0349072	0.0477048	0.061568	0.077554	0.0897283	0.079176	0.140234	0.416835
a99	0.0243733	0.016494	0.0234016	0.046632	0.0643914	0.0863935	0.114098	0.133242	0.102346	0.14769	0.240937
a87	0.0356842	0.0167798	0.0152429	0.028919	0.0477093	0.0735969	0.104945	0.121603	0.092239	0.141854	0.321427
a97	0.0613533	0.0264372	0.0147787	0.0299223	0.0566592	0.0892145	0.130825	0.149088	0.103344	0.133451	0.204927
a99	0.0716226	0.0285188	0.0177202	0.0285358	0.0453194	0.0680729	0.0976873	0.124395	0.114864	0.165304	0.23796
a97	0.0640815	0.0255325	0.0179613	0.0336744	0.0574046	0.0781547	0.0967724	0.135206	0.146066	0.164785	0.180361
a87	0.0699163	0.0302247	0.0233773	0.0364232	0.0557491	0.0792135	0.0989506	0.142897	0.153453	0.157459	0.152336
a23	0.0882717	0.0414286	0.0322129	0.0373521	0.0521843	0.0759473	0.0961204	0.133842	0.145306	0.150634	0.146701
a87	0.0370721	0.0174999	0.0303124	0.0537243	0.0705479	0.090394	0.107442	0.124309	0.103368	0.129508	0.235823
a23	0.0639162	0.0264201	0.0406881	0.0575363	0.0711579	0.090253	0.104999	0.131046	0.127814	0.122039	0.164129
a87	0.0311594	0.0151438	0.0260205	0.0455861	0.0551739	0.0662575	0.0740536	0.0896027	0.0926643	0.145135	0.359203
</S>	0.0479011	0.0201524	0.0317097	0.0432415	0.0542012	0.0638278	0.0700119	0.0921927	0.110763	0.145562	0.320437
