 	les	chasseurs	ont	vu	un	boa	en	noeud	</S>
a66	0.295148	0.221913	0.248779	0.149024	0.0605773	0.0132775	0.00636175	0.00281281	0.00210575
a87	0.396146	0.21578	0.14001	0.0878494	0.0517697	0.0260839	0.021456	0.0158836	0.0450217
a10	0.272038	0.199536	0.144043	0.111031	0.0975299	0.0670632	0.0445834	0.0317714	0.0324043
a87	0.211476	0.170147	0.134066	0.116406	0.111569	0.106015	0.072397	0.0451085	0.0328152
a97	0.19717	0.150502	0.118577	0.108847	0.117825	0.129886	0.0854776	0.0531808	0.0385357
a87	0.128693	0.100536	0.0897441	0.102192	0.149835	0.170316	0.136672	0.0746064	0.0474054
a97	0.133888	0.107854	0.104739	0.125524	0.177087	0.156131	0.0981009	0.0574331	0.0392423
a40	0.120902	0.092754	0.0906083	0.107903	0.18237	0.182989	0.135321	0.0587768	0.0283753
a73	0.294544	0.189639	0.156592	0.119656	0.108452	0.0741949	0.0371596	0.0109322	0.00883057
a7	0.367676	0.252857	0.165236	0.098825	0.0547187	0.0381395	0.0132033	0.00556591	0.00377829
a47	0.375618	0.275069	0.147365	0.0822101	0.047682	0.0407537	0.0133618	0.0103107	0.0076298
a96	0.282887	0.255197	0.158374	0.10954	0.0721544	0.0658856	0.018289	0.018078	0.0195958
a75	0.281806	0.241579	0.156528	0.116357	0.0831985	0.0666869	0.0167691	0.0183477	0.0187272
a85	0.178973	0.194478	0.175364	0.162442	0.117489	0.0830447	0.0286615	0.0321886	0.0273588
a36	0.127137	0.14291	0.145359	0.146815	0.103049	0.0782211	0.0496813	0.082297	0.124531
a21	0.109204	0.148053	0.161981	0.158039	0.127799	0.107761	0.0476013	0.0635314	0.0760309
a5	0.095179	0.126652	0.131738	0.12557	0.1036	0.0952889	0.0703494	0.109189	0.142433
a12	0.0412326	0.0736923	0.102606	0.110487	0.0876989	0.0870845	0.0907852	0.158578	0.247836
a90	0.0226506	0.040428	0.0648032	0.0812143	0.0707586	0.0821664	0.120701	0.208617	0.308661
a79	0.00912977	0.0163545	0.0338883	0.0579757	0.0656469	0.0800433	0.119985	0.224334	0.392643
a44	0.00546425	0.00896426	0.0234609	0.0530522	0.0664786	0.0890528	0.150751	0.240329	0.362446
a98	0.007011	0.00955996	0.0160786	0.0335168	0.0477543	0.0693983	0.116757	0.2183	0.481624
a47	0.00231276	0.00372226	0.0103049	0.0316742	0.0567249	0.0841475	0.145004	0.213803	0.452307
a15	0.00101919	0.0015896	0.00341215	0.00824797	0.0188258	0.046396	0.127465	0.219259	0.573786
a7	0.0008467	0.00129012	0.00270429	0.00649865	0.0155212	0.0470648	0.137746	0.233425	0.554903
a90	0.000777776	0.000759067	0.00107984	0.00172637	0.00420617	0.0170776	0.0858734	0.199275	0.689224
a44	0.000915464	0.000844237	0.00139744	0.00244067	0.00517009	0.0166982	0.0908239	0.182699	0.699011
a4	0.00025678	0.000273394	0.00050338	0.000849423	0.00171911	0.00636874	0.0539054	0.158343	0.777781
a44	0.000261536	0.000341614	0.000550689	0.000819476	0.00142492	0.00500851	0.052878	0.182817	0.755899
a54	0.000191479	0.000271871	0.000425989	0.000626492	0.00110495	0.00436103	0.0523316	0.178469	0.762218
a15	4.50528e-05	5.75748e-05	0.000112155	0.000226242	0.000595806	0.00443556	0.0611321	0.167511	0.765884
a7	0.000179075	0.000210164	0.00031735	0.000513176	0.00134601	0.00727486	0.0766348	0.192848	0.720677
a44	0.000266752	0.00035483	0.000595944	0.000880663	0.00195174	0.00674411	0.0653718	0.154558	0.769276
a4	0.000349226	0.00048064	0.0010382	0.00153886	0.00349584	0.0108992	0.0957735	0.180444	0.705981
a13	0.000269967	0.000404952	0.000950593	0.00147658	0.003131	0.0101139	0.0892771	0.199575	0.694801
a3	0.00027534	0.000342214	0.000612719	0.000875862	0.00226447	0.00660855	0.0811355	0.195385	0.712501
a97	0.0178907	0.00942649	0.00871637	0.00727475	0.0135582	0.0304782	0.145714	0.270991	0.49595
a99	0.0593896	0.0358151	0.0327342	0.0253512	0.0302547	0.0373948	0.141402	0.251271	0.386387
a97	0.0115636	0.00891912	0.00836054	0.00831075	0.0119301	0.0232821	0.0892023	0.216368	0.622064
a99	0.00955897	0.00813274	0.0077594	0.00852066	0.0132653	0.0256738	0.0831005	0.19754	0.646449
a97	0.00592272	0.0044747	0.00495215	0.00623509	0.0133637	0.0321546	0.088128	0.206529	0.63824
a99	0.00340418	0.0034911	0.00504535	0.0078824	0.01558	0.0311324	0.0666167	0.162387	0.704461
a97	0.00557008	0.00544507	0.00814665	0.0126838	0.0240073	0.0407694	0.0836069	0.176408	0.643363
a84	0.00526633	0.00614395	0.00964311	0.0146035	0.023519	0.0382088	0.0727677	0.161469	0.668379
</S>	0.0112156	0.0142436	0.0216317	0.0285723	0.0381216	0.051696	0.0790836	0.14571	0.609726
