 	attention	à	ce	que	tu	fais	</S>
a79	0.406136	0.204375	0.11599	0.0634298	0.0572214	0.0693283	0.0835195
a69	0.18813	0.129449	0.108185	0.113284	0.124417	0.145296	0.19124
a57	0.356227	0.264305	0.159166	0.0828232	0.0497276	0.0426313	0.04512
a54	0.501225	0.306939	0.1299	0.0355591	0.0115809	0.00745954	0.00733547
a30	0.328826	0.266378	0.175464	0.10194	0.0547581	0.0377734	0.0348614
a41	0.306363	0.281716	0.197691	0.109154	0.0494489	0.0299371	0.02569
a14	0.302296	0.279203	0.194462	0.11353	0.0535256	0.0314027	0.0255806
a35	0.239527	0.243296	0.196283	0.145989	0.079428	0.0512499	0.0442273
a66	0.163473	0.200315	0.19894	0.184686	0.120751	0.076807	0.0550274
a11	0.13034	0.157861	0.170277	0.18828	0.15298	0.114179	0.0860833
a90	0.0869662	0.107075	0.132794	0.190254	0.195094	0.163031	0.124785
a76	0.0851998	0.0904994	0.107798	0.161887	0.202375	0.193229	0.159012
a90	0.0525394	0.0560432	0.0711111	0.111457	0.199531	0.265452	0.243866
a94	0.0949152	0.0877487	0.0974241	0.119455	0.170454	0.217242	0.212761
a76	0.0435998	0.036921	0.0399212	0.0626145	0.140336	0.289851	0.386757
a41	0.031937	0.0299604	0.0365766	0.061416	0.128036	0.27154	0.440535
a18	0.0126916	0.0114735	0.0143885	0.0315612	0.0974324	0.285153	0.5473
a38	0.00940717	0.00826896	0.00915535	0.0199182	0.0670059	0.249718	0.636527
a21	0.0167641	0.0135187	0.0153665	0.0310867	0.0818065	0.242911	0.598546
a41	0.0190444	0.0144695	0.0145983	0.0277336	0.0723229	0.222298	0.629533
a35	0.0187542	0.0169417	0.0182854	0.0345003	0.0893234	0.25236	0.569835
a94	0.0177528	0.0165344	0.0195343	0.0399958	0.101236	0.259639	0.545307
a58	0.0150856	0.0126198	0.0127105	0.0230973	0.0659811	0.227557	0.642949
a82	0.0221623	0.0184235	0.0173621	0.0305101	0.0728548	0.2177	0.620987
a87	0.0259445	0.0292605	0.027163	0.041063	0.0754815	0.192726	0.608361
</S>	0.078434	0.0998671	0.0838687	0.0852163	0.102826	0.174132	0.375656
