 	la	manière	dont	s'	embourbé	leur	véhicule	ils	ne	s'	en	sortiront	pas	aujourd'	hui	</S>
a66	0.109613	0.0750321	0.0801596	0.0524383	0.0653301	0.0567595	0.0795022	0.131182	0.108993	0.0715363	0.0585137	0.0696837	0.0211577	0.00766269	0.00695154	0.00548468
a87	0.122754	0.0701102	0.0679588	0.0595634	0.0608724	0.0440564	0.064893	0.0884851	0.0749726	0.0622268	0.0545985	0.0605965	0.066894	0.0362968	0.0340379	0.0316837
a23	0.246691	0.191036	0.111657	0.0631209	0.0399063	0.0184406	0.0283836	0.0526023	0.0449868	0.0434397	0.0474023	0.0341513	0.0212137	0.0148651	0.0173668	0.0247369
a3	0.299079	0.250389	0.16263	0.0567574	0.0420302	0.0110671	0.018103	0.0284545	0.0295565	0.0265616	0.0297926	0.0166408	0.00756475	0.00450224	0.00547881	0.0113928
a99	0.309659	0.25756	0.168808	0.0520171	0.0352388	0.0098084	0.0137675	0.023158	0.0217551	0.0252674	0.0282741	0.015303	0.0109507	0.00790729	0.00886528	0.0116607
a87	0.29558	0.212499	0.114751	0.0319276	0.0221964	0.0118678	0.0217008	0.0414897	0.038565	0.0469269	0.0464557	0.0246839	0.0206776	0.0174013	0.0233916	0.0298858
a23	0.266797	0.195321	0.125483	0.0429719	0.0371739	0.0148934	0.0273614	0.0443975	0.044108	0.0465319	0.0457638	0.0276749	0.0215741	0.0166138	0.021519	0.0218154
a12	0.305293	0.172205	0.0897513	0.0293572	0.0262111	0.0183598	0.0301252	0.0459177	0.0426639	0.0444771	0.0393485	0.0278565	0.0288012	0.0267323	0.034908	0.0379916
a34	0.356854	0.183826	0.104132	0.0362116	0.0425073	0.0207832	0.0260629	0.0338323	0.0306181	0.0278889	0.0253132	0.0226891	0.0207012	0.0165998	0.0244557	0.0275254
a56	0.287061	0.19835	0.124934	0.0474567	0.0589148	0.0258411	0.0310017	0.0328973	0.0331049	0.0284023	0.0258976	0.0310308	0.0211127	0.0157864	0.0184803	0.0197285
a44	0.178493	0.163809	0.144509	0.0662831	0.0960358	0.0393279	0.0428664	0.0429738	0.0438616	0.0363133	0.031893	0.0404946	0.0251031	0.0165541	0.0152706	0.0162117
a34	0.131786	0.138505	0.142252	0.0789526	0.120838	0.0520976	0.0473096	0.0444383	0.0446715	0.0369301	0.0322113	0.0410835	0.0274086	0.0198506	0.019407	0.0222589
a61	0.107735	0.123515	0.134859	0.0812405	0.132505	0.0604776	0.0528545	0.050089	0.0503847	0.0409423	0.0355586	0.0471694	0.0268368	0.0180133	0.0177086	0.020111
a21	0.0806963	0.0980037	0.126598	0.0931263	0.17506	0.0663235	0.0507781	0.0474596	0.0470852	0.0395556	0.0354028	0.0421182	0.0275844	0.0220233	0.0222723	0.0259122
a75	0.0509497	0.073499	0.0936546	0.0641089	0.121035	0.0817228	0.0800091	0.07977	0.0800186	0.0625259	0.0570178	0.0673227	0.0256695	0.0168239	0.0185447	0.0273276
a61	0.0365435	0.0596079	0.0955815	0.078295	0.153659	0.0836884	0.0750503	0.0738485	0.0720965	0.0604265	0.0560435	0.0605463	0.0258897	0.0173075	0.0196166	0.0317995
a37	0.0354714	0.0552242	0.0991297	0.0968299	0.182301	0.087034	0.0732561	0.0699815	0.0667217	0.0560529	0.0524865	0.0513063	0.0222664	0.0153656	0.0155853	0.0209877
a90	0.0234193	0.0383138	0.0843517	0.0959983	0.188067	0.0896169	0.0750465	0.0733548	0.0694571	0.0605271	0.0574632	0.0560985	0.0234582	0.0167582	0.0188641	0.0292049
a56	0.0165873	0.0277321	0.0696589	0.103956	0.192933	0.092079	0.0751317	0.0715367	0.0663573	0.0599886	0.0592592	0.0567035	0.0261276	0.0191985	0.0232713	0.039479
a69	0.0148687	0.0253912	0.0662494	0.104045	0.186593	0.0974963	0.0825144	0.0750502	0.0685409	0.059112	0.057203	0.0603755	0.0271507	0.0192546	0.022416	0.0337392
a93	0.00870271	0.0136502	0.0353479	0.07338	0.1504	0.088823	0.0802929	0.0775774	0.0737757	0.0712631	0.0707083	0.0743609	0.0414669	0.0327301	0.0410407	0.0664805
a56	0.00982506	0.0147716	0.0355493	0.0729172	0.144395	0.0959036	0.085997	0.0821332	0.0750913	0.0682306	0.0670265	0.0730338	0.0398003	0.0322648	0.0405581	0.062503
a96	0.00523988	0.00840207	0.0217213	0.0610115	0.126242	0.110484	0.0935314	0.0871705	0.0811489	0.0714629	0.0679457	0.0676139	0.0363867	0.0323425	0.0456266	0.0836691
a61	0.00472639	0.00710874	0.017529	0.046924	0.0962631	0.102667	0.0951267	0.0941568	0.0887725	0.0836185	0.0800436	0.0823568	0.0433861	0.0366077	0.0457533	0.0749601
a62	0.00768313	0.0115725	0.0233163	0.0449342	0.0945318	0.108337	0.103309	0.10269	0.0968029	0.0774277	0.070875	0.0713196	0.0427337	0.0376843	0.0430833	0.0637003
a88	0.00694832	0.0101943	0.0202277	0.0346977	0.0734653	0.0995118	0.100399	0.110837	0.107529	0.090336	0.0827065	0.0823089	0.0445917	0.0365535	0.0411385	0.058555
a71	0.00357671	0.00477245	0.0109079	0.0244803	0.0543484	0.0773534	0.082747	0.0981092	0.105062	0.107639	0.106559	0.110382	0.0574209	0.0424493	0.0457556	0.0684363
a9	0.00355424	0.00384278	0.00691551	0.0161625	0.0289824	0.050288	0.0667486	0.0870878	0.105017	0.117231	0.124473	0.158074	0.0782906	0.0453997	0.0451944	0.0627379
a99	0.00486684	0.00553134	0.00703292	0.012115	0.01831	0.0405447	0.0572975	0.0751597	0.101867	0.117047	0.121926	0.174007	0.0933686	0.0522724	0.0522107	0.0664439
a87	0.0151975	0.0128271	0.0112389	0.0137222	0.0175557	0.0316555	0.043521	0.0646148	0.0931963	0.104148	0.110637	0.138356	0.0790725	0.059012	0.0802318	0.125014
a23	0.0135823	0.0103593	0.00852228	0.0104338	0.012463	0.0279493	0.0464	0.0767952	0.109408	0.12433	0.120688	0.151574	0.0934019	0.0628034	0.0642767	0.0670133
a30	0.0158106	0.0103639	0.00675133	0.00764093	0.00775983	0.0132739	0.0187115	0.0345995	0.0421898	0.0481768	0.0548641	0.0712784	0.0798369	0.118358	0.198908	0.271476
a13	0.00606625	0.00453839	0.00341048	0.00658163	0.00603054	0.0152676	0.0241559	0.041792	0.0517768	0.0712319	0.0784849	0.07459	0.100279	0.126866	0.156567	0.232361
a34	0.00549476	0.00344054	0.00281192	0.00586103	0.00558863	0.0135097	0.0219748	0.0423134	0.0529886	0.0741151	0.0873697	0.0968708	0.124097	0.118804	0.140151	0.204609
