 	dans	la	ville	de	boundji	une	gerbe	d'	arachide	coûte	cent	francs	</S>
a66	0.157707	0.0935393	0.0594662	0.0720499	0.108156	0.110974	0.116131	0.085879	0.0729109	0.0519367	0.0405875	0.0168989	0.0137632
a87	0.21181	0.12786	0.0972974	0.0890388	0.0833898	0.0728573	0.0672673	0.0464975	0.0441074	0.0513259	0.0559214	0.0263106	0.0263168
a97	0.167956	0.12615	0.105267	0.0679206	0.0600151	0.0639121	0.0902303	0.0632128	0.081985	0.0738772	0.0424894	0.0243276	0.0326575
a10	0.117139	0.099827	0.088201	0.0698622	0.0714765	0.0940856	0.174984	0.0810944	0.0967498	0.0559384	0.0201657	0.0134921	0.0169839
a75	0.115648	0.103715	0.0987384	0.0842326	0.0866281	0.101864	0.160797	0.0752579	0.0793571	0.0428249	0.018531	0.0149528	0.0174532
a5	0.143807	0.136534	0.151911	0.116781	0.103172	0.094823	0.0801994	0.0460738	0.0467037	0.0315773	0.0156701	0.0168539	0.0158934
a92	0.113928	0.150521	0.206221	0.132718	0.0866528	0.0731494	0.0797483	0.0546031	0.0396133	0.0293078	0.010088	0.0119996	0.0114508
a56	0.0850015	0.096887	0.137455	0.120433	0.0922418	0.0988115	0.0940784	0.0783951	0.0501182	0.0453854	0.0309583	0.036018	0.0342171
a75	0.0873212	0.098357	0.13117	0.118883	0.0938957	0.0854613	0.106144	0.0871273	0.0464042	0.0378437	0.0306872	0.0360544	0.0406511
a92	0.0696059	0.0761209	0.110038	0.119335	0.105755	0.09296	0.0982649	0.0880948	0.0503779	0.0440213	0.0470884	0.0479702	0.0503673
a56	0.0546641	0.0591937	0.0945079	0.115896	0.112133	0.0931317	0.0929711	0.0911124	0.0583055	0.0541357	0.0645511	0.0547944	0.0546037
a75	0.0348577	0.0366993	0.0622944	0.112927	0.114256	0.120155	0.126366	0.129856	0.0744643	0.0547216	0.0531547	0.0378027	0.0424444
a47	0.0164852	0.018241	0.0412398	0.0989109	0.110941	0.117278	0.105595	0.127441	0.0827385	0.0706949	0.0887336	0.0609081	0.0607931
a37	0.0118966	0.0131718	0.0296439	0.0885754	0.109215	0.126099	0.0844307	0.129247	0.0875004	0.0758164	0.097719	0.0693065	0.0773775
a56	0.0145328	0.0149286	0.028055	0.0675605	0.0840073	0.102232	0.0635406	0.122651	0.0992328	0.0968168	0.116468	0.0823894	0.107585
