 	les	soldats	l'	ont	fait	souffrir	dans	la	prison	parce	qu'	il	a	violé	une	fille	</S>
a66	0.17599	0.21342	0.141088	0.135187	0.111748	0.074282	0.044546	0.0331906	0.021777	0.0168356	0.00705866	0.00544193	0.00484145	0.00455776	0.00372015	0.00330519	0.00301153
a87	0.294615	0.242359	0.0926945	0.0678948	0.0474451	0.0392603	0.0315014	0.0269956	0.0208938	0.0191316	0.0109846	0.0116801	0.0150631	0.0201664	0.0193333	0.0216375	0.0183447
a97	0.205965	0.161512	0.10687	0.0799235	0.0604139	0.051024	0.0334626	0.0306292	0.0229318	0.0187889	0.0145054	0.0158707	0.0247815	0.0343443	0.0439762	0.0517602	0.0432415
a87	0.196018	0.166376	0.109486	0.0688627	0.051367	0.0457471	0.0290969	0.0273812	0.0213427	0.0215064	0.0191444	0.0208708	0.0331331	0.0389712	0.0492054	0.0564891	0.0450024
a97	0.149089	0.132906	0.0920544	0.0673669	0.0524404	0.0483216	0.0342222	0.0333439	0.027009	0.0254253	0.0239133	0.0275353	0.04474	0.0483931	0.0622581	0.0726631	0.0583181
a40	0.14292	0.131775	0.0839351	0.0738854	0.0659623	0.0687474	0.0401227	0.0402204	0.0388698	0.0365481	0.0270416	0.0258997	0.0364873	0.0458577	0.0504411	0.0538392	0.0374474
a79	0.2195	0.218761	0.115432	0.0840094	0.0658519	0.0566144	0.036165	0.0303659	0.031445	0.0262292	0.0167151	0.0137653	0.0147751	0.0174185	0.019356	0.0204813	0.0131144
a37	0.224635	0.172394	0.121948	0.0779344	0.0682188	0.0704649	0.060049	0.0451695	0.0357111	0.0301929	0.0178148	0.0140118	0.0122438	0.0124621	0.0126686	0.0137336	0.0103472
a90	0.131183	0.112534	0.123371	0.0798705	0.0757032	0.0886004	0.0889629	0.0685818	0.0581499	0.0441323	0.0288556	0.0211342	0.0174188	0.0143007	0.0149019	0.0158515	0.0164482
a15	0.0862612	0.0907924	0.11008	0.0767253	0.0713893	0.0721189	0.0848481	0.0673667	0.06468	0.0552085	0.0426081	0.0344531	0.029632	0.0276562	0.026908	0.0270755	0.0321966
a98	0.0567473	0.0617306	0.0643597	0.053769	0.058638	0.0681045	0.104015	0.0851709	0.0804048	0.0724407	0.0504365	0.0434236	0.0381184	0.0388786	0.0347119	0.0382485	0.0508019
a15	0.0591057	0.0631029	0.0597106	0.0542407	0.0635057	0.0708129	0.105324	0.0920675	0.0846865	0.0750632	0.049295	0.0419108	0.0361695	0.0362457	0.0307585	0.0344134	0.0435871
a79	0.0316949	0.0378009	0.048837	0.0553104	0.0717572	0.0802192	0.10794	0.0863887	0.0948122	0.076043	0.0539616	0.043674	0.0393812	0.0380197	0.0366131	0.0426906	0.0548564
a44	0.0290698	0.0326794	0.0435864	0.0526347	0.0712709	0.0780737	0.102899	0.0836122	0.0950436	0.0700779	0.0533354	0.0465061	0.0436143	0.0413418	0.0428564	0.0507697	0.0626289
a34	0.0252831	0.028565	0.0431453	0.0582524	0.0742563	0.0780998	0.0932158	0.0762035	0.0766467	0.062239	0.0556024	0.0567233	0.0560095	0.0510704	0.0538297	0.0540651	0.0567928
a61	0.0145187	0.0133867	0.0192535	0.031336	0.0460341	0.0502415	0.0693737	0.0720107	0.0861726	0.075661	0.0778398	0.0828774	0.0819464	0.0702024	0.0703085	0.0667987	0.0720385
a43	0.00843096	0.00757022	0.010435	0.0193899	0.0341995	0.0446397	0.0716819	0.0832554	0.105511	0.095017	0.0920024	0.0902977	0.0859197	0.0691226	0.0617015	0.0573107	0.0635146
a0	0.00718867	0.0064725	0.00835118	0.0147013	0.027284	0.0407849	0.0710974	0.0894696	0.117253	0.112801	0.104418	0.0975752	0.086597	0.0628538	0.0501634	0.0475122	0.0554762
a11	0.00971813	0.0103913	0.0142254	0.021243	0.0353576	0.0544982	0.0798659	0.100009	0.114172	0.104079	0.0957977	0.0874453	0.0764609	0.0514323	0.0406897	0.045166	0.059448
a90	0.0086832	0.00945746	0.0136674	0.0193034	0.0303428	0.0440642	0.0629043	0.0853069	0.11086	0.10234	0.109782	0.102029	0.0890979	0.0565057	0.0431214	0.0483413	0.0641933
a79	0.00174286	0.00183024	0.00230262	0.00380394	0.00657899	0.0101792	0.0212941	0.0380468	0.0809124	0.0882114	0.123688	0.128847	0.136376	0.103233	0.0840483	0.0782365	0.0906688
a56	0.000844392	0.000783821	0.00107311	0.00226422	0.00479695	0.00815785	0.0160383	0.0295524	0.0802224	0.0780552	0.114717	0.125809	0.142085	0.113746	0.0928207	0.0860427	0.102991
a90	0.00137434	0.00142885	0.00162081	0.0029613	0.00536534	0.00880622	0.014931	0.0289913	0.0721971	0.0710136	0.11572	0.136502	0.154035	0.128071	0.0950957	0.0783547	0.0835315
a79	0.00128183	0.00123417	0.00138668	0.0025435	0.00463675	0.00746066	0.0132465	0.0253886	0.0654902	0.06127	0.103183	0.126917	0.151246	0.132371	0.105311	0.0949914	0.102042
a37	0.000651481	0.000544354	0.000636233	0.00123972	0.0026359	0.00481645	0.00924663	0.0170659	0.0505829	0.0489725	0.0900599	0.122632	0.157003	0.134873	0.110328	0.113726	0.134985
