 	il	a	les	yeux	bouffis	de	sommeil	</S>
a23	0.382301	0.316344	0.17978	0.0836109	0.0233077	0.00528838	0.00400227	0.00536467
a79	0.490989	0.256355	0.0919254	0.0688419	0.0240504	0.0211647	0.0222094	0.0244645
a54	0.193128	0.153659	0.132144	0.160597	0.16698	0.0956332	0.0488544	0.0490047
a47	0.218732	0.204407	0.204951	0.142678	0.122453	0.0630596	0.0324115	0.0113072
a37	0.203425	0.210421	0.248742	0.193381	0.0861868	0.0364257	0.0155666	0.00585123
a61	0.213136	0.198639	0.261809	0.191695	0.0825501	0.0246648	0.0140427	0.0134635
a0	0.215083	0.178198	0.237341	0.23242	0.0891711	0.0189285	0.0136348	0.0152243
a75	0.203756	0.156002	0.183551	0.154408	0.141569	0.0608603	0.0489012	0.0509527
a85	0.125192	0.0835263	0.134224	0.184943	0.155958	0.09297	0.101828	0.121359
a37	0.101346	0.0716608	0.09849	0.140705	0.169075	0.117914	0.132513	0.168297
a61	0.0719561	0.0478312	0.0609583	0.0683091	0.108751	0.112184	0.189308	0.340701
a43	0.0282584	0.0183673	0.0259357	0.0365609	0.0801257	0.147188	0.254192	0.409372
a11	0.019579	0.0127333	0.014015	0.0183343	0.056874	0.1155	0.254532	0.508432
a0	0.00330378	0.00228059	0.00231236	0.00373841	0.0239068	0.0850976	0.31743	0.56193
a75	0.00535133	0.00290675	0.00218028	0.00215462	0.010745	0.0369972	0.243307	0.696358
a85	0.000858419	0.000508494	0.000643438	0.0016008	0.0209769	0.0791881	0.222545	0.673679
a47	0.00154846	0.00101625	0.00131763	0.0028044	0.02078	0.059974	0.230414	0.682146
a0	0.0042427	0.00289942	0.00412817	0.0128857	0.0564886	0.0817468	0.186759	0.65085
a11	0.0128335	0.00806222	0.0103067	0.0194234	0.0401634	0.0771783	0.26393	0.568102
a83	0.00921663	0.00476648	0.00434056	0.00632945	0.0221606	0.0464904	0.187826	0.718869
a9	0.00601977	0.00340255	0.00557558	0.0162385	0.0408908	0.0534286	0.193997	0.680447
a87	0.0243588	0.0110792	0.00878731	0.0230071	0.0462994	0.0810433	0.212883	0.592542
a23	0.366193	0.241386	0.134492	0.088115	0.0432424	0.0328896	0.0352978	0.0583844
a87	0.168811	0.138404	0.0877451	0.0676001	0.0503494	0.0787712	0.134472	0.273847
</S>	0.00996005	0.00837769	0.00780587	0.00976086	0.0166839	0.0612582	0.259308	0.626845
