 	la	manière	dont	elle	frotte	la	marmite	contre	le	sol	la	blanchira	</S>
a66	0.112477	0.056443	0.0733141	0.107699	0.150597	0.113378	0.150555	0.118258	0.0619566	0.0276375	0.0120025	0.00836278	0.00731998
a87	0.305415	0.138661	0.0991862	0.0739687	0.0551725	0.0470722	0.0532766	0.0492523	0.044803	0.0403955	0.0330439	0.0360008	0.023752
a23	0.324002	0.167024	0.104279	0.082316	0.0617592	0.0367783	0.0406638	0.0344853	0.0310592	0.0303135	0.023799	0.0387294	0.0247912
a50	0.268611	0.189317	0.15869	0.0844889	0.0715225	0.0453255	0.0457038	0.0332239	0.0233325	0.0217147	0.0181135	0.0232786	0.0166787
a83	0.149058	0.134451	0.160366	0.115145	0.126244	0.0622344	0.0632098	0.0495527	0.0406965	0.039993	0.0253155	0.0204856	0.0132498
a9	0.316726	0.217039	0.213919	0.0769912	0.0523078	0.0213476	0.018496	0.016361	0.0167985	0.0225638	0.0121309	0.00898286	0.00633625
a38	0.212385	0.215169	0.222612	0.0892586	0.0726615	0.0311495	0.0302875	0.0277421	0.0293769	0.0371219	0.0185168	0.00841082	0.00530913
a99	0.222088	0.22186	0.182421	0.0689457	0.0601851	0.0273313	0.027199	0.0256803	0.0331073	0.0502485	0.0424366	0.0233054	0.0151922
a70	0.187729	0.194922	0.170914	0.0727084	0.0724415	0.0337815	0.0318125	0.0298036	0.0382466	0.0617199	0.0555725	0.0286671	0.0216816
a34	0.147968	0.184724	0.144468	0.0713793	0.062961	0.0349224	0.0341615	0.0286235	0.0359562	0.0673207	0.0861516	0.0588112	0.0425516
a47	0.129674	0.154005	0.12841	0.0762532	0.0731854	0.0413282	0.0393415	0.0309024	0.0354985	0.0656352	0.0934242	0.0781472	0.0541957
a34	0.122664	0.130915	0.114716	0.0786175	0.0904227	0.0638464	0.0551364	0.04388	0.0433814	0.0630536	0.0788112	0.0659945	0.0485617
a96	0.0777871	0.0867346	0.101884	0.099339	0.123981	0.094437	0.083779	0.0676279	0.056103	0.0580558	0.0583361	0.05227	0.039666
a70	0.0503195	0.0577709	0.0896588	0.119657	0.141589	0.115841	0.102927	0.0808566	0.058968	0.04709	0.0441101	0.0499494	0.0412626
a93	0.0250908	0.0330611	0.0653185	0.119422	0.143997	0.144817	0.129496	0.100564	0.0714043	0.0468902	0.0369359	0.0450049	0.0379978
a56	0.0187102	0.0234351	0.0514652	0.10604	0.129209	0.121486	0.119633	0.105486	0.0818919	0.058481	0.0539421	0.0659859	0.0642356
a75	0.0147224	0.0206021	0.0494578	0.116099	0.150469	0.13794	0.133812	0.112956	0.0798758	0.0502975	0.0400797	0.0473979	0.0462902
a25	0.0124967	0.0181598	0.0409195	0.116784	0.127007	0.141062	0.140251	0.116947	0.0824922	0.0506598	0.0432232	0.048958	0.0610397
a90	0.00561168	0.0086536	0.0218263	0.100993	0.107775	0.1345	0.139206	0.123538	0.0888798	0.0569239	0.0587047	0.0639101	0.0894775
a56	0.00460267	0.00763578	0.0144834	0.0606463	0.103797	0.148002	0.159781	0.143532	0.102779	0.0552815	0.0503059	0.0593518	0.0898026
a34	0.00449267	0.00599307	0.0139511	0.0630773	0.0907935	0.139952	0.145979	0.124111	0.0966729	0.0612942	0.0626231	0.0689744	0.122086
a70	0.00377118	0.00453775	0.0108727	0.0434817	0.0594712	0.0949245	0.105333	0.0992896	0.0899543	0.0705693	0.087774	0.122123	0.207898
a11	0.00277803	0.00359595	0.00905268	0.0359249	0.0485189	0.1127	0.117862	0.098444	0.089435	0.0778637	0.0973641	0.12267	0.183792
a96	0.0021078	0.00266612	0.0059707	0.0268724	0.0439427	0.118004	0.125477	0.105968	0.0889124	0.0853087	0.0979859	0.129888	0.166898
a70	0.00145289	0.0018694	0.00400457	0.0160703	0.0218436	0.0629753	0.073994	0.0706763	0.0724025	0.0892283	0.132251	0.190406	0.262826
a75	0.00159711	0.00197434	0.00427033	0.0169318	0.025275	0.063455	0.073439	0.0704004	0.0692766	0.0877069	0.137179	0.190461	0.258034
a92	0.000922114	0.00110008	0.00210309	0.00771096	0.00883842	0.0188219	0.0235526	0.0291276	0.0369303	0.0561203	0.128496	0.256653	0.429624
a56	0.000814691	0.000943702	0.00175052	0.0069304	0.0083662	0.0185215	0.0243029	0.0290418	0.0345489	0.0502872	0.121377	0.239671	0.463445
a34	0.000522327	0.000554802	0.00110371	0.00436691	0.00517501	0.0150166	0.0189574	0.0204123	0.025667	0.0420718	0.120429	0.249291	0.496433
