 	pourquoi	se	larmoie	t-il	</S>
a66	0.540688	0.356303	0.0265649	0.0366198	0.0398248
a87	0.594093	0.322908	0.0291961	0.0360657	0.0177372
a23	0.647171	0.204155	0.0573499	0.0482114	0.0431122
a79	0.222966	0.0949963	0.157105	0.287025	0.237908
a54	0.441177	0.256403	0.111026	0.0923233	0.0990709
a47	0.201519	0.318909	0.225703	0.138711	0.115158
a6	0.175427	0.338974	0.220586	0.173248	0.0917659
a37	0.129624	0.176857	0.355037	0.269415	0.0690671
a5	0.0584278	0.0582181	0.162046	0.416685	0.304624
a21	0.00945828	0.00907477	0.0788377	0.359125	0.543505
a5	0.00109188	0.00103444	0.0397977	0.327943	0.630133
a56	0.000364428	0.000531812	0.017384	0.213624	0.768096
a94	0.00048554	0.000821429	0.0194392	0.23687	0.742384
a71	0.000847869	0.00222967	0.0234369	0.239447	0.734039
a9	0.0205039	0.0137592	0.0297914	0.136362	0.799583
a87	0.603112	0.113835	0.0367939	0.0751166	0.171142
a23	0.446273	0.197617	0.0412221	0.0949556	0.219933
a87	0.112449	0.0631932	0.0626063	0.228722	0.533029
</S>	0.0149224	0.00893711	0.0495388	0.275261	0.651341
