 	sa	voiture	a	disparu	pendant	la	guerre	</S>
a66	0.240625	0.205896	0.208044	0.172915	0.0945461	0.0478962	0.0184864	0.0115923
a3	0.238174	0.165461	0.146344	0.122827	0.0923353	0.0770029	0.0773846	0.0804723
a87	0.345592	0.328389	0.180392	0.076157	0.0243713	0.0137887	0.0143775	0.0169319
a23	0.299605	0.298377	0.197133	0.107708	0.0410389	0.0214337	0.0165114	0.0181935
a87	0.274891	0.306047	0.183429	0.109181	0.0488871	0.0290962	0.0220957	0.026373
a79	0.257079	0.318013	0.197056	0.116754	0.0458292	0.0245363	0.0183392	0.0223928
a15	0.246293	0.336675	0.186528	0.0967899	0.0416238	0.0327386	0.0275348	0.0318169
a69	0.265372	0.341176	0.179136	0.0997725	0.04092	0.0296758	0.0225539	0.021393
a20	0.255143	0.301684	0.185063	0.116277	0.0536955	0.0397487	0.0268537	0.0215347
a25	0.162468	0.241816	0.167181	0.136786	0.0937194	0.0795053	0.0632444	0.0552804
a56	0.132993	0.194407	0.166782	0.15548	0.10972	0.086013	0.079196	0.0754085
a94	0.146025	0.202223	0.180286	0.16581	0.108421	0.0750578	0.0623299	0.0598457
a96	0.137074	0.17725	0.194437	0.193166	0.128415	0.0706259	0.0501384	0.0488942
a12	0.110975	0.135398	0.178779	0.202958	0.163951	0.0895754	0.0589176	0.0594444
a75	0.0704555	0.0874962	0.150134	0.20272	0.211269	0.121454	0.0793951	0.0770766
a85	0.01814	0.0263086	0.0506254	0.0930745	0.162162	0.201672	0.216537	0.231481
a15	0.0229921	0.0339238	0.0589945	0.0902921	0.132769	0.160784	0.221175	0.27907
a98	0.0192776	0.0265447	0.0554294	0.103088	0.184256	0.180255	0.187111	0.244039
a47	0.0130329	0.0169387	0.0361771	0.0679256	0.14523	0.181967	0.233369	0.305359
a36	0.0105516	0.0115294	0.0207537	0.0399131	0.0980849	0.153563	0.255588	0.410016
a18	0.0236794	0.0206007	0.0305962	0.0554259	0.117358	0.121243	0.217418	0.413679
a94	0.0347634	0.0285495	0.0300533	0.0309384	0.0532799	0.0795984	0.265483	0.477335
a96	0.0105334	0.00828865	0.0101721	0.014077	0.036993	0.0809331	0.284693	0.55431
a98	0.00402953	0.00344265	0.0048495	0.0075673	0.0233962	0.0615775	0.302127	0.593011
a41	0.00177585	0.00146609	0.00185518	0.00268688	0.00868415	0.0281775	0.228399	0.726955
a0	0.000936056	0.000789003	0.00109761	0.00169417	0.00648084	0.0262519	0.233306	0.729445
a75	0.00519193	0.00438311	0.00575654	0.00703982	0.0171838	0.0497166	0.257288	0.65344
a92	0.000363182	0.000358775	0.00049961	0.000776917	0.00326294	0.0179001	0.221257	0.755582
a37	0.000346155	0.000349537	0.00050234	0.000832425	0.00356854	0.0181132	0.209284	0.767004
a12	0.000617697	0.000596665	0.000954175	0.00154809	0.00599436	0.0246505	0.218464	0.747174
a21	0.000779683	0.000794951	0.0012826	0.00186148	0.00705724	0.0310828	0.23453	0.722611
a85	0.00134122	0.00135423	0.00182209	0.00220953	0.00633726	0.0273711	0.244294	0.715271
a36	0.000761452	0.000730572	0.000972712	0.00131036	0.0039096	0.0163591	0.215969	0.759987
a26	0.00244583	0.00213894	0.00320288	0.00483329	0.0159429	0.0550869	0.294312	0.622037
a57	0.062209	0.0370191	0.0351461	0.0404722	0.0854491	0.136186	0.249519	0.354
a87	0.221802	0.123122	0.0794388	0.0606787	0.0683738	0.0859562	0.145824	0.214805
a3	0.188628	0.129339	0.0915996	0.0702401	0.0781514	0.0890327	0.144263	0.208746
a87	0.135646	0.10508	0.0899217	0.0758644	0.0911828	0.100597	0.151961	0.249748
a23	0.112463	0.0859867	0.0688208	0.0619271	0.079133	0.0854031	0.158526	0.34774
a99	0.0205207	0.0123162	0.0130955	0.01798	0.0426256	0.0724521	0.221596	0.599414
a97	0.0262772	0.0186737	0.0240003	0.0330623	0.0555959	0.0853178	0.226692	0.530381
</S>	0.0123003	0.00971696	0.0124344	0.0160407	0.0296902	0.0554263	0.206584	0.657807
