 	j'	ai	maintenant	des	calosités	à	la	main	à	cause	des	travaux	champêtres	</S>
a66	0.0749709	0.0703409	0.108116	0.108532	0.0951434	0.0825255	0.0752452	0.111107	0.110513	0.0932753	0.0445321	0.0152206	0.00557251	0.00490582
a87	0.518491	0.24563	0.091359	0.0307048	0.0128635	0.0146315	0.0105016	0.0170469	0.0172571	0.0134849	0.00755913	0.00584411	0.00550676	0.00912032
a23	0.341229	0.199537	0.125524	0.0795737	0.0582121	0.0393726	0.0280455	0.0345715	0.0303431	0.025033	0.0146753	0.00627715	0.00610731	0.0114987
a83	0.262685	0.153989	0.0837639	0.0639286	0.0739041	0.0788078	0.0569386	0.0687967	0.0537789	0.0318997	0.0210761	0.0118041	0.0146954	0.0239323
a50	0.184247	0.137289	0.114737	0.11345	0.110197	0.0787998	0.0523163	0.0595282	0.0447029	0.0289309	0.0165447	0.0101787	0.0158969	0.0331816
a62	0.309356	0.231972	0.193874	0.14206	0.0576035	0.0201028	0.00870884	0.0121602	0.00807782	0.0054061	0.0039758	0.00252235	0.00180679	0.00237402
a12	0.298621	0.241767	0.161854	0.135014	0.0726885	0.0270613	0.0126318	0.0172065	0.0128421	0.00860426	0.005638	0.00257793	0.001771	0.00172241
a56	0.216773	0.204865	0.170828	0.160257	0.106739	0.0464289	0.0215035	0.025742	0.0176833	0.0118054	0.00733931	0.00321812	0.00305816	0.00375908
a98	0.213824	0.180333	0.154638	0.164362	0.11757	0.0528278	0.0266037	0.0295503	0.0204663	0.0146343	0.0104992	0.00467688	0.00434013	0.00567419
a47	0.0820382	0.0887427	0.101383	0.134375	0.141585	0.107321	0.0748178	0.0743198	0.0540568	0.0500664	0.0426427	0.0200326	0.0119181	0.0167015
a6	0.121224	0.109248	0.110621	0.125493	0.123927	0.104856	0.0715438	0.0678976	0.0464049	0.0320938	0.0280004	0.0182809	0.0166334	0.0237751
a36	0.105364	0.0950696	0.0931432	0.117642	0.127059	0.110462	0.0780524	0.0732708	0.0533038	0.0436535	0.0323974	0.0210755	0.0191207	0.0303857
a92	0.0597153	0.0663348	0.0849413	0.116269	0.132548	0.129475	0.100959	0.0926083	0.0680559	0.0449272	0.0289539	0.019135	0.0186356	0.037442
a44	0.0360053	0.0432328	0.061148	0.101207	0.142685	0.138027	0.110925	0.103541	0.0806972	0.0716458	0.046	0.0222483	0.0177161	0.0249218
a56	0.0151185	0.0186826	0.0360186	0.0705413	0.140339	0.167915	0.147172	0.131127	0.102677	0.0746459	0.0365961	0.0174419	0.0166325	0.0250929
a12	0.00806319	0.010125	0.0202064	0.0499498	0.138699	0.170688	0.153012	0.137563	0.10808	0.0798738	0.0424026	0.0231914	0.0238421	0.0343045
a47	0.00613681	0.00704787	0.0123765	0.0274304	0.0965336	0.172681	0.178477	0.143753	0.118871	0.0889327	0.0428969	0.0239855	0.0294954	0.051383
a61	0.00514973	0.00552972	0.00908161	0.0186315	0.0641132	0.164504	0.210105	0.148511	0.126758	0.092723	0.0479552	0.0264815	0.0287455	0.051711
a96	0.00419893	0.00436935	0.006069	0.0127188	0.0525482	0.143458	0.201355	0.145628	0.127288	0.0957215	0.0538115	0.0331232	0.0428119	0.0768994
a21	0.00433136	0.0047248	0.00665272	0.012121	0.0407277	0.122815	0.194726	0.135164	0.125896	0.105413	0.06999	0.0436347	0.0479424	0.0858612
a85	0.00267366	0.00280553	0.00355097	0.00799956	0.0334096	0.0788437	0.144252	0.110548	0.119492	0.115838	0.0902706	0.0708747	0.0894222	0.130019
a47	0.00111877	0.00114003	0.00191372	0.00470153	0.0193475	0.0673442	0.1372	0.0887376	0.093659	0.0984362	0.0772253	0.0742316	0.11455	0.220395
a36	0.00269501	0.00247542	0.00341829	0.0078197	0.0225641	0.0822772	0.192568	0.108086	0.11809	0.0902045	0.0670339	0.0503931	0.0842527	0.168122
a2	0.00574522	0.00525258	0.00809503	0.011462	0.0241884	0.0982004	0.196757	0.0915119	0.0968564	0.0778453	0.0591215	0.0480959	0.0802262	0.196642
a57	0.0161735	0.0149901	0.0173716	0.0195883	0.0260418	0.0687978	0.18331	0.110771	0.128379	0.105035	0.0792012	0.051397	0.0559411	0.123003
a83	0.01796	0.01509	0.0189604	0.0207329	0.0296484	0.062837	0.132928	0.0992188	0.119801	0.109201	0.10755	0.0797802	0.065131	0.121162
a21	0.0327701	0.0220583	0.0178957	0.0190124	0.0202684	0.0467894	0.0922883	0.0749287	0.0964868	0.0994479	0.100927	0.0730345	0.0709197	0.233172
a12	0.00190774	0.00148785	0.00167731	0.00298455	0.00865402	0.0216304	0.0402914	0.0283265	0.0355725	0.0437896	0.0599824	0.0892021	0.175376	0.489117
a18	0.00113822	0.00124281	0.0020806	0.0040959	0.0114574	0.0265251	0.0496508	0.0363922	0.0436951	0.0519233	0.0767826	0.12931	0.186924	0.378782
a88	0.0010482	0.000921864	0.00197691	0.0024423	0.00448435	0.0207472	0.0420152	0.0220215	0.026116	0.0275234	0.0389169	0.0927264	0.221289	0.497771
a0	0.00123141	0.0010822	0.00240021	0.00293187	0.00507225	0.0224169	0.0430187	0.0234276	0.0276078	0.0271374	0.0354573	0.0868561	0.220645	0.500716
a75	0.00372575	0.00317087	0.00587635	0.00658962	0.00907541	0.028048	0.0476864	0.0264384	0.02968	0.0233122	0.0259889	0.0667979	0.244128	0.479482
a85	0.00021816	0.000223612	0.000297196	0.000644248	0.00222274	0.00788543	0.0155289	0.00997709	0.0116025	0.0163382	0.0326206	0.0942511	0.235311	0.572879
a92	0.00011277	0.0001095	0.000128553	0.000305127	0.00137992	0.00470787	0.0108768	0.00689255	0.00898384	0.0149767	0.0286237	0.0768918	0.242554	0.603457
a79	0.000196567	0.000204659	0.000236199	0.000536781	0.00202094	0.00546366	0.0125107	0.00777597	0.0104362	0.0168143	0.0288303	0.0739082	0.251454	0.589612
a37	0.000154414	0.000152911	0.000192953	0.000449798	0.00162023	0.00492065	0.0116158	0.00708954	0.00961013	0.0158461	0.026992	0.0667014	0.215021	0.639633
a44	0.000313203	0.000245967	0.000335123	0.000652713	0.00154456	0.00582779	0.0135782	0.00704331	0.00838004	0.0111288	0.022615	0.0688061	0.219032	0.640497
a4	0.000259672	0.000202664	0.00028557	0.000521814	0.00105345	0.0042484	0.00988757	0.00524493	0.00606293	0.00794399	0.0159061	0.0550388	0.210283	0.683061
a13	0.000263099	0.000204793	0.000370822	0.00063486	0.00113924	0.00453059	0.0100832	0.00562932	0.00583362	0.00582444	0.0102144	0.0371592	0.19	0.728112
