 	cette	chaussure	est	de	grande	pointure	</S>
a66	0.338477	0.184081	0.119614	0.118237	0.118473	0.0726661	0.0484516
a87	0.443589	0.232292	0.115101	0.0935105	0.0678497	0.024603	0.0230542
a23	0.449022	0.292709	0.134594	0.069844	0.0275589	0.0124238	0.0138494
a84	0.464387	0.265782	0.128274	0.0739367	0.0327374	0.016673	0.0182096
a82	0.478992	0.255988	0.118966	0.0667825	0.0344443	0.0210712	0.023755
a87	0.527873	0.281582	0.0898888	0.0434706	0.0237734	0.0148509	0.018562
a23	0.515622	0.267332	0.100596	0.0547997	0.0287764	0.0162854	0.0165877
a99	0.497783	0.239874	0.103685	0.0656678	0.0401034	0.0258148	0.0270722
a13	0.418765	0.277084	0.121688	0.0717808	0.0449387	0.0308891	0.034854
a70	0.258468	0.264217	0.175136	0.118685	0.0818873	0.0492671	0.0523394
a62	0.195614	0.231241	0.198138	0.161091	0.113418	0.0525558	0.0479419
a88	0.152811	0.180409	0.180201	0.175032	0.146574	0.0841808	0.0807912
a71	0.0971527	0.119981	0.145173	0.171355	0.175473	0.141945	0.148921
a58	0.085014	0.10302	0.124724	0.153021	0.163572	0.165216	0.205432
a13	0.0505132	0.0829888	0.13139	0.166805	0.169929	0.171127	0.227247
a70	0.01329	0.0215695	0.0511237	0.0954781	0.161209	0.244514	0.412815
a13	0.0090391	0.0135993	0.0366711	0.082853	0.172975	0.27132	0.413543
a57	0.00637822	0.00923222	0.0269965	0.0687523	0.171439	0.327848	0.389354
a20	0.00425034	0.00548463	0.0156384	0.039692	0.101502	0.402648	0.430785
a44	0.00949402	0.00895433	0.0168446	0.0297826	0.0608125	0.326156	0.547956
a69	0.00139467	0.00182284	0.0055598	0.013356	0.044666	0.344414	0.588787
a44	0.00120045	0.00140999	0.00478745	0.0121383	0.0438418	0.297203	0.639419
a2	0.000679373	0.000917054	0.00346912	0.00960398	0.0359021	0.295349	0.654079
a57	0.00105471	0.00118086	0.00313656	0.00771179	0.0236968	0.268211	0.695008
a87	0.027949	0.0178977	0.023715	0.0343971	0.0532401	0.242465	0.600337
a23	0.176935	0.0887609	0.0908763	0.111624	0.114536	0.202757	0.214511
a97	0.0912111	0.0546134	0.0692756	0.0986752	0.11804	0.277483	0.290702
a10	0.0664749	0.0427699	0.0713638	0.1135	0.135865	0.246822	0.323204
</S>	0.0857936	0.0605584	0.0953162	0.134559	0.141132	0.211233	0.271408
