 	nous	l'	avons	tous	vomi	</S>
a66	0.359181	0.231277	0.193876	0.114081	0.0679396	0.0336455
a87	0.622735	0.241754	0.0780575	0.0306837	0.0183443	0.00842583
a23	0.511897	0.283235	0.112108	0.0449677	0.0298281	0.0179645
a53	0.368461	0.188459	0.0981801	0.0942028	0.116428	0.134269
a15	0.53341	0.229447	0.115798	0.0642138	0.0315692	0.025562
a6	0.354204	0.266043	0.219435	0.100821	0.0348488	0.0246474
a37	0.305006	0.271575	0.206617	0.0989922	0.0637449	0.0540645
a43	0.259162	0.26319	0.213883	0.10873	0.0693655	0.0856689
a75	0.23493	0.267756	0.212158	0.0972706	0.0683942	0.119492
a85	0.16981	0.20897	0.212841	0.134248	0.118956	0.155174
a5	0.113786	0.146333	0.18216	0.16711	0.169647	0.220964
a61	0.127818	0.144764	0.181291	0.158278	0.166733	0.221116
a34	0.0622481	0.0714875	0.127376	0.191328	0.218953	0.328607
a93	0.0315253	0.033633	0.0642691	0.161693	0.258309	0.45057
a70	0.022542	0.0232639	0.0426755	0.135087	0.257495	0.518937
a93	0.00967631	0.00982385	0.0160606	0.0708542	0.212625	0.68096
a90	0.00795515	0.00864541	0.0163557	0.0773115	0.246618	0.643114
a98	0.00343094	0.00483629	0.0114601	0.0558475	0.203142	0.721283
a92	0.000826779	0.00130448	0.00386281	0.027203	0.168422	0.798381
a44	0.000976983	0.00161483	0.0044273	0.029033	0.191163	0.772784
a93	0.00147908	0.00230917	0.00519112	0.0294838	0.233128	0.728409
a20	0.00168487	0.00239729	0.00497509	0.026606	0.198921	0.765416
a7	0.000684234	0.00113749	0.00277674	0.0181197	0.180963	0.796319
a58	0.00131566	0.0017258	0.00344704	0.0275567	0.223517	0.742438
a82	0.0556893	0.058652	0.073611	0.144985	0.239724	0.427339
a87	0.362189	0.22141	0.140955	0.111623	0.0993217	0.0645024
a23	0.461062	0.284548	0.132807	0.0570673	0.0445612	0.0199535
a87	0.263233	0.172902	0.119436	0.103106	0.182946	0.158377
</S>	0.0425581	0.031194	0.0287993	0.0670534	0.322345	0.50805
