 	notre	fétiche	pro	tecteur	est	gardé	au	bout	du	village	</S>
a66	0.387065	0.240885	0.104591	0.0570697	0.0333123	0.0396611	0.0380527	0.0362535	0.0240296	0.0192907	0.0197893
a87	0.413442	0.297456	0.135655	0.0625237	0.0322212	0.0223462	0.0127822	0.0094398	0.00528903	0.00413814	0.00470682
a23	0.497054	0.298738	0.121562	0.0332026	0.0195092	0.0136668	0.00581397	0.00357617	0.0020923	0.00195838	0.00282628
a11	0.316952	0.185527	0.132345	0.106456	0.0719855	0.0703962	0.0319283	0.0228547	0.01655	0.0174447	0.0275599
a12	0.191016	0.147018	0.109216	0.0830668	0.0639658	0.0801418	0.0478852	0.041299	0.0512438	0.076624	0.108523
a96	0.30127	0.3104	0.141285	0.0749385	0.0412048	0.0392526	0.0209746	0.015938	0.0151157	0.0174829	0.0221379
a75	0.181152	0.274207	0.203963	0.151457	0.0606624	0.0393078	0.022818	0.0169665	0.0156942	0.0156987	0.018073
a5	0.100511	0.220268	0.206421	0.189245	0.10183	0.0593824	0.03916	0.027003	0.0198909	0.0167738	0.0195165
a21	0.0581863	0.100961	0.159342	0.254187	0.159887	0.0955137	0.0688968	0.0418223	0.0240001	0.0172175	0.019986
a12	0.0716528	0.0737521	0.104309	0.246118	0.165834	0.103354	0.0884907	0.0585593	0.0356141	0.0248391	0.0274776
a47	0.02537	0.0288299	0.065237	0.247833	0.205935	0.154432	0.112163	0.0679671	0.0359832	0.0261185	0.0301309
a12	0.0192433	0.020182	0.0439759	0.155453	0.19314	0.183196	0.136941	0.0991343	0.0574911	0.0420104	0.0492322
a31	0.0193723	0.0215649	0.0404376	0.12373	0.175114	0.19925	0.149283	0.104049	0.0630056	0.0485522	0.0556409
a0	0.0188265	0.0200567	0.0338567	0.104569	0.141835	0.205411	0.17204	0.126678	0.0714488	0.0507329	0.0545447
a43	0.0192517	0.0211546	0.0243681	0.0633145	0.0833526	0.17622	0.177231	0.148159	0.0988722	0.082496	0.10558
a56	0.0172141	0.0187409	0.0181033	0.0439471	0.0549636	0.128639	0.165624	0.170478	0.137385	0.11295	0.131955
a98	0.00912064	0.00886234	0.00983649	0.0257864	0.0378089	0.0873092	0.147968	0.180348	0.167887	0.149226	0.175847
a79	0.001758	0.00149111	0.00272369	0.0103405	0.019348	0.0502474	0.125248	0.174515	0.200544	0.191341	0.222443
a20	0.00101541	0.000978096	0.0016914	0.00605528	0.0119528	0.0303962	0.0720236	0.112394	0.196076	0.241365	0.326052
a44	0.00125351	0.00133607	0.00243416	0.00601128	0.0097783	0.0188	0.0438369	0.0726167	0.158215	0.267184	0.418534
a4	0.000744366	0.000734516	0.000842485	0.00131392	0.00273174	0.00637583	0.0175269	0.0433485	0.148999	0.289341	0.488042
a57	0.00125889	0.00108496	0.000889044	0.00151487	0.002925	0.00637591	0.0175485	0.0452353	0.149193	0.295456	0.478518
a82	0.0177785	0.0185429	0.00872326	0.0147514	0.0127258	0.0134562	0.0222754	0.0445904	0.132442	0.258224	0.45649
a87	0.160192	0.148161	0.0613843	0.0446016	0.0341818	0.0246946	0.0308732	0.0397889	0.0784527	0.137566	0.240105
a23	0.393308	0.250718	0.0948222	0.0314796	0.022848	0.0179924	0.0202396	0.0246296	0.0396129	0.0484689	0.0558811
a87	0.143501	0.129694	0.0896471	0.0275769	0.0297873	0.0231251	0.0447142	0.075691	0.130269	0.152779	0.153216
a10	0.0524433	0.0426826	0.0348848	0.0266304	0.0320696	0.0368457	0.086386	0.111466	0.143874	0.170141	0.262578
a97	0.059417	0.0451942	0.043291	0.0402751	0.067726	0.061831	0.100964	0.114279	0.119489	0.133301	0.214233
</S>	0.0984827	0.0798746	0.0709095	0.0475553	0.0775313	0.0684688	0.0887919	0.0947152	0.0985099	0.110856	0.164305
