 	mon	cordon	ombilical	a	été	enterre	à	ngwooni	</S>
a66	0.172427	0.264665	0.206624	0.209654	0.0791182	0.0354821	0.0141193	0.0105114	0.00739914
a87	0.528225	0.160966	0.0563191	0.0889744	0.0476694	0.0300298	0.0271596	0.0319425	0.0287145
a79	0.225086	0.160264	0.171916	0.178651	0.113313	0.0716445	0.0328426	0.022995	0.0232869
a58	0.14714	0.0920393	0.102049	0.10087	0.0949733	0.152932	0.161699	0.0851821	0.0631163
a53	0.151339	0.126655	0.209662	0.187228	0.115866	0.0746552	0.0523414	0.0412907	0.0409621
a15	0.330404	0.188775	0.103562	0.12124	0.124605	0.0581288	0.0345932	0.022031	0.0166614
a20	0.301606	0.133449	0.0740952	0.100975	0.156924	0.0859526	0.0665913	0.051483	0.0289242
a15	0.192055	0.158471	0.105349	0.130048	0.167831	0.0978785	0.0636769	0.049981	0.0347092
a7	0.167279	0.13276	0.092485	0.123763	0.212547	0.119274	0.0664225	0.0537223	0.0317463
a98	0.107369	0.0957973	0.0900022	0.117439	0.195039	0.195754	0.09816	0.0634873	0.0369515
a15	0.158089	0.166676	0.122944	0.150739	0.193281	0.0954464	0.0469595	0.0408179	0.0250479
a7	0.113125	0.1246	0.112413	0.157507	0.197352	0.133	0.0746565	0.0561113	0.0312351
a44	0.0327335	0.0527475	0.0668142	0.0811676	0.137957	0.173066	0.182681	0.173782	0.0990503
a90	0.0235999	0.0633786	0.0971491	0.0999631	0.118831	0.134665	0.157068	0.187336	0.11801
a69	0.0142028	0.0405012	0.0734561	0.081966	0.136781	0.158605	0.192518	0.175957	0.126013
a53	0.00734353	0.0214304	0.0557308	0.0619723	0.116064	0.146066	0.202537	0.20444	0.184417
a69	0.00311569	0.00981762	0.0293931	0.0306045	0.0598667	0.108151	0.215662	0.263824	0.279565
a44	0.0014022	0.00517873	0.0173549	0.0198249	0.0479603	0.0970422	0.202282	0.26135	0.347605
a94	0.000614612	0.00158826	0.00494562	0.00683667	0.0203981	0.0613319	0.186334	0.303023	0.414928
a71	0.000554731	0.00124168	0.00353566	0.00644659	0.0212564	0.0644871	0.169571	0.327835	0.405072
a82	0.00313823	0.00342445	0.00519641	0.0122099	0.026362	0.0432322	0.130118	0.325412	0.450907
a87	0.144659	0.109273	0.145554	0.156676	0.115099	0.0764282	0.0682761	0.0781262	0.105909
a23	0.164168	0.124403	0.148221	0.163827	0.127836	0.100407	0.0784781	0.0474912	0.045168
a87	0.0368427	0.0325954	0.0320081	0.0478642	0.111572	0.197103	0.217623	0.141584	0.182807
</S>	0.00861624	0.0126151	0.0248308	0.0320455	0.0944698	0.181972	0.229961	0.167654	0.247835
