 	il	n'	aime	pas	être	battu	au	jeu	</S>
a23	0.34028	0.160052	0.0850897	0.0797082	0.0643907	0.0516272	0.0563415	0.0566462	0.105865
a20	0.466824	0.243399	0.133742	0.0613671	0.0220843	0.0102536	0.011404	0.0133058	0.0376207
a44	0.250872	0.149252	0.0826075	0.0575662	0.0505541	0.0578884	0.0706064	0.0879987	0.192655
a11	0.516234	0.283836	0.0822254	0.0374146	0.0183214	0.0130308	0.0119876	0.0132483	0.0237021
a24	0.408324	0.365386	0.129618	0.0392763	0.0144233	0.00887414	0.00902454	0.00957578	0.0154974
a18	0.297658	0.329623	0.186476	0.086409	0.0333493	0.0160043	0.0136543	0.0145923	0.022234
a71	0.224062	0.299707	0.245247	0.109278	0.0396874	0.0212388	0.0178367	0.0180112	0.0249325
a38	0.19819	0.279569	0.25552	0.127307	0.0463511	0.024049	0.0196221	0.0226186	0.0267725
a76	0.172967	0.236078	0.267694	0.157033	0.0583805	0.0297587	0.0220185	0.0247116	0.0313594
a32	0.139592	0.146596	0.152575	0.11974	0.0906176	0.0910182	0.0828015	0.0893467	0.087712
a75	0.0948916	0.106004	0.13499	0.160138	0.127378	0.107241	0.0839295	0.0900625	0.0953659
a73	0.0508466	0.0548057	0.0833657	0.12267	0.113554	0.130736	0.136271	0.155102	0.152649
a20	0.0549848	0.0610606	0.10197	0.155195	0.134766	0.127634	0.11991	0.122716	0.121763
a73	0.0296257	0.0305915	0.0528827	0.112495	0.126483	0.14063	0.149417	0.178347	0.179528
a84	0.0345321	0.0337612	0.0486038	0.105967	0.13738	0.150608	0.143804	0.169361	0.175984
a75	0.0385677	0.0360448	0.0442184	0.0875786	0.11955	0.170969	0.1294	0.145486	0.228186
a41	0.0188479	0.0161493	0.0188034	0.0448564	0.0841636	0.154153	0.171302	0.211436	0.280289
a94	0.013775	0.0141835	0.025712	0.0779381	0.143116	0.206233	0.189278	0.169814	0.159951
a38	0.0123097	0.0116808	0.0154799	0.0342006	0.0721698	0.176301	0.211997	0.238993	0.226869
a73	0.00946875	0.00824884	0.0104632	0.0235717	0.0504652	0.145411	0.201376	0.253536	0.297459
a76	0.0142528	0.0110804	0.0127643	0.0292457	0.0609712	0.157757	0.200818	0.217628	0.295482
a73	0.0225452	0.0185627	0.024522	0.0494335	0.091384	0.184241	0.191098	0.184883	0.233331
a58	0.0106435	0.00886561	0.00900578	0.017942	0.040455	0.125695	0.208562	0.294265	0.284566
a40	0.0153591	0.0123852	0.0113205	0.0142946	0.0202901	0.0634823	0.157391	0.297817	0.40766
a54	0.023385	0.0154681	0.0142543	0.02174	0.0352888	0.092955	0.169595	0.241142	0.386172
a73	0.0173249	0.013883	0.017528	0.0309755	0.0512825	0.120348	0.175585	0.221345	0.351728
a84	0.0128856	0.00930171	0.00827198	0.0130321	0.0227831	0.0691458	0.14974	0.279695	0.435144
a57	0.012983	0.00901267	0.00828983	0.011223	0.0152898	0.0420435	0.118351	0.262708	0.5201
a87	0.0132284	0.00550901	0.00425392	0.00610772	0.00922984	0.0281287	0.108554	0.301377	0.523612
</S>	0.00627601	0.00225898	0.00161842	0.00403069	0.00875697	0.0240375	0.0783639	0.289009	0.585649
