 	la	maladie	de	ma	femme	me	dépasse	</S>
a85	0.306908	0.154699	0.130299	0.155334	0.12052	0.0672462	0.0405418	0.0244514
a87	0.280142	0.134377	0.130906	0.128781	0.11381	0.0926081	0.0631941	0.0561828
a10	0.13021	0.122749	0.171068	0.159048	0.126942	0.097845	0.0700375	0.1221
a99	0.285341	0.253893	0.169391	0.0901632	0.044584	0.0361182	0.0343691	0.0861409
a87	0.28704	0.261066	0.163567	0.0790537	0.0478938	0.0422033	0.0403178	0.0788586
a99	0.267516	0.247008	0.155918	0.0827607	0.0571541	0.0541894	0.0469593	0.0884959
a50	0.31475	0.276187	0.13688	0.060107	0.0454367	0.0453006	0.0414256	0.0799132
a62	0.345849	0.263919	0.143982	0.077045	0.0471236	0.0330014	0.0275804	0.0614987
a83	0.395771	0.398593	0.137599	0.0373055	0.0112868	0.0060854	0.00504263	0.00831651
a9	0.281758	0.334385	0.193493	0.0974282	0.039553	0.0206267	0.0136108	0.0191458
a90	0.162183	0.201287	0.186754	0.14523	0.094722	0.0659114	0.0590703	0.0848419
a56	0.123438	0.171913	0.184261	0.137548	0.0930827	0.0591035	0.0800821	0.150572
a34	0.136726	0.202122	0.215439	0.159924	0.09887	0.0483953	0.0548712	0.0836528
a75	0.109005	0.165945	0.214159	0.173232	0.117759	0.0645311	0.0636812	0.0916886
a92	0.104292	0.155537	0.218027	0.173318	0.109477	0.0686438	0.0728473	0.097857
a56	0.0863128	0.124965	0.21951	0.207284	0.129245	0.0727311	0.0709822	0.0889711
a98	0.0837349	0.108966	0.202529	0.210013	0.133973	0.0789713	0.0821195	0.0996923
a92	0.0463214	0.0604392	0.129781	0.1597	0.12165	0.113202	0.171299	0.197608
a43	0.0649479	0.06349	0.116338	0.164611	0.118807	0.0996547	0.16752	0.204631
a11	0.0810052	0.0795912	0.133998	0.230334	0.159493	0.0952479	0.104502	0.115829
a62	0.0613308	0.0557794	0.0938869	0.219678	0.223295	0.129763	0.103919	0.112348
a96	0.051471	0.0460669	0.0728917	0.187126	0.233324	0.160109	0.125967	0.123045
a98	0.0412135	0.0309279	0.0525476	0.154269	0.240961	0.185428	0.150638	0.144015
a92	0.0453952	0.0318882	0.0396099	0.0780872	0.111696	0.12909	0.255625	0.308608
a56	0.0501438	0.0298489	0.034708	0.064453	0.102087	0.124679	0.26397	0.330111
a75	0.0309711	0.0191538	0.0290614	0.0622167	0.121967	0.174258	0.251908	0.310463
a85	0.0287142	0.0170977	0.0208942	0.0337249	0.0566647	0.0969853	0.281854	0.464065
a47	0.0264793	0.0158509	0.0175034	0.0259219	0.0541718	0.105755	0.28828	0.466038
a69	0.0407348	0.0253816	0.0244123	0.0327716	0.0566349	0.132081	0.293464	0.39452
a84	0.0419269	0.0231825	0.0221247	0.0255367	0.0477468	0.127667	0.26453	0.447285
a87	0.00913198	0.00472351	0.00590071	0.00858113	0.0253446	0.0888883	0.300425	0.557005
a23	0.0101277	0.00394042	0.00488058	0.0112617	0.0473511	0.136523	0.343632	0.442284
a10	0.00612612	0.00267639	0.0026932	0.00442711	0.018242	0.0757442	0.253703	0.636388
a87	0.00194533	0.000946229	0.00170878	0.00497015	0.0218955	0.106283	0.350164	0.512087
a23	0.0164941	0.0066046	0.00779238	0.0145638	0.0446386	0.139823	0.336578	0.433506
a87	0.0174754	0.00590612	0.00679524	0.011854	0.0371559	0.116686	0.284633	0.519494
</S>	0.0127121	0.00467857	0.00478777	0.00815959	0.0263349	0.0931324	0.298939	0.551255
