 	j'	abats	un	arbre	</S>
a23	0.401363	0.357625	0.142356	0.0600893	0.0385665
a97	0.825505	0.113584	0.0212829	0.0198687	0.0197597
a87	0.510716	0.269571	0.0652646	0.0665165	0.0879324
a10	0.594462	0.27621	0.0461591	0.0387291	0.0444399
a87	0.666132	0.230319	0.0393879	0.0305302	0.0336307
a23	0.556502	0.277474	0.0636592	0.0520307	0.0503336
a83	0.604551	0.230416	0.0486025	0.0504204	0.0660101
a54	0.431048	0.325364	0.0802346	0.0769082	0.086445
a5	0.47454	0.322546	0.093221	0.0562435	0.0534498
a61	0.354853	0.294773	0.14318	0.097779	0.109414
a43	0.411773	0.285423	0.136856	0.0768673	0.0890805
a66	0.387334	0.267922	0.156467	0.0927977	0.0954799
a38	0.250674	0.229654	0.184728	0.151724	0.18322
a75	0.184248	0.234625	0.205434	0.165973	0.20972
a21	0.0875656	0.175191	0.227452	0.223946	0.285846
a47	0.199925	0.292242	0.204484	0.160089	0.14326
a62	0.138411	0.248708	0.245441	0.193664	0.173776
a88	0.0808718	0.156666	0.279319	0.255991	0.227153
a11	0.0551323	0.0981047	0.227039	0.306037	0.313687
a90	0.0442234	0.0701705	0.147073	0.305197	0.433336
a15	0.015584	0.0306082	0.108813	0.318181	0.526814
a7	0.0179265	0.0327985	0.0960121	0.311655	0.541608
a84	0.00659701	0.00986395	0.040622	0.241205	0.701712
a57	0.00883394	0.00710343	0.0348178	0.233957	0.715287
a87	0.123084	0.0742341	0.126781	0.251345	0.424555
a23	0.217611	0.117486	0.169431	0.241044	0.254428
a85	0.16009	0.0882536	0.197681	0.291177	0.262799
a84	0.023515	0.0206194	0.113601	0.355022	0.487242
a87	0.0120524	0.0167481	0.133318	0.385338	0.452544
a10	0.0180175	0.0256402	0.143238	0.385854	0.42725
a87	0.0518791	0.049641	0.150343	0.344466	0.403671
a23	0.0451385	0.0396006	0.1331	0.359768	0.422393
a87	0.05069	0.0511474	0.17977	0.355831	0.362562
</S>	0.0243039	0.0269749	0.15606	0.376643	0.416018
