 	l'	enfant	boude	parce	que	sa	mère	lui	a	refusé	la	nourriture	</S>
a66	0.251237	0.167968	0.0969876	0.0656336	0.0734735	0.0828446	0.0925215	0.0765095	0.045186	0.0181198	0.011172	0.0092759	0.00907039
a87	0.209107	0.134114	0.0905257	0.0626193	0.0597486	0.0602251	0.061789	0.0579609	0.0525583	0.0434429	0.0484313	0.0586547	0.0608229
a23	0.194822	0.165538	0.153708	0.0981684	0.0707862	0.0658035	0.059302	0.0446301	0.03701	0.0290806	0.0228722	0.0263356	0.0319432
a54	0.127145	0.134735	0.193562	0.128739	0.0985281	0.0833803	0.0643555	0.0432084	0.030709	0.0231292	0.0204123	0.0236844	0.0284114
a98	0.161641	0.138701	0.126387	0.0724256	0.065608	0.0631348	0.0785432	0.0821149	0.0659471	0.0387196	0.0336644	0.0350008	0.0381124
a47	0.184676	0.175204	0.133066	0.0828235	0.0803111	0.0664376	0.0697132	0.0699981	0.0580635	0.0292027	0.0199486	0.0166252	0.0139303
a85	0.140157	0.176935	0.169894	0.0909989	0.0861309	0.0643711	0.0499235	0.0487762	0.0475852	0.034236	0.030159	0.0308091	0.0300247
a6	0.127451	0.138948	0.144593	0.108793	0.0967124	0.0750959	0.0625773	0.0635298	0.0541334	0.0317634	0.0300819	0.0321451	0.0341766
a5	0.130942	0.141366	0.162848	0.127857	0.107106	0.075909	0.056158	0.0480626	0.0355352	0.0264734	0.0266206	0.0290972	0.0320244
a43	0.128817	0.102597	0.100144	0.114509	0.115437	0.0946024	0.074463	0.0663772	0.0467936	0.0325561	0.0355836	0.041396	0.0467239
a36	0.0661864	0.0632621	0.0686245	0.11857	0.149394	0.13703	0.096253	0.0715126	0.0431206	0.0327211	0.0407217	0.0501362	0.0624671
a56	0.0287112	0.0280095	0.0301124	0.0678582	0.1235	0.154641	0.149374	0.116112	0.0773959	0.0521071	0.0491138	0.055738	0.0673269
a43	0.03102	0.0244731	0.0233045	0.0528786	0.090936	0.11087	0.110899	0.11417	0.093626	0.074112	0.0789629	0.0892717	0.105475
a75	0.023818	0.0195769	0.0175685	0.0409954	0.0791269	0.112231	0.131152	0.140703	0.11835	0.0850416	0.0714738	0.0741082	0.085855
a85	0.00610419	0.00563667	0.00530909	0.0108564	0.0207596	0.0279146	0.0348247	0.0569113	0.0867005	0.170234	0.192585	0.183517	0.198647
a47	0.00624471	0.0066765	0.00651257	0.012265	0.0233096	0.0311201	0.0364443	0.0595589	0.0922259	0.178966	0.189047	0.170694	0.186936
a36	0.00622075	0.00543106	0.00446878	0.00827296	0.0165915	0.0257904	0.0350287	0.05743	0.0905792	0.186387	0.180214	0.16886	0.214726
a2	0.00990254	0.00984795	0.00904952	0.015349	0.0261267	0.0399426	0.0530986	0.0713848	0.085983	0.144426	0.136808	0.151941	0.246141
a57	0.0187852	0.0198994	0.0190303	0.0203547	0.0258098	0.0316935	0.0304497	0.0311147	0.0353999	0.0845972	0.142694	0.224727	0.315445
a10	0.0217748	0.0196062	0.0150723	0.0176878	0.0232955	0.0300335	0.0361534	0.0485538	0.0680575	0.123075	0.16285	0.21002	0.22382
a11	0.0437406	0.033149	0.0178153	0.0172916	0.0229063	0.0312489	0.0467916	0.0730095	0.106034	0.142033	0.145992	0.158861	0.161127
a96	0.0401208	0.0272738	0.012384	0.0116285	0.0140714	0.0189579	0.0355194	0.0654161	0.115426	0.18845	0.178154	0.149284	0.143314
a75	0.00732526	0.0047062	0.0024208	0.00213961	0.00314598	0.00512491	0.0122263	0.0271571	0.0654035	0.165495	0.220752	0.224371	0.259732
a92	0.00123229	0.000921102	0.000621981	0.00127245	0.00230691	0.00361504	0.00742154	0.0172058	0.0421254	0.141894	0.215751	0.260553	0.305079
