 	la	bière	fermente	</S>
a85	0.814506	0.0957748	0.0513878	0.0383316
a87	0.629461	0.14297	0.125303	0.102266
a23	0.510004	0.234894	0.116365	0.138737
a40	0.440382	0.177489	0.13172	0.250409
a44	0.492722	0.243144	0.153183	0.11095
a20	0.563595	0.292696	0.097412	0.0462967
a56	0.448712	0.283804	0.169291	0.0981928
a18	0.374969	0.327423	0.176976	0.120632
a38	0.265622	0.312455	0.262674	0.15925
a20	0.22672	0.269201	0.291662	0.212417
a73	0.132328	0.221647	0.321462	0.324563
a32	0.0887478	0.170685	0.328761	0.411806
a11	0.0385467	0.109688	0.339107	0.512658
a90	0.0305214	0.0714132	0.289385	0.60868
a94	0.0253163	0.0599907	0.295836	0.618857
a98	0.00797071	0.0283874	0.240762	0.72288
a73	0.00841711	0.0414669	0.321116	0.629
a84	0.0101602	0.0561507	0.318795	0.614894
a57	0.00488152	0.0222014	0.191192	0.781725
a87	0.0106638	0.0383237	0.191952	0.759061
</S>	0.0448991	0.0730463	0.156706	0.725349
