 	tu	es	vraiment	mal	intentionné	car	tu	es	parti	cueillir	les	feuilles	de	manioc	dans	le	champ	de	ton	voisin	</S>
a66	0.0670504	0.0564639	0.0581817	0.0601827	0.0389934	0.0576328	0.0549621	0.0770496	0.0792475	0.07021	0.0724152	0.071267	0.0581573	0.0590906	0.0432107	0.0299618	0.0227852	0.0114191	0.00587554	0.00253467	0.00330868
a87	0.153409	0.0987605	0.0696203	0.0571216	0.0296095	0.0309381	0.0324227	0.0484854	0.0624339	0.0547633	0.0558006	0.060151	0.056601	0.0564111	0.0437049	0.0340516	0.02607	0.00961255	0.00722702	0.00443526	0.00837098
a23	0.158822	0.127843	0.0884009	0.0443629	0.0265797	0.0333995	0.0279433	0.038314	0.0531632	0.0651834	0.0548092	0.0606431	0.0507067	0.0491324	0.0367536	0.0288586	0.0262137	0.0125631	0.00796251	0.00353661	0.00480866
a13	0.167998	0.137249	0.105431	0.0516744	0.0356049	0.0447424	0.0299535	0.0397964	0.0548512	0.0614835	0.0405775	0.0421001	0.0359757	0.0324636	0.0284427	0.0271829	0.020995	0.0151999	0.0137954	0.00754494	0.00693861
a4	0.0886303	0.092266	0.0857675	0.0563292	0.0376682	0.0506382	0.0400897	0.05508	0.0695829	0.073638	0.0522755	0.050076	0.0416789	0.0385473	0.0333565	0.0306044	0.0302297	0.022132	0.0189085	0.0154814	0.0170198
a13	0.184274	0.190866	0.127569	0.0891081	0.0469578	0.0537843	0.0375428	0.0444601	0.0488642	0.0408899	0.0287273	0.023208	0.017448	0.0134931	0.0124697	0.00814045	0.00783188	0.0071426	0.00780299	0.0059914	0.00342837
a96	0.12893	0.157846	0.13565	0.0980307	0.060853	0.0688823	0.0448294	0.0453085	0.0496565	0.0348166	0.0276615	0.021156	0.0188312	0.0141693	0.0151869	0.0107501	0.0119694	0.0125757	0.0147525	0.0195338	0.00861034
a93	0.0702296	0.0982291	0.128513	0.107882	0.0765776	0.0843334	0.0556054	0.0528201	0.0474823	0.0329602	0.0296322	0.0230943	0.0232173	0.0189641	0.0208922	0.0177861	0.0198033	0.0203046	0.0227951	0.034127	0.0147513
a4	0.0494888	0.075488	0.120212	0.111997	0.0795427	0.0878755	0.0580005	0.0556825	0.0472143	0.034206	0.0297647	0.0231026	0.022952	0.0192108	0.0203904	0.0181205	0.0207219	0.0214562	0.0249046	0.0481087	0.0315606
a90	0.0390003	0.0568383	0.10281	0.101936	0.0723333	0.0867573	0.0566248	0.0564598	0.0456453	0.0356435	0.0320287	0.0254912	0.0256987	0.0229293	0.0233291	0.022101	0.0250191	0.0265887	0.0289861	0.056761	0.0570188
a94	0.0332342	0.0536652	0.105169	0.110064	0.0748037	0.0833815	0.059238	0.0560347	0.044487	0.0312476	0.0299517	0.0244677	0.0264741	0.0236301	0.0235823	0.0220655	0.0227515	0.0221006	0.0265065	0.0581158	0.0690293
