 	on	a	entendu	le	bruit	d'	un	coup	de	fusil	</S>
a23	0.254802	0.169466	0.100271	0.0864707	0.088263	0.0856958	0.0816227	0.0560615	0.0335438	0.0242329	0.0195706
a85	0.274154	0.167554	0.113038	0.0837665	0.0775975	0.0678257	0.0548196	0.0445156	0.0395918	0.0385419	0.0385953
a87	0.196962	0.201413	0.172887	0.100393	0.0716471	0.0643231	0.0616646	0.040465	0.0314179	0.0276482	0.0311797
a23	0.182059	0.190673	0.165799	0.10911	0.0741464	0.0623703	0.0576538	0.0421872	0.0391876	0.0365327	0.0402804
a50	0.226517	0.214148	0.167579	0.0941015	0.0676358	0.0509414	0.055335	0.0351046	0.0277913	0.0290619	0.0317846
a24	0.303281	0.238259	0.198035	0.09819	0.0729827	0.0388224	0.0260929	0.0117997	0.00545083	0.00389409	0.00319271
a0	0.210955	0.173812	0.163665	0.128968	0.122687	0.0835832	0.0629875	0.0278847	0.0112968	0.00730753	0.00685203
a26	0.150187	0.148287	0.124124	0.122686	0.124628	0.101868	0.0847738	0.0494852	0.0308105	0.0284124	0.0347392
a35	0.127468	0.110424	0.088433	0.111047	0.131557	0.129529	0.110641	0.0685268	0.0415918	0.0383454	0.0424374
a41	0.142357	0.116832	0.0924379	0.103511	0.116053	0.126345	0.124987	0.0874714	0.0428949	0.0252226	0.0218877
a35	0.157842	0.132964	0.102369	0.100111	0.102257	0.105835	0.110659	0.0912385	0.0483752	0.0266458	0.0217047
a66	0.126955	0.11751	0.0860073	0.0973666	0.106603	0.118665	0.124321	0.102478	0.0558952	0.0339149	0.0302842
a94	0.0946908	0.0963569	0.078227	0.107007	0.117807	0.119761	0.122978	0.10176	0.0655804	0.0473018	0.0485295
a76	0.0657582	0.0716765	0.0548609	0.0886602	0.114533	0.128744	0.139846	0.122939	0.0849166	0.0625131	0.0655528
a25	0.0653358	0.0636709	0.0455368	0.068826	0.0941878	0.10916	0.119759	0.12732	0.108298	0.100292	0.0976147
a35	0.043917	0.0420671	0.0301503	0.0474794	0.0749186	0.0988195	0.117526	0.122293	0.135045	0.134567	0.153218
a61	0.0307006	0.0280491	0.0200655	0.0297897	0.0507752	0.0751201	0.0970938	0.106508	0.131524	0.18822	0.242154
a47	0.0199507	0.0199412	0.0205393	0.0283445	0.043506	0.0574964	0.0763158	0.107316	0.155706	0.204018	0.266867
a32	0.0134589	0.0115107	0.013076	0.0203623	0.0299457	0.039228	0.0525801	0.0786514	0.157544	0.245968	0.337675
a25	0.0141993	0.011094	0.00936676	0.016576	0.0239187	0.0293203	0.0385163	0.0583256	0.138592	0.262915	0.397176
a11	0.0107768	0.00808403	0.00605724	0.0106884	0.0151701	0.0209401	0.0295743	0.0421375	0.133603	0.284929	0.43804
a26	0.00403888	0.00276923	0.00169703	0.00293467	0.00549946	0.00930092	0.0142194	0.0240456	0.0994549	0.307334	0.528705
a61	0.0036629	0.00224408	0.0011651	0.00172756	0.00289514	0.0054085	0.00964112	0.0220455	0.098082	0.319648	0.53348
a26	0.0034817	0.00271279	0.00219865	0.00275798	0.00412155	0.00593554	0.010269	0.0219956	0.0947388	0.289587	0.562201
a75	0.00368222	0.00299439	0.00198021	0.00297581	0.00469044	0.00749696	0.0123764	0.0263885	0.103197	0.306427	0.527792
a25	0.00321833	0.00262304	0.00216697	0.00371025	0.00599317	0.00950436	0.0155614	0.0320518	0.120973	0.276543	0.527655
a20	0.00387795	0.00311833	0.00234541	0.00423568	0.00736152	0.010434	0.0176394	0.035116	0.119847	0.279631	0.516395
a58	0.00357477	0.00280478	0.00205726	0.00306345	0.00480489	0.00740873	0.012821	0.0295938	0.106737	0.275977	0.551157
a75	0.00797825	0.00614522	0.00459394	0.0062891	0.0085452	0.0139573	0.0241123	0.0427133	0.120809	0.249015	0.515841
a14	0.00690611	0.00457747	0.00254951	0.00298229	0.00442859	0.00850318	0.016336	0.0351853	0.13361	0.263469	0.521452
a73	0.0143068	0.0098356	0.00624701	0.00748964	0.0091521	0.0129938	0.0214167	0.0400095	0.123249	0.255768	0.499532
a2	0.0104006	0.00815665	0.00611044	0.00785446	0.0111405	0.0167061	0.0294285	0.05598	0.130108	0.240121	0.483993
a57	0.0245245	0.0187666	0.0126949	0.0150149	0.01454	0.0299187	0.0447669	0.0749732	0.159323	0.238625	0.366852
a87	0.0741776	0.0580262	0.0348523	0.0289756	0.0285025	0.0535965	0.0760412	0.105443	0.152874	0.183977	0.203534
</S>	0.0413624	0.0299089	0.0177423	0.0143124	0.0127219	0.0288602	0.0433691	0.063888	0.159725	0.275091	0.313018
