 	il	bascula	en	arrière	</S>
a23	0.667668	0.126691	0.0373035	0.0706473	0.0976902
a79	0.653518	0.141972	0.0413542	0.0517189	0.111437
a69	0.218756	0.112065	0.080212	0.167223	0.421744
a58	0.294798	0.226907	0.15859	0.159814	0.15989
a53	0.368709	0.234489	0.117881	0.137136	0.141785
a69	0.18962	0.185213	0.183616	0.219607	0.221945
a4	0.219612	0.16474	0.138828	0.189667	0.287152
a70	0.232809	0.162008	0.125521	0.189027	0.290635
a53	0.250548	0.193666	0.116442	0.17219	0.267153
a94	0.160517	0.201229	0.142923	0.193624	0.301706
a13	0.120288	0.160326	0.137286	0.217783	0.364316
a57	0.128341	0.148419	0.115588	0.194262	0.41339
a4	0.0422988	0.0514631	0.0671392	0.199002	0.640096
a57	0.0183277	0.0234638	0.0423164	0.197755	0.718137
a82	0.00933037	0.0173104	0.0323218	0.166357	0.77468
a87	0.0123305	0.022138	0.0363279	0.200369	0.728834
a23	0.215786	0.128718	0.0838692	0.186986	0.384641
a87	0.0615227	0.0738375	0.118884	0.263103	0.482653
</S>	0.00697885	0.0199275	0.0745513	0.297564	0.600978
