 	les	jeunes	déracinent	l'	arbre	qui	est	au	coeur	du	vil-	lage	</S>
a23	0.201321	0.257043	0.113184	0.0850051	0.0898373	0.0735005	0.050975	0.0284757	0.0201727	0.0170105	0.0200731	0.0213698	0.0220319
a40	0.180892	0.0584669	0.0185011	0.0200526	0.0351942	0.0706009	0.0907653	0.101744	0.0919551	0.0685478	0.0980048	0.111356	0.0539191
a36	0.18392	0.17773	0.0613678	0.0455224	0.0452872	0.0576154	0.0622479	0.0728353	0.057854	0.0545729	0.0518432	0.0638398	0.0653644
a2	0.158865	0.312379	0.248836	0.0846566	0.037852	0.0382573	0.0318157	0.0252853	0.0150941	0.0121459	0.0113694	0.0116176	0.0118255
a11	0.192276	0.213801	0.241699	0.0832535	0.0346097	0.0273251	0.0233811	0.021963	0.0219422	0.0266986	0.0356565	0.0379509	0.039443
a12	0.0903731	0.108127	0.20745	0.0953145	0.0543943	0.0530894	0.0557531	0.053165	0.0512653	0.0516571	0.055898	0.0566062	0.0669069
a96	0.129019	0.131405	0.246945	0.142629	0.0769252	0.0567723	0.04193	0.0308702	0.0273374	0.0263512	0.0284637	0.0285595	0.032792
a98	0.111455	0.105064	0.238308	0.160475	0.0875137	0.0623351	0.0461852	0.0362868	0.0323706	0.0309722	0.0307357	0.0275121	0.030787
a47	0.0989564	0.106295	0.210097	0.125637	0.0755434	0.0528412	0.0343819	0.029276	0.0339813	0.0443435	0.0615558	0.0569059	0.0701854
a36	0.0958548	0.118383	0.187624	0.146601	0.0923859	0.0622804	0.0397003	0.0332801	0.0312803	0.0372097	0.0456776	0.0469979	0.062725
a0	0.0678951	0.0790469	0.139564	0.158357	0.11739	0.08452	0.0548564	0.0433237	0.0381441	0.041422	0.0484668	0.0535956	0.0734187
a37	0.0541753	0.0687695	0.131292	0.181913	0.136451	0.097286	0.0609566	0.0430034	0.0376146	0.0380257	0.0426681	0.0475411	0.0603038
a70	0.0527881	0.0638965	0.129429	0.179953	0.154047	0.102876	0.0647426	0.0427766	0.0375769	0.0358541	0.0385857	0.0439279	0.053546
a66	0.020839	0.0283333	0.0938221	0.228963	0.207911	0.132892	0.0805751	0.0447743	0.0352923	0.0304539	0.0297909	0.0303741	0.0359789
a62	0.0150585	0.0197829	0.0648849	0.193312	0.220991	0.139081	0.0886929	0.0506612	0.0398621	0.0318012	0.0324482	0.0447161	0.0587078
a88	0.00822524	0.0127569	0.0538712	0.158366	0.188598	0.144288	0.125581	0.0819345	0.0607444	0.0453912	0.0407026	0.0372515	0.0422896
a90	0.010083	0.0137793	0.0440474	0.124525	0.165309	0.125193	0.120042	0.0902073	0.0773768	0.0582549	0.0563956	0.0525815	0.062206
a25	0.00754673	0.010747	0.0348932	0.10993	0.15171	0.118488	0.119764	0.0972118	0.0853337	0.0670072	0.0646521	0.059058	0.0736572
a92	0.00593465	0.010066	0.0269655	0.0752559	0.121202	0.0970185	0.0967561	0.083335	0.0786434	0.0705716	0.0809531	0.0955425	0.157756
a12	0.00356809	0.00554721	0.0133276	0.0454823	0.0663258	0.0736314	0.0844845	0.0928018	0.103569	0.0971375	0.112375	0.124242	0.177508
a56	0.00394332	0.00570346	0.024298	0.0614433	0.0743771	0.0676211	0.0660978	0.0737704	0.090962	0.0912107	0.111099	0.125819	0.203655
a43	0.00271985	0.00378211	0.0114414	0.0392941	0.0597354	0.0613572	0.0704657	0.0837566	0.108514	0.101155	0.124468	0.136667	0.196644
a75	0.00102327	0.00173912	0.00690728	0.0257323	0.0409223	0.0365244	0.0467131	0.0615236	0.0911728	0.0935387	0.130849	0.184426	0.278927
a92	0.00203886	0.00353265	0.00707162	0.0204966	0.0309671	0.0399498	0.0420491	0.0487463	0.070872	0.086784	0.146757	0.190024	0.310711
a90	0.00152725	0.00232782	0.00418352	0.012449	0.0209919	0.0285265	0.0331405	0.0442738	0.0711243	0.0932095	0.163322	0.201667	0.323256
a25	0.000670166	0.00109383	0.00217902	0.00781589	0.0168072	0.0204174	0.0253503	0.0365581	0.0618284	0.0872596	0.156435	0.211893	0.371693
a69	0.000528956	0.000932817	0.00341774	0.00936403	0.0159126	0.0146206	0.0189228	0.030417	0.0559589	0.0974321	0.182083	0.221241	0.349169
a4	0.000518707	0.000866612	0.00142551	0.00849712	0.0204051	0.0216675	0.0292622	0.0450176	0.0721512	0.101864	0.160556	0.217746	0.320022
a57	0.000444139	0.000735337	0.00166623	0.00724572	0.0191294	0.0250958	0.0345044	0.0467957	0.0757064	0.111392	0.17612	0.212748	0.288416
a82	0.0017031	0.00145231	0.00370549	0.0101498	0.0177189	0.0192204	0.0267692	0.0484028	0.0996396	0.128893	0.168297	0.226418	0.247631
a87	0.0319154	0.0186553	0.0290018	0.0446302	0.0615999	0.0531709	0.0566371	0.0849967	0.100574	0.10331	0.123964	0.147072	0.144473
a23	0.104768	0.0551614	0.0471999	0.0747691	0.0918334	0.0880997	0.0735639	0.0756726	0.0702424	0.0707163	0.0825291	0.0867891	0.0786547
a87	0.00992374	0.00686823	0.00434966	0.00728342	0.0151319	0.0219808	0.0350879	0.0743786	0.112546	0.132133	0.200352	0.204572	0.175392
</S>	0.0010835	0.000954797	0.00132358	0.00392201	0.0121555	0.0156205	0.0287807	0.069258	0.111452	0.141186	0.222531	0.21107	0.180663
