 	sa	femme	est	enceinte	</S>
a87	0.409599	0.240674	0.171185	0.108009	0.0705338
a38	0.465176	0.229538	0.139979	0.0944345	0.0708726
a75	0.488154	0.247164	0.125722	0.0739947	0.064966
a98	0.568073	0.260771	0.109589	0.0361189	0.0254481
a85	0.494483	0.274178	0.135266	0.0522051	0.0438673
a43	0.423123	0.263758	0.150165	0.0862082	0.0767457
a75	0.336244	0.242747	0.165958	0.120995	0.134056
a85	0.229696	0.215084	0.194085	0.179409	0.181726
a15	0.136869	0.155973	0.190772	0.247421	0.268964
a92	0.108708	0.12524	0.173277	0.265081	0.327694
a56	0.138729	0.138078	0.17869	0.254345	0.290157
a96	0.0909884	0.0939499	0.144221	0.286728	0.384113
a66	0.0506066	0.0550814	0.0952705	0.254562	0.544479
a9	0.0237657	0.0253792	0.0560193	0.185428	0.709408
a53	0.0308262	0.0280701	0.0622852	0.188135	0.690684
a90	0.0855625	0.0645167	0.0953587	0.191299	0.563263
a98	0.017846	0.0235732	0.0585022	0.211723	0.688355
a85	0.00593177	0.0114996	0.044442	0.219312	0.718815
a37	0.0137967	0.0214963	0.060958	0.244075	0.659674
a43	0.00489875	0.00939446	0.0357602	0.209469	0.740477
a21	0.0068784	0.0114552	0.0352445	0.178349	0.768073
a47	0.0120035	0.0177913	0.0457914	0.179925	0.744489
a83	0.016243	0.0273794	0.0693808	0.207623	0.679374
a9	0.00948343	0.0173992	0.0529513	0.194195	0.725971
a10	0.0969261	0.0905785	0.136797	0.242983	0.432715
a87	0.266766	0.195714	0.175504	0.169674	0.192342
a23	0.241947	0.180282	0.171472	0.1913	0.214999
a97	0.11503	0.104872	0.136693	0.236649	0.406755
a10	0.0718666	0.0822562	0.136535	0.250764	0.458578
</S>	0.14365	0.136008	0.157482	0.208742	0.354118
