 	cette	femme	a	exposé	l'	eau	au	soleil	</S>
a87	0.241923	0.161626	0.173241	0.217533	0.0970927	0.0501484	0.0274451	0.0175252	0.0134656
a97	0.221289	0.0863524	0.0933258	0.156024	0.131454	0.0908522	0.0714367	0.0762457	0.0730207
a79	0.151019	0.118262	0.136478	0.226248	0.115096	0.0773732	0.0575941	0.0566478	0.0612819
a30	0.251032	0.140301	0.111127	0.155985	0.122675	0.0722432	0.0584287	0.046381	0.0418254
a93	0.277482	0.213477	0.145152	0.170333	0.0563394	0.0326085	0.0338946	0.0329233	0.0377901
a96	0.367731	0.283637	0.122246	0.0853812	0.0337517	0.0237183	0.0298998	0.0287814	0.0248528
a12	0.295141	0.278375	0.123457	0.0987835	0.0432616	0.0336986	0.0449488	0.0435088	0.0388254
a93	0.229686	0.246816	0.153426	0.15049	0.055861	0.0390423	0.045014	0.0412867	0.0383776
a90	0.167594	0.20382	0.161206	0.153466	0.0651935	0.0542859	0.0643883	0.0613438	0.0687026
a15	0.168009	0.219103	0.15592	0.134027	0.0663851	0.0550296	0.0620628	0.0617917	0.0776717
a7	0.139015	0.211554	0.159342	0.140277	0.0814241	0.0678053	0.0647598	0.0601761	0.0756467
a15	0.0690912	0.103785	0.134917	0.191993	0.0865352	0.0785187	0.0797674	0.0970569	0.158336
a25	0.0604168	0.0895015	0.123083	0.1926	0.0963555	0.0790866	0.0778969	0.0980215	0.183038
a92	0.0516141	0.0836807	0.109644	0.18119	0.102368	0.0883264	0.0802327	0.103567	0.199378
a56	0.0360475	0.0630918	0.0834717	0.134835	0.10036	0.102233	0.100013	0.126469	0.25348
a43	0.0225764	0.0395995	0.063944	0.115481	0.116318	0.14615	0.128694	0.140388	0.226849
a24	0.0106348	0.0154319	0.0270654	0.0646939	0.0830225	0.142322	0.158185	0.185303	0.313341
a34	0.00502422	0.00686668	0.0132045	0.0517415	0.0691366	0.116319	0.165006	0.247563	0.325139
a98	0.00339902	0.00510892	0.0101537	0.0325009	0.0531617	0.115741	0.185025	0.259414	0.335496
a47	0.000690997	0.00129435	0.00281866	0.00986869	0.0188954	0.0601906	0.135658	0.258354	0.51223
a7	0.000937974	0.00147945	0.00300439	0.0108934	0.0205664	0.0691202	0.157484	0.250125	0.486388
a37	0.00116063	0.00154053	0.00328193	0.0124652	0.0197333	0.0549782	0.10334	0.207462	0.596038
a0	0.00109429	0.00162847	0.00301407	0.0113613	0.0211401	0.0641789	0.126623	0.227727	0.543234
a88	0.00112476	0.001768	0.0033773	0.00962771	0.0176483	0.0591372	0.121475	0.249481	0.536361
a9	0.0011336	0.00161389	0.00302734	0.00785063	0.0128355	0.0430365	0.102245	0.243644	0.584613
a99	0.00986033	0.0112246	0.0157406	0.0284075	0.0379446	0.0738183	0.117905	0.207514	0.497584
a97	0.0254645	0.0257455	0.0350518	0.0637743	0.0682957	0.0972028	0.124584	0.180339	0.379542
a99	0.0753068	0.0490212	0.0600581	0.0873313	0.114851	0.132263	0.13022	0.149934	0.201014
a97	0.0149799	0.00964942	0.0123031	0.0215542	0.0413913	0.0804024	0.133609	0.252954	0.433156
a3	0.00721294	0.00517856	0.00815058	0.0210748	0.0432546	0.0849946	0.139366	0.252363	0.438405
</S>	0.0119216	0.00988104	0.0191365	0.045373	0.0552003	0.0835745	0.116181	0.218855	0.439877
