 	le	porc	a	de	grosses	molaires	</S>
a66	0.261214	0.271649	0.216422	0.130253	0.0693303	0.0298114	0.0213203
a87	0.288333	0.26783	0.193197	0.147888	0.066386	0.0186789	0.0176873
a23	0.335004	0.303555	0.201537	0.100807	0.0404523	0.00954581	0.00909799
a83	0.498798	0.297951	0.109748	0.0453571	0.0216704	0.0114978	0.0149781
a70	0.426724	0.30651	0.13097	0.0618341	0.0283425	0.0184347	0.0271849
a93	0.406593	0.277975	0.155381	0.0942252	0.041778	0.0147804	0.00926709
a98	0.237603	0.179179	0.148189	0.156058	0.140355	0.0879877	0.0506282
a92	0.141003	0.113126	0.116569	0.144177	0.178364	0.187537	0.119223
a85	0.0904488	0.0973209	0.129829	0.183671	0.182078	0.181623	0.135028
a6	0.0611017	0.0850302	0.148239	0.242841	0.199183	0.158416	0.105189
a36	0.094781	0.10083	0.114816	0.160461	0.186801	0.188936	0.153376
a75	0.0613785	0.103996	0.125686	0.142158	0.151605	0.190161	0.225017
a98	0.024226	0.0459947	0.0685198	0.115053	0.214078	0.267103	0.265025
a47	0.0156235	0.0332672	0.0678547	0.153403	0.261211	0.256696	0.211946
a6	0.00579726	0.0101221	0.016478	0.0393701	0.152595	0.295922	0.479715
a21	0.00606914	0.010277	0.0160616	0.0389265	0.141443	0.314131	0.473091
a12	0.00402258	0.00411258	0.00586224	0.0170302	0.088041	0.264957	0.615974
a5	0.00167131	0.00156595	0.00212278	0.00552159	0.039342	0.218688	0.731088
a18	0.00237408	0.00221321	0.00297466	0.00710315	0.039133	0.203452	0.74275
a25	0.00480089	0.00517442	0.00554145	0.007086	0.0225408	0.13885	0.816007
a82	0.0810639	0.0576939	0.0577023	0.0554089	0.0846684	0.183632	0.479831
a87	0.207922	0.179382	0.129804	0.0820181	0.0734039	0.106828	0.220643
a23	0.239176	0.227538	0.158427	0.096336	0.0649063	0.084076	0.12954
a99	0.0626916	0.0499434	0.0408777	0.0392761	0.0721154	0.200742	0.534354
a87	0.0193538	0.0167989	0.0189732	0.0364135	0.0938681	0.251319	0.563274
a97	0.0175637	0.0136361	0.0118547	0.0195863	0.0531297	0.17542	0.708809
</S>	0.0674657	0.0720224	0.0651358	0.0753891	0.0888256	0.163538	0.467624
