 	j'	ai	acheté	un	livre	de	cathéchisme	</S>
a66	0.164389	0.11591	0.109564	0.128479	0.178624	0.244785	0.0535707	0.00467761
a87	0.514582	0.273377	0.0968796	0.0403372	0.028225	0.0299437	0.0100775	0.00657735
a23	0.475941	0.234984	0.104886	0.0606418	0.0536853	0.0418356	0.0159984	0.0120276
a18	0.480581	0.233389	0.103817	0.0504315	0.0665061	0.0410092	0.0146017	0.00966514
a50	0.32611	0.177597	0.138433	0.122821	0.110207	0.0679806	0.0334314	0.0234197
a62	0.350272	0.168517	0.12573	0.136352	0.118372	0.0623931	0.028974	0.00939062
a0	0.280441	0.216156	0.187725	0.149425	0.103511	0.0463359	0.013861	0.0025452
a75	0.158256	0.168918	0.174363	0.164539	0.174611	0.10397	0.0444542	0.01089
a56	0.14205	0.157138	0.156929	0.186291	0.173074	0.109403	0.0686055	0.00650918
a34	0.110692	0.123971	0.138583	0.169989	0.201415	0.167892	0.0761248	0.0113335
a21	0.105387	0.120453	0.151935	0.190032	0.200356	0.151145	0.0678499	0.0128417
a12	0.0605969	0.0763951	0.114551	0.187488	0.245711	0.209812	0.0870975	0.0183471
a18	0.0384116	0.0475853	0.0757904	0.180973	0.271021	0.265354	0.0971624	0.023702
a75	0.0217472	0.0213677	0.0276935	0.0907074	0.19592	0.34547	0.201331	0.0957622
a5	0.0157693	0.0195697	0.0272264	0.0966361	0.222468	0.33687	0.172529	0.108932
a0	0.0168688	0.0190671	0.0210419	0.0633188	0.180284	0.387184	0.212804	0.0994319
a43	0.0203818	0.0223573	0.0249851	0.0515454	0.104495	0.3623	0.296118	0.117817
a61	0.0124514	0.0123728	0.0119294	0.0277175	0.0620892	0.292937	0.336734	0.243769
a75	0.00957838	0.0104442	0.0107987	0.0253813	0.0599458	0.276101	0.374131	0.23362
a6	0.00452629	0.00471121	0.00496286	0.0099903	0.0242114	0.123412	0.162858	0.665328
a36	0.00620584	0.00632356	0.00674458	0.013812	0.0306334	0.120055	0.19764	0.618586
a44	0.00562118	0.00517582	0.0047997	0.00830121	0.0146618	0.0706767	0.156398	0.734366
a56	0.00531603	0.00488528	0.00446813	0.00655226	0.0100492	0.040386	0.136072	0.792271
a43	0.00425661	0.00396234	0.00389925	0.0054474	0.00810199	0.0403778	0.170911	0.763044
a47	0.00159716	0.0015667	0.00161408	0.00250708	0.00335793	0.0142695	0.101532	0.873556
a21	0.00106021	0.0010114	0.00107663	0.00187488	0.00244341	0.00851211	0.0541079	0.929913
a12	0.000479239	0.000469753	0.000475662	0.000895428	0.00160268	0.00932311	0.0676028	0.919151
a75	0.000357559	0.000359465	0.000417879	0.000783584	0.00137533	0.00696726	0.0568192	0.93292
a92	0.000141018	0.00014266	0.000163385	0.000267686	0.000486645	0.00222161	0.0213639	0.975213
a37	0.00022275	0.000209992	0.000174125	0.000268657	0.000521089	0.00338237	0.0317222	0.963499
a75	0.000315277	0.000305265	0.000294603	0.0004891	0.000677902	0.00196148	0.0173805	0.978576
a92	0.000225119	0.000197328	0.000144034	0.000235546	0.000399385	0.00196391	0.0188347	0.978
a37	0.000139683	0.000120166	8.60798e-05	0.000149601	0.000282314	0.00198734	0.0216741	0.975561
a88	0.000469717	0.000482398	0.000363354	0.000656607	0.000845446	0.00277104	0.0308679	0.963544
a71	0.000643791	0.000562623	0.000399144	0.000739423	0.00102297	0.00438732	0.0452587	0.946986
a9	0.0123734	0.00996127	0.0078288	0.00884466	0.0067245	0.00964951	0.0922305	0.852387
a99	0.0862765	0.0578257	0.0347816	0.0388814	0.0266093	0.0385577	0.176828	0.54024
a87	0.150477	0.0849811	0.04694	0.0504234	0.0377287	0.0502346	0.14815	0.431065
a23	0.292267	0.139812	0.0625193	0.0602614	0.0496092	0.0623173	0.126705	0.206509
a87	0.301069	0.137894	0.0375397	0.0193597	0.0135647	0.0230663	0.0475468	0.419959
</S>	0.0700537	0.0349042	0.00999943	0.00744413	0.0108355	0.0247013	0.0441585	0.797903
