 	la	bouteille	m'	a	glissé	entre	les	mains	</S>
a66	0.358354	0.260971	0.148436	0.0993335	0.0568139	0.0321087	0.0205261	0.0132974	0.0101588
a87	0.50767	0.167143	0.0692565	0.0606927	0.0441618	0.037582	0.036956	0.0332579	0.0432804
a97	0.213647	0.15251	0.127574	0.120083	0.118205	0.0884589	0.0643029	0.0584799	0.0567402
a87	0.192704	0.199456	0.154833	0.125226	0.0992023	0.0783021	0.0572389	0.046914	0.0461245
a97	0.182771	0.181661	0.135318	0.11366	0.101168	0.0951634	0.0726858	0.0605916	0.056981
a79	0.185942	0.168482	0.126612	0.109	0.0966115	0.0994707	0.0818878	0.067585	0.0644076
a90	0.274475	0.233686	0.149912	0.0983537	0.067453	0.0510086	0.0450107	0.036327	0.0437738
a44	0.377804	0.28279	0.16089	0.0797415	0.034843	0.0186092	0.016424	0.0123553	0.0165433
a98	0.216772	0.235004	0.201292	0.12962	0.0732318	0.0414821	0.0343928	0.0273367	0.0408685
a47	0.187395	0.214002	0.206461	0.149047	0.0915961	0.0491475	0.0357286	0.0268092	0.0398126
a79	0.102959	0.171799	0.205755	0.167657	0.113329	0.0696388	0.0567525	0.0461625	0.065947
a90	0.14245	0.165149	0.190323	0.165947	0.123824	0.0675964	0.0454816	0.0409845	0.0582448
a93	0.139122	0.147224	0.183562	0.169961	0.141484	0.0772683	0.0471009	0.0433387	0.0509392
a34	0.114393	0.136312	0.186065	0.18462	0.154428	0.0768636	0.0469787	0.0489888	0.0513512
a96	0.059403	0.0977142	0.170659	0.194015	0.17766	0.0956738	0.0639268	0.0697764	0.0711722
a34	0.0277819	0.0498443	0.117901	0.184982	0.202994	0.128735	0.0943088	0.100311	0.0931422
a47	0.0217428	0.0369794	0.0877246	0.158103	0.194234	0.141434	0.113551	0.130549	0.115683
a21	0.0133313	0.0207523	0.0491075	0.111691	0.18893	0.165512	0.139452	0.158443	0.152781
a5	0.00517707	0.00871332	0.0254962	0.0716642	0.138273	0.142022	0.139789	0.219637	0.249229
a37	0.00261545	0.00458261	0.0144569	0.0440224	0.121361	0.149818	0.153989	0.233625	0.27553
a54	0.00202842	0.00368991	0.0116639	0.0348011	0.108411	0.161006	0.165427	0.230744	0.282229
a56	0.000805321	0.00243325	0.00964038	0.0265469	0.0864525	0.139166	0.158713	0.241133	0.335109
a43	0.00102673	0.00183964	0.00497641	0.0145654	0.0542791	0.106908	0.159319	0.278503	0.378582
a54	0.000424135	0.000697847	0.00166961	0.00412734	0.014179	0.0439425	0.100511	0.294702	0.539747
a47	0.000183315	0.000317586	0.00100828	0.00310662	0.0123954	0.0364603	0.0890443	0.293563	0.563921
a7	0.000256743	0.00034403	0.00109213	0.00350927	0.0161411	0.0539575	0.128895	0.358485	0.43732
a69	0.000357653	0.000370813	0.000760994	0.0019287	0.00785587	0.0324459	0.0937614	0.337817	0.524702
a4	0.000258992	0.000311137	0.000636481	0.00160866	0.00592521	0.0259659	0.0842886	0.333861	0.547144
a57	0.000467411	0.000519456	0.000958486	0.00218319	0.0065625	0.028766	0.0898522	0.334239	0.536452
a3	0.000548561	0.000565269	0.00125138	0.00299978	0.00904974	0.033831	0.0930535	0.346518	0.512183
a97	0.0113927	0.00680204	0.00961159	0.0159647	0.0321207	0.0775741	0.1335	0.361521	0.351513
a3	0.0457071	0.018016	0.016638	0.0251305	0.0504466	0.115712	0.165978	0.326434	0.235937
a97	0.0351724	0.0169474	0.0153976	0.0234035	0.0640153	0.159916	0.207605	0.265952	0.211592
a87	0.0314924	0.0170899	0.0177895	0.0308882	0.104128	0.176514	0.190635	0.235216	0.196247
a97	0.0197565	0.0122504	0.0152857	0.0276355	0.0911833	0.150356	0.178258	0.258146	0.247129
</S>	0.0150331	0.0118725	0.0179032	0.036571	0.0794566	0.109566	0.141533	0.234132	0.353933
