 	pourquoi	tu	me	harcèles	pour	te	donner	de	l'	argent	</S>
a15	0.279506	0.229287	0.151127	0.142856	0.0764932	0.0428137	0.0216376	0.0133865	0.0130047	0.0139094	0.0159785
a66	0.322215	0.17903	0.151201	0.109861	0.0804264	0.044053	0.0304827	0.020249	0.0220377	0.0203099	0.0201341
a87	0.39771	0.263934	0.139617	0.102649	0.017617	0.0135474	0.0104056	0.00884783	0.0105246	0.0144417	0.0207057
a23	0.344924	0.302532	0.171331	0.121986	0.018425	0.0127715	0.00699458	0.00492271	0.00444929	0.00502379	0.00663987
a10	0.309163	0.274408	0.162235	0.11178	0.0268538	0.020536	0.0171078	0.0140917	0.0184209	0.0200898	0.0253136
a24	0.29416	0.256175	0.168333	0.121587	0.0382923	0.0235953	0.01937	0.0163472	0.0206063	0.020531	0.0210037
a41	0.238679	0.222422	0.182416	0.130053	0.056209	0.0320508	0.0319494	0.0243484	0.0271944	0.0272839	0.0273948
a5	0.127616	0.142747	0.194201	0.155833	0.0808852	0.0450934	0.062105	0.0393421	0.0447091	0.0510619	0.0564058
a21	0.198318	0.266213	0.250873	0.115262	0.0629631	0.0284298	0.0310784	0.0137758	0.0117489	0.0106514	0.0106875
a61	0.12912	0.158431	0.220349	0.167103	0.144287	0.0474171	0.0617779	0.0222133	0.0183302	0.0152147	0.015758
a37	0.138737	0.155659	0.208612	0.156904	0.14352	0.0484275	0.0702651	0.0253355	0.0187991	0.0161473	0.0175935
a75	0.0962061	0.120253	0.199437	0.160089	0.144985	0.0612226	0.0959679	0.0398302	0.0277183	0.0249506	0.0293411
a92	0.0535048	0.0619555	0.0866943	0.0906394	0.16333	0.14302	0.180014	0.0756644	0.0488487	0.0446296	0.0516995
a37	0.0421626	0.0535869	0.0798709	0.103932	0.141981	0.154826	0.150373	0.0841035	0.064255	0.0599475	0.0649612
a12	0.0533263	0.0647271	0.12552	0.204107	0.149685	0.134132	0.0800155	0.0550597	0.0446672	0.0422234	0.0465375
a31	0.0368589	0.0480192	0.100436	0.221821	0.167676	0.154162	0.0852403	0.0570862	0.0435739	0.0403757	0.0447517
a21	0.0261036	0.032474	0.0685395	0.188898	0.200399	0.185628	0.112465	0.0654245	0.0434764	0.037379	0.0392135
a5	0.0196373	0.0226893	0.0346157	0.0902237	0.13696	0.16005	0.126676	0.126142	0.101674	0.0911693	0.090162
a85	0.0149783	0.0189706	0.0288202	0.0647546	0.0884648	0.114614	0.0892381	0.147883	0.142975	0.143226	0.146075
a47	0.0133088	0.0176385	0.0264507	0.0602833	0.06289	0.0917377	0.0756867	0.123913	0.150659	0.17261	0.204822
a7	0.0191498	0.0243287	0.0454388	0.123155	0.058678	0.0648395	0.0481367	0.0839803	0.117207	0.181032	0.234054
a37	0.0154311	0.0242852	0.05057	0.115714	0.0480085	0.0465213	0.040129	0.0860017	0.119322	0.194011	0.260006
a43	0.00715603	0.0102732	0.0188033	0.0442007	0.0255713	0.0305507	0.0360759	0.0975689	0.147351	0.253394	0.329056
a75	0.0110885	0.0157387	0.0256577	0.0389114	0.0171302	0.0171852	0.0216651	0.062176	0.130668	0.272536	0.387243
a98	0.000904502	0.00124097	0.00280693	0.00904129	0.0135981	0.0238915	0.0330338	0.099024	0.159695	0.289538	0.367226
a85	0.000570446	0.00071291	0.0013175	0.00521001	0.00684906	0.0123067	0.0163115	0.0694209	0.165367	0.317157	0.404777
a92	0.000379227	0.000479513	0.000974985	0.00352625	0.00507241	0.00998966	0.0150247	0.066967	0.156427	0.314879	0.42628
a37	0.000648417	0.000943198	0.00197841	0.00562141	0.00606691	0.0113132	0.0185332	0.0833976	0.172326	0.307231	0.391941
a36	0.00243594	0.00352448	0.00612625	0.0150054	0.0115154	0.0155056	0.0260804	0.0782191	0.159241	0.293551	0.388795
a93	0.00756598	0.00817544	0.0125599	0.0272378	0.0188432	0.0210579	0.0376262	0.0659815	0.123569	0.256267	0.421115
a70	0.00223038	0.00258296	0.00549491	0.0119099	0.010208	0.0120042	0.0241639	0.0572616	0.124165	0.286772	0.463207
a62	0.00329041	0.00364869	0.00877408	0.0137341	0.0151195	0.0136309	0.0322079	0.0678885	0.139206	0.294686	0.407814
a88	0.00207405	0.00259684	0.00711472	0.0095052	0.0142291	0.0116656	0.0260975	0.0573154	0.137861	0.312558	0.418982
a71	0.0020509	0.00254885	0.00686239	0.00836608	0.0133125	0.011438	0.0303495	0.0651173	0.135156	0.303989	0.420809
a75	0.0112876	0.0143002	0.0259493	0.0422257	0.0540892	0.0417189	0.0638686	0.0947984	0.148987	0.230943	0.271832
a92	0.000316082	0.000375837	0.00106399	0.00178503	0.00406658	0.00553204	0.0123939	0.0388118	0.10099	0.300461	0.534204
a37	0.000380434	0.00050322	0.00121051	0.00248754	0.00389659	0.00556277	0.0108559	0.0349002	0.0924288	0.285266	0.562508
a90	0.00132983	0.0015988	0.0046578	0.00655054	0.0102037	0.0101573	0.0298926	0.0629049	0.125513	0.28378	0.463412
a69	0.000718571	0.000810724	0.00209274	0.00333195	0.00702572	0.00909953	0.0177863	0.0430789	0.09832	0.283308	0.534427
a58	0.000837815	0.00110475	0.00309311	0.00569441	0.0106645	0.0109627	0.0251381	0.0551327	0.109405	0.276983	0.500984
a82	0.00555754	0.00642883	0.0113102	0.0135148	0.0246993	0.03271	0.0617005	0.103176	0.157185	0.253987	0.32973
a87	0.0649262	0.0490987	0.0622316	0.0520205	0.078502	0.0834083	0.0964647	0.110552	0.122696	0.138384	0.141717
a23	0.24329	0.15133	0.120256	0.120314	0.0636512	0.0656893	0.0486896	0.0466877	0.0439056	0.0478113	0.0483756
a87	0.0720837	0.0427911	0.0369378	0.0529525	0.0643217	0.068428	0.0815919	0.0994421	0.1188	0.171959	0.190693
</S>	0.0121112	0.00776202	0.00796096	0.0129776	0.0194887	0.0331667	0.0513522	0.115448	0.15007	0.244327	0.345336
