 	il	joue	auprès	de	sa	maman	</S>
a20	0.179297	0.0722786	0.0831051	0.0557247	0.089501	0.247326	0.272768
a73	0.13047	0.114338	0.158786	0.167096	0.125807	0.136419	0.167085
a79	0.430893	0.198405	0.205591	0.0927035	0.0353935	0.0222433	0.0147713
a98	0.397129	0.266817	0.197795	0.084132	0.0294782	0.014165	0.0104833
a73	0.205872	0.204987	0.231865	0.167535	0.0906752	0.0534981	0.0455672
a32	0.164404	0.186415	0.20504	0.197143	0.117095	0.0692324	0.0606702
a54	0.141532	0.160569	0.174808	0.203739	0.144902	0.091546	0.0829042
a73	0.0801645	0.0983991	0.11705	0.190723	0.2016	0.156289	0.155775
a44	0.0674309	0.104802	0.133053	0.235904	0.200115	0.135568	0.123127
a98	0.0694932	0.0876464	0.0975717	0.176022	0.215554	0.180399	0.173314
a73	0.0436874	0.0743782	0.0944743	0.167694	0.222358	0.204776	0.192632
a44	0.0232092	0.0548039	0.061193	0.147102	0.221805	0.239395	0.252492
a26	0.026251	0.0531927	0.0536942	0.110994	0.154873	0.263515	0.337481
a75	0.0113245	0.025491	0.0232954	0.0571902	0.102398	0.285645	0.494656
a66	0.0264823	0.0519657	0.0537914	0.093099	0.125298	0.257582	0.391782
a75	0.0130552	0.0244643	0.0180489	0.0453121	0.06995	0.222138	0.607032
a98	0.0156864	0.021752	0.0203486	0.0406465	0.0676352	0.241203	0.592729
a73	0.0118275	0.015311	0.0157628	0.0345406	0.0719809	0.291744	0.558833
a90	0.00426228	0.00816931	0.00793796	0.0227734	0.0550014	0.260007	0.641849
a53	0.00933377	0.0129646	0.0116554	0.0289357	0.0606945	0.242474	0.633942
a4	0.00791635	0.00716014	0.00579596	0.0175445	0.0467771	0.214209	0.700597
a57	0.0071574	0.00753039	0.00590523	0.0160381	0.0416988	0.203159	0.718511
a82	0.00636393	0.00508956	0.00499493	0.0173755	0.0647552	0.24883	0.652591
a87	0.00343079	0.00425489	0.00606264	0.0239011	0.0798547	0.243796	0.6387
</S>	0.00491089	0.00414258	0.00587094	0.0247339	0.0709116	0.273072	0.616358
