 	ebhyondo	est	un	bois	qu'	on	utilise	pour	la	fabrication	du	manche	de	hache	</S>
a82	0.130721	0.052917	0.0537378	0.0654477	0.0873699	0.108763	0.111953	0.132991	0.118003	0.0736801	0.0215589	0.0130692	0.0107415	0.00976807	0.0092777
a10	0.0899599	0.0699699	0.078957	0.0684231	0.071533	0.0870309	0.113265	0.0935111	0.0620775	0.0842899	0.0252553	0.022156	0.0300468	0.0447189	0.0588058
a87	0.277346	0.134129	0.0771503	0.056054	0.0603474	0.06004	0.0694652	0.0822366	0.0451676	0.0484454	0.0159352	0.014851	0.0173162	0.0191896	0.0223265
a62	0.343357	0.176235	0.0776747	0.049118	0.0531586	0.0434245	0.0464095	0.0587659	0.0320177	0.0389768	0.0136586	0.013614	0.0162718	0.017484	0.0198338
a47	0.444522	0.162154	0.0729139	0.0461581	0.0412387	0.0263512	0.0304246	0.0454585	0.0382675	0.0375841	0.0100921	0.00977985	0.0117285	0.0112201	0.0121062
a61	0.268142	0.204073	0.148016	0.124536	0.07711	0.0359778	0.0284318	0.0297662	0.0186239	0.0132328	0.00598707	0.00819073	0.0110089	0.0115262	0.0153768
a21	0.341747	0.246111	0.141262	0.0964703	0.0561718	0.024704	0.0201355	0.0226133	0.0145736	0.00887306	0.0049895	0.0052399	0.0060078	0.00534757	0.00575382
a96	0.226018	0.242148	0.178291	0.112728	0.0639606	0.0353843	0.0330127	0.0434328	0.0278415	0.0145741	0.00531677	0.00465236	0.00450392	0.0038485	0.00428679
a75	0.0960626	0.133367	0.132252	0.127486	0.10711	0.0817577	0.0757834	0.0849759	0.0527771	0.0309589	0.0161995	0.013878	0.0153816	0.0147929	0.0172186
a56	0.0953113	0.120946	0.135152	0.134711	0.113972	0.0902291	0.0838419	0.0904813	0.0586341	0.0319209	0.0112209	0.00805446	0.00787623	0.00781712	0.00983239
a4	0.0365002	0.0672616	0.101234	0.132208	0.132248	0.118886	0.10673	0.109092	0.0673423	0.0418689	0.0179739	0.0141529	0.0156526	0.0169577	0.0218912
a98	0.0214204	0.0487153	0.0870945	0.126664	0.131414	0.124974	0.109122	0.111866	0.0757885	0.0480997	0.020958	0.0173706	0.0198626	0.023433	0.0332175
a15	0.011033	0.0200237	0.0352259	0.0735197	0.111663	0.137305	0.137483	0.149168	0.109134	0.062106	0.0275791	0.0210487	0.0236984	0.0315226	0.0494906
a44	0.011861	0.012544	0.0171118	0.0340579	0.0622578	0.105473	0.139574	0.182494	0.135049	0.0758762	0.0396032	0.0304399	0.0336237	0.0450163	0.0750179
a84	0.00581133	0.00779208	0.0100762	0.0198443	0.0407355	0.0916716	0.12613	0.178233	0.140993	0.0911853	0.0478166	0.0407545	0.0464039	0.0599603	0.0925928
a53	0.00309432	0.00384587	0.00534027	0.0093311	0.0191953	0.0662328	0.136722	0.259678	0.201581	0.101455	0.0377201	0.0291143	0.0308718	0.0380722	0.0577468
a90	0.00804285	0.0100208	0.0122877	0.0157487	0.0236972	0.0494035	0.0765924	0.129443	0.118993	0.0880163	0.0725496	0.0735367	0.0801965	0.0991077	0.142365
a15	0.00406793	0.00606351	0.00841593	0.0138926	0.0230355	0.0527551	0.0937482	0.141206	0.111643	0.0738361	0.0647273	0.0675	0.0790779	0.102536	0.157495
a94	0.00319601	0.00501161	0.00718166	0.0131184	0.022101	0.0482314	0.0900929	0.151361	0.136118	0.0788292	0.0548923	0.0576916	0.0660554	0.095087	0.171033
a76	0.00237616	0.00338517	0.00434341	0.0072525	0.0127872	0.0342468	0.0785009	0.164904	0.168125	0.0987997	0.0613178	0.0601537	0.0633292	0.0872148	0.153263
a90	0.00316094	0.00470867	0.00689686	0.0116968	0.0157119	0.0242483	0.0477591	0.0859532	0.074497	0.0495012	0.0440199	0.0565677	0.0869552	0.162839	0.325484
a58	0.00134991	0.00240508	0.00386833	0.00788697	0.0135773	0.0286899	0.06613	0.12139	0.103387	0.0698782	0.0575434	0.0630604	0.0805742	0.132584	0.247675
a98	0.00181712	0.00307781	0.00408202	0.00630527	0.00979016	0.0228172	0.0556029	0.122721	0.134499	0.0989635	0.0793514	0.0720743	0.0708355	0.103908	0.214155
