 	le	bateau	remonte	le	fleuve	</S>
a23	0.641303	0.204924	0.0456383	0.0359918	0.032037	0.0401051
a87	0.64536	0.187471	0.0357136	0.0406912	0.0406758	0.0500878
a23	0.419425	0.236333	0.0707181	0.0813679	0.0889234	0.103232
a40	0.412908	0.183563	0.0834322	0.102378	0.10008	0.117638
a20	0.486165	0.315126	0.0928204	0.0506626	0.0316369	0.0235898
a32	0.435841	0.357559	0.106463	0.0496922	0.0292516	0.021193
a76	0.374016	0.376465	0.126446	0.0599461	0.0357048	0.027421
a94	0.311731	0.328477	0.1523	0.0894722	0.0620536	0.0559662
a76	0.275962	0.314799	0.164458	0.099024	0.074888	0.0708693
a73	0.288611	0.244866	0.147565	0.113655	0.100341	0.104963
a94	0.228858	0.22203	0.172268	0.13656	0.118869	0.121415
a98	0.162999	0.181073	0.189301	0.160854	0.146967	0.158805
a73	0.0770815	0.0836671	0.156355	0.184561	0.217319	0.281017
a44	0.0527664	0.0630469	0.151658	0.19777	0.234679	0.300079
a84	0.0437102	0.0482197	0.116908	0.182837	0.247689	0.360636
a57	0.00964593	0.0138792	0.0536488	0.144325	0.280592	0.497909
a87	0.0028926	0.00296102	0.0168128	0.0756208	0.247215	0.654498
</S>	0.00829313	0.00942667	0.0333914	0.130278	0.289144	0.529466
