 	sa	paternité	est	vaine	car	il	ne	remplit	plus	ses	obligations	envers	les	enfants	</S>
a66	0.116815	0.111443	0.117408	0.166997	0.138111	0.0832426	0.0865377	0.0658485	0.0422368	0.0349462	0.0157899	0.00786524	0.00513465	0.00350709	0.00411704
a87	0.171303	0.186033	0.120657	0.122221	0.0776657	0.0536194	0.0477909	0.0348048	0.0327658	0.0313047	0.0390725	0.0220665	0.0188043	0.0174281	0.0244634
a23	0.166356	0.162798	0.170161	0.15098	0.111031	0.054388	0.0511488	0.0405961	0.0185784	0.0154282	0.0138522	0.00822619	0.00787479	0.0114244	0.0171573
a20	0.183684	0.150288	0.130143	0.11386	0.101224	0.0460331	0.058463	0.0467023	0.0325632	0.0280938	0.0255353	0.0156578	0.0148188	0.018784	0.0341497
a69	0.204724	0.263192	0.160033	0.133992	0.0687952	0.0304336	0.0219426	0.0178639	0.0194749	0.0223075	0.0166448	0.0108048	0.00912114	0.00913053	0.0115402
a58	0.194011	0.310269	0.152117	0.106662	0.0450254	0.0335265	0.0257863	0.019497	0.0177205	0.0174662	0.0166029	0.0142412	0.0152043	0.0140016	0.0178696
a75	0.115961	0.167929	0.121741	0.101191	0.0691588	0.0732003	0.06559	0.0429757	0.0323583	0.0286967	0.0267254	0.0247769	0.0355647	0.0406739	0.0534566
a85	0.0602483	0.0923607	0.0913059	0.083665	0.0706927	0.0904995	0.0967841	0.0671135	0.0533478	0.0474444	0.0414882	0.0401631	0.0500707	0.0499126	0.0649037
a47	0.0639607	0.0930259	0.0879081	0.0722478	0.0599699	0.0793111	0.0934833	0.0651852	0.0550936	0.0484498	0.0421973	0.0407593	0.0513484	0.0622208	0.0848389
a15	0.0712281	0.0987882	0.0917279	0.0807232	0.0700356	0.0863446	0.0912516	0.0595816	0.0467729	0.0362093	0.0289124	0.0283269	0.0434718	0.0662566	0.100369
a69	0.0403699	0.0478075	0.0681381	0.0651827	0.0700031	0.098331	0.118581	0.0881751	0.0728501	0.0576785	0.0411239	0.0390048	0.0481834	0.062163	0.0824078
a93	0.0417079	0.0455698	0.0740964	0.0768528	0.0876986	0.104073	0.132872	0.11537	0.0711661	0.0509674	0.0285643	0.025084	0.0322571	0.0481476	0.0655727
a44	0.0260779	0.0230981	0.0429642	0.0514644	0.069271	0.0907607	0.132811	0.15444	0.0925497	0.0731077	0.0419877	0.0344308	0.0405224	0.0569852	0.0695294
a96	0.0113673	0.00787153	0.0152106	0.0217505	0.0519162	0.0904119	0.163033	0.202495	0.123378	0.104581	0.0564879	0.0375195	0.0331928	0.0372571	0.0435282
a70	0.0089496	0.00704172	0.0127853	0.0174204	0.0436142	0.0899329	0.18408	0.203351	0.130148	0.109286	0.0523838	0.0348959	0.029565	0.0333561	0.0431904
a4	0.00740902	0.00752171	0.0136038	0.0187314	0.0421757	0.0890429	0.172197	0.194873	0.139906	0.123182	0.0600808	0.0358456	0.0269751	0.028859	0.0395972
a53	0.00652975	0.00675205	0.0105615	0.0133122	0.0298602	0.0697365	0.143698	0.185349	0.13297	0.121927	0.0732851	0.0503611	0.0425887	0.0481863	0.0648829
a15	0.00356072	0.00383703	0.00552567	0.00678096	0.0144307	0.0322477	0.0760567	0.131491	0.0991066	0.0960774	0.0901282	0.0942474	0.104759	0.109761	0.131991
a7	0.00284366	0.00293602	0.00515911	0.00697719	0.01707	0.0393376	0.0734269	0.132676	0.0976571	0.0840612	0.0868169	0.088311	0.109791	0.117478	0.135458
a2	0.00453307	0.00602461	0.0100645	0.0139599	0.0316033	0.0595563	0.0926338	0.151124	0.147234	0.118333	0.0987513	0.0609921	0.0560376	0.0670212	0.0821306
a57	0.0123662	0.0114752	0.0174839	0.0211012	0.0412921	0.0670888	0.0955253	0.168358	0.168485	0.153143	0.100479	0.0431121	0.0279798	0.0308502	0.0412607
a87	0.0159362	0.0175716	0.0250474	0.0286313	0.0538428	0.0764884	0.103871	0.167435	0.153359	0.143929	0.0856689	0.0379808	0.0232496	0.0266519	0.0403376
