 	une	femme	enceinte	porte	des	habits	amples	</S>
a66	0.279286	0.201786	0.199475	0.146559	0.0971851	0.0385099	0.0202613	0.0169377
a87	0.246013	0.161192	0.125206	0.149299	0.105214	0.0533335	0.0588291	0.100912
a79	0.375324	0.213596	0.142344	0.0750181	0.0486959	0.0318496	0.0397583	0.0734133
a53	0.432606	0.25099	0.14112	0.0602242	0.0348321	0.0209562	0.0205399	0.0387314
a93	0.34629	0.221463	0.146036	0.0949834	0.0599743	0.0371521	0.0360491	0.0580513
a94	0.37372	0.303008	0.184646	0.0668583	0.0344654	0.0146003	0.00952839	0.0131735
a96	0.324435	0.291884	0.218736	0.0778903	0.0406137	0.0191544	0.0109249	0.0163621
a62	0.28949	0.274397	0.237535	0.09442	0.049351	0.0213561	0.0132692	0.0201809
a47	0.30914	0.278033	0.237567	0.0762558	0.0379553	0.0186936	0.0167422	0.025613
a96	0.250217	0.24948	0.260765	0.101883	0.055443	0.027644	0.0222521	0.0323154
a31	0.210614	0.240425	0.276287	0.11876	0.0656669	0.0289795	0.0233633	0.0359036
a0	0.146555	0.202331	0.275738	0.145706	0.0901832	0.0441212	0.0392663	0.0560998
a21	0.0947626	0.169659	0.264643	0.169077	0.109307	0.0572423	0.0542735	0.0810347
a12	0.0660523	0.104873	0.162681	0.176671	0.16859	0.121278	0.0957635	0.104092
a21	0.0411361	0.0707206	0.144158	0.194555	0.197924	0.142129	0.102525	0.106853
a85	0.0316684	0.0471355	0.0826933	0.141351	0.181227	0.187525	0.167825	0.160574
a5	0.0151666	0.0207387	0.0401167	0.0704104	0.111243	0.175063	0.245218	0.322044
a61	0.0270334	0.041396	0.0787405	0.131438	0.171489	0.174233	0.155057	0.220613
a18	0.0176328	0.0231154	0.0415581	0.0840775	0.135283	0.203589	0.224867	0.269877
a75	0.00598513	0.00840158	0.0165421	0.0337951	0.0596908	0.154749	0.291789	0.429047
a6	0.00269526	0.00355687	0.00718822	0.0227052	0.0540764	0.187929	0.316851	0.404998
a37	0.0013876	0.00188849	0.00416637	0.0146241	0.0352475	0.140285	0.336767	0.465634
a85	0.00140941	0.00171503	0.00323498	0.00748847	0.014476	0.0664953	0.23247	0.672711
a79	0.0010223	0.00125814	0.00243595	0.00700007	0.0167709	0.0796386	0.266265	0.625609
a44	0.000867293	0.00104692	0.00205445	0.00678707	0.0153193	0.0727269	0.249639	0.651559
a94	0.00092621	0.00112713	0.00207627	0.00613041	0.0109329	0.0542159	0.22138	0.703211
a4	0.000637496	0.000699013	0.00111798	0.00326251	0.00539985	0.0298326	0.189326	0.769724
a13	0.000624016	0.000700383	0.00119215	0.00354761	0.00580748	0.0313415	0.204211	0.752576
a9	0.00173122	0.00177027	0.002701	0.0066145	0.00975756	0.0415986	0.248426	0.687401
a3	0.0266617	0.0213576	0.0245208	0.0376124	0.037096	0.078353	0.271428	0.502971
a97	0.148056	0.0818562	0.0616744	0.0584779	0.0519176	0.0730474	0.192355	0.332616
a10	0.149064	0.0969268	0.0740043	0.060008	0.0499298	0.067462	0.199266	0.303339
a87	0.0900749	0.0552216	0.0393282	0.0393889	0.040802	0.0620845	0.21205	0.46105
a97	0.0696805	0.0477315	0.0385533	0.0467234	0.0471244	0.0656743	0.226034	0.458478
a30	0.100698	0.0677403	0.0621348	0.0651774	0.0514872	0.0553164	0.170951	0.426494
</S>	0.0897827	0.0686087	0.0670971	0.061056	0.0467958	0.0527063	0.162788	0.451166
