 	papa	a	surpris	un	voleur	dans	le	champ	</S>
a79	0.369073	0.245832	0.0929172	0.078452	0.0752235	0.0537542	0.036992	0.0248443	0.0229122
a47	0.440176	0.262685	0.104884	0.0611983	0.0442591	0.032363	0.0226234	0.0165822	0.0152291
a41	0.31237	0.276492	0.122274	0.0753935	0.0455866	0.0426399	0.0375028	0.0369204	0.0508209
a18	0.319461	0.29604	0.159372	0.0925122	0.0502207	0.0354546	0.0196471	0.0148926	0.0124003
a24	0.290755	0.272111	0.201575	0.102775	0.0512458	0.0363403	0.0195755	0.014509	0.0111133
a88	0.245397	0.255106	0.212089	0.121787	0.0660632	0.0427005	0.0236417	0.0185878	0.0146273
a24	0.180195	0.21019	0.204451	0.147026	0.0922844	0.0619119	0.0396854	0.0347249	0.0295301
a0	0.106918	0.143065	0.172456	0.151192	0.127926	0.0964207	0.0728906	0.0685906	0.060542
a24	0.070387	0.101485	0.128179	0.125557	0.129964	0.112268	0.104169	0.114461	0.11353
a50	0.0755927	0.127398	0.169083	0.169502	0.148327	0.112973	0.0766363	0.0624798	0.0580095
a96	0.0627617	0.118119	0.180468	0.18884	0.165461	0.113871	0.0700843	0.0523533	0.048041
a94	0.0590941	0.116264	0.179689	0.206612	0.172191	0.111612	0.0647438	0.0461995	0.0435943
a56	0.059721	0.107975	0.153178	0.187015	0.17589	0.126176	0.0796023	0.0563377	0.0541063
a90	0.0652636	0.0946425	0.120085	0.149885	0.167445	0.14761	0.100055	0.0780144	0.0770002
a56	0.0541742	0.0797859	0.102212	0.139669	0.176644	0.159638	0.112573	0.0882083	0.0870949
a11	0.0352127	0.0539993	0.0785529	0.123036	0.185886	0.186817	0.14299	0.10049	0.0930165
a75	0.0208909	0.0292918	0.038285	0.0710909	0.142807	0.189578	0.20222	0.160784	0.145052
a79	0.0308572	0.0387518	0.046454	0.0676208	0.11358	0.146903	0.167729	0.175417	0.212689
a56	0.0299057	0.0395652	0.0518071	0.0731542	0.10904	0.137365	0.163012	0.17741	0.21874
a70	0.0253422	0.0342915	0.0453001	0.0700681	0.0981726	0.127792	0.175881	0.186352	0.236801
a93	0.0076729	0.0106415	0.014431	0.0266325	0.0532545	0.0905239	0.194506	0.263038	0.3393
a70	0.00364537	0.00517848	0.00711772	0.014093	0.0310802	0.0581211	0.156998	0.28059	0.443176
a66	0.00425595	0.00486332	0.00675338	0.013148	0.0274685	0.0522333	0.124352	0.265349	0.501576
a54	0.00457661	0.00297018	0.00317974	0.00591074	0.0110993	0.0271227	0.088762	0.262215	0.594163
a36	0.00347761	0.00350314	0.00461866	0.0102329	0.0209026	0.0451222	0.116857	0.254017	0.541269
a57	0.00159989	0.00167032	0.0021878	0.00522177	0.0114394	0.0299427	0.0887474	0.234429	0.624762
a87	0.0249927	0.0137936	0.0119679	0.0179493	0.0240015	0.043228	0.0960235	0.219032	0.549011
a23	0.31443	0.188819	0.0822196	0.0601147	0.0512818	0.0512727	0.0630595	0.0810435	0.107759
a87	0.239615	0.132835	0.0726213	0.0563515	0.0515351	0.064318	0.0902551	0.131145	0.161324
a23	0.0537859	0.0301734	0.0188111	0.0193925	0.0277451	0.0537851	0.133189	0.276742	0.386375
a87	0.0976248	0.0608478	0.0359088	0.030707	0.0355064	0.056222	0.115162	0.236756	0.331265
a23	0.0889682	0.0539864	0.0332327	0.032483	0.0429551	0.0691173	0.129076	0.235722	0.31446
</S>	0.135496	0.0994994	0.0555593	0.0423632	0.0469294	0.0673819	0.11581	0.192649	0.244312
