 	maman	m'	a	chargé	de	tenir	l'	enfant	</S>
a66	0.290777	0.223007	0.159929	0.135685	0.0741895	0.0543436	0.0277887	0.0183365	0.0159441
a87	0.413623	0.238561	0.141567	0.0519194	0.0325777	0.0356296	0.0258731	0.0271116	0.0331378
a23	0.477071	0.267631	0.0933259	0.0273963	0.0215364	0.0281832	0.0251275	0.0266136	0.0331155
a83	0.413005	0.212312	0.0717532	0.0274906	0.0216982	0.0267173	0.0419607	0.0737138	0.111349
a54	0.294491	0.206303	0.0999127	0.0663917	0.0547297	0.0485814	0.0518472	0.0816473	0.0960958
a47	0.150407	0.141438	0.157529	0.183524	0.10848	0.0838845	0.0613827	0.0574519	0.0559022
a36	0.0932063	0.122701	0.150067	0.1845	0.0952877	0.124859	0.077028	0.0795367	0.0728133
a85	0.126337	0.137268	0.155522	0.196499	0.0896876	0.11279	0.0683987	0.0615113	0.0519873
a6	0.0915875	0.130186	0.201155	0.227996	0.093389	0.0853634	0.059326	0.0593268	0.0516703
a5	0.140801	0.149858	0.200049	0.20178	0.0806108	0.0726687	0.0515672	0.0543448	0.0483204
a43	0.149504	0.164303	0.206359	0.170245	0.0763178	0.0606787	0.0488326	0.0598188	0.0639404
a62	0.0735762	0.0808086	0.154652	0.181763	0.12312	0.096743	0.0805354	0.0996367	0.109165
a96	0.0379587	0.0404393	0.0963701	0.150305	0.154766	0.144024	0.120498	0.12622	0.12942
a75	0.0217989	0.0226467	0.0568364	0.118831	0.15962	0.165216	0.163412	0.151179	0.14046
a47	0.00708972	0.00595681	0.0149206	0.0395718	0.0837687	0.117898	0.18843	0.260379	0.281986
a54	0.00296422	0.00202672	0.00519744	0.0150278	0.0425091	0.0875082	0.217975	0.299319	0.327472
a98	0.00214717	0.00149275	0.00362821	0.0105201	0.0377853	0.0611412	0.193765	0.353646	0.335875
a47	0.000810302	0.000508025	0.00106419	0.00267325	0.0138173	0.0260958	0.123315	0.379115	0.452601
a36	0.00131698	0.000670142	0.00142375	0.00407252	0.0226111	0.0388303	0.112822	0.336828	0.481425
a2	0.00374742	0.00153287	0.00165675	0.00225113	0.0091749	0.0151042	0.0471067	0.265555	0.653871
a57	0.0392352	0.0224017	0.0192985	0.0137197	0.0211508	0.0358447	0.0777997	0.221304	0.549245
a87	0.142747	0.0744296	0.0491637	0.0283666	0.0357724	0.0437222	0.0790248	0.167694	0.379079
a23	0.384079	0.202728	0.118367	0.046819	0.0423339	0.0393446	0.0413964	0.0522741	0.0726585
a87	0.15647	0.0660478	0.0388782	0.0175908	0.0285018	0.0460627	0.103718	0.236823	0.305908
a99	0.0237067	0.0116725	0.00985799	0.00771591	0.0161797	0.0349111	0.116717	0.331127	0.448112
</S>	0.038709	0.0245479	0.0261265	0.0189896	0.0364524	0.0596957	0.152347	0.289721	0.353411
