 	une	autre	affaire	sera	traitée	aujourd'	hui	</S>
a87	0.185449	0.124591	0.18456	0.240015	0.133648	0.0609798	0.0387928	0.0319646
a10	0.195478	0.106075	0.150763	0.13141	0.125294	0.0845073	0.0859222	0.120551
a83	0.229772	0.163279	0.205792	0.143023	0.0799022	0.0523001	0.0525308	0.0734005
a62	0.234799	0.150257	0.172508	0.14042	0.114865	0.0653022	0.0533152	0.0685325
a70	0.450163	0.281829	0.189197	0.0557845	0.0101326	0.00477784	0.0037643	0.00435168
a98	0.422138	0.293427	0.181996	0.0692733	0.0148062	0.00703806	0.0055998	0.0057214
a85	0.300768	0.271307	0.242396	0.120593	0.0296192	0.0142104	0.0106821	0.0104251
a61	0.314778	0.288839	0.247989	0.0887431	0.0247619	0.013068	0.0105091	0.0113113
a18	0.241771	0.290746	0.288615	0.116075	0.0225887	0.0128206	0.0127122	0.0146712
a75	0.161724	0.248791	0.274508	0.16671	0.0456267	0.0334019	0.0328354	0.036403
a66	0.138609	0.192289	0.245813	0.165146	0.0730746	0.0604425	0.0603241	0.0643024
a62	0.113545	0.174027	0.254381	0.19765	0.0561566	0.058244	0.0658661	0.0801302
a88	0.115359	0.147186	0.220199	0.233055	0.101961	0.0656831	0.0574534	0.0591036
a61	0.0969745	0.109637	0.161369	0.238457	0.14402	0.0968997	0.0784731	0.07417
a75	0.0893008	0.0937475	0.134772	0.210781	0.180045	0.123823	0.0903817	0.0771498
a5	0.075646	0.0764174	0.0855712	0.153339	0.140344	0.164385	0.156527	0.147771
a47	0.0950449	0.0931715	0.101133	0.14979	0.155053	0.147942	0.136738	0.121127
a31	0.0524507	0.0527679	0.0651677	0.134395	0.213633	0.184465	0.149587	0.147533
a88	0.0266277	0.0264677	0.0328055	0.0798938	0.203374	0.26332	0.20985	0.157661
a9	0.0102987	0.0124819	0.0161583	0.0376606	0.11764	0.250961	0.27516	0.279639
a10	0.00944969	0.0104766	0.0152175	0.0279926	0.0728806	0.174267	0.293186	0.39653
a62	0.0132022	0.00985904	0.0153062	0.0254809	0.0686135	0.122164	0.26836	0.477014
a34	0.00321553	0.00326321	0.00454996	0.0100962	0.0512452	0.164475	0.29691	0.466245
a98	0.00342321	0.00345806	0.00476203	0.0112207	0.0615861	0.177001	0.295423	0.443126
a7	0.00585156	0.00501123	0.00442642	0.00874352	0.0453551	0.184649	0.311138	0.434825
a84	0.0017159	0.00166546	0.0022728	0.00543195	0.0290567	0.149086	0.299833	0.510939
a98	0.00872304	0.00544929	0.00640941	0.00878992	0.0374983	0.111734	0.28566	0.535736
a73	0.00259368	0.00189492	0.00261077	0.00475004	0.0355488	0.114483	0.274355	0.563764
a69	0.000754653	0.000701688	0.00102051	0.002591	0.0188702	0.0940917	0.274415	0.607555
a58	0.000436471	0.00037113	0.000591877	0.0013296	0.0114276	0.0693149	0.242279	0.674249
a57	0.00669583	0.00430478	0.00478543	0.00570511	0.0282148	0.107363	0.296695	0.546237
a87	0.0345943	0.0156373	0.0155447	0.0194307	0.0992979	0.209985	0.274589	0.330921
a23	0.122557	0.0620344	0.0492895	0.0528627	0.122696	0.180231	0.197945	0.212384
a87	0.0997458	0.0434842	0.0370785	0.0446317	0.109575	0.160419	0.225604	0.279462
a97	0.0400764	0.0218972	0.0237856	0.0410541	0.0909524	0.147992	0.257691	0.376552
</S>	0.143302	0.0749414	0.0962174	0.0942892	0.0781871	0.107856	0.164101	0.241106
